'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOSS VALE New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOSS VALE,01/01/2025,8.0,0.0, ,32.3,15.8,95,20,5.07,27.51
MOSS VALE,02/01/2025,1.6,0.2, ,18.8,13.2,96,80,5.00,5.87
MOSS VALE,03/01/2025,4.7,0.2, ,24.5,12.2,93,58,4.90,23.58
MOSS VALE,04/01/2025,5.7,0.0, ,29.8,15.5,90,44,4.79,20.75
MOSS VALE,05/01/2025,6.8,1.2, ,33.7,14.1,90,26,4.30,19.25
MOSS VALE,06/01/2025,6.1,2.2, ,33.2,16.0,97,30,4.21,17.21
MOSS VALE,07/01/2025,1.8,43.8, ,16.5,13.5,98,84,6.44,10.66
MOSS VALE,08/01/2025,2.3,2.8, ,15.9,11.9,96,78,6.15,13.60
MOSS VALE,09/01/2025,3.2,0.6, ,21.3,12.3,98,70,4.05,17.28
MOSS VALE,10/01/2025,2.9,0.6, ,23.5,14.4,97,67,3.65,12.13
MOSS VALE,11/01/2025,2.9,11.8, ,21.6,14.8,97,75,4.43,14.96
MOSS VALE,12/01/2025,4.7,13.0, ,25.2,15.6,95,58,5.02,22.43
MOSS VALE,13/01/2025,5.8,0.6, ,29.1,16.7,98,45,3.84,25.59
MOSS VALE,14/01/2025,4.9,3.8, ,28.4,17.2,97,43,3.47,19.29
MOSS VALE,15/01/2025,6.1,0.6, ,30.7,15.5,98,48,4.74,25.24
MOSS VALE,16/01/2025,2.5,26.2, ,17.8,12.7,96,70,6.29,11.89
MOSS VALE,17/01/2025,2.7,0.2, ,16.7,10.8,93,71,10.96,14.88
MOSS VALE,18/01/2025,2.9,2.6, ,20.1,11.8,97,78,6.89,18.24
MOSS VALE,19/01/2025,2.9,11.0, ,17.7,11.8,95,71,4.78,17.16
MOSS VALE,20/01/2025,5.1,0.4, ,23.6,8.4,98,42,1.94,30.61
MOSS VALE,21/01/2025,5.8,0.0, ,28.6,9.8,97,44,3.28,28.14
MOSS VALE,22/01/2025,7.9,0.0, ,33.2,16.4,94,28,6.29,23.35
MOSS VALE,23/01/2025,2.3,1.0, ,18.2,12.7,96,72,4.59,10.31
MOSS VALE,24/01/2025,4.0,21.2, ,20.0,12.9,98,64,3.82,24.20
MOSS VALE,25/01/2025,5.2,0.0, ,25.0,12.8,95,59,4.17,28.57
MOSS VALE,26/01/2025,2.9,0.0, ,23.4,12.7,98,67,3.78,12.54
MOSS VALE,27/01/2025,5.6,0.8, ,30.6,16.4,98,50,5.86,19.92
MOSS VALE,28/01/2025,8.0,6.0, ,33.7,18.0,97,38,7.37,26.27
MOSS VALE,29/01/2025,2.8,0.0, ,20.4,12.7,95,71,3.62,14.53
MOSS VALE,30/01/2025,1.4,0.2, ,18.4,14.5,97,88,3.23,6.17
MOSS VALE,31/01/2025,1.6,1.2, ,18.7,15.3,97,86,3.88,7.32
Totals:,,131.1,152.2, ,,,,,, 
