'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOSS VALE New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOSS VALE,01/02/2025,3.2,0.6, ,22.0,11.6,98,73,3.43,18.45
MOSS VALE,02/02/2025,5.0,0.0, ,24.7,16.2,94,58,5.15,25.50
MOSS VALE,03/02/2025,5.1,0.0, ,25.9,12.0,98,58,3.89,28.42
MOSS VALE,04/02/2025,6.2,0.0, ,30.2,16.5,94,48,4.64,26.57
MOSS VALE,05/02/2025,3.2,0.0, ,24.8,17.7,95,69,4.17,13.95
MOSS VALE,06/02/2025,5.0,0.4, ,27.0,15.2,97,60,3.30,26.13
MOSS VALE,07/02/2025,6.3,0.2, ,29.0,15.8,95,43,4.68,28.47
MOSS VALE,08/02/2025,3.2,0.0, ,26.5,16.6,97,69,3.63,13.40
MOSS VALE,09/02/2025,2.9,17.2, ,23.8,15.3,98,71,2.54,14.39
MOSS VALE,10/02/2025,1.9,3.0, ,19.9,16.0,98,75,4.28,6.94
MOSS VALE,11/02/2025,4.1,15.2, ,24.3,13.9,98,57,2.71,21.31
MOSS VALE,12/02/2025,3.6,3.4, ,23.5,13.7,98,65,2.91,19.59
MOSS VALE,13/02/2025,4.4,3.0, ,25.1,16.7,97,68,7.47,23.65
MOSS VALE,14/02/2025,2.0,0.0, ,24.0,18.2,98,80,4.59,7.56
MOSS VALE,15/02/2025,5.2,19.8, ,22.2,13.5,98,37,5.48,25.93
MOSS VALE,16/02/2025,4.1,0.0, ,18.4,6.4,97,42,3.54,25.55
MOSS VALE,17/02/2025,4.1,0.0, ,18.8,5.1,95,45,2.85,26.77
MOSS VALE,18/02/2025,4.3,0.0, ,24.4,5.6,98,36,1.76,24.40
MOSS VALE,19/02/2025,3.6,0.0, ,23.0,11.1,98,59,2.70,19.39
MOSS VALE,20/02/2025,1.8,0.2, ,17.6,13.2,98,79,5.02,8.63
MOSS VALE,21/02/2025,4.0,0.0, ,23.1,11.6,98,58,4.36,21.54
MOSS VALE,22/02/2025,4.4,1.2, ,24.0,15.7,98,57,5.51,22.39
MOSS VALE,23/02/2025,4.7,0.2, ,27.1,13.9,98,50,4.49,20.90
MOSS VALE,24/02/2025,5.7,0.0, ,30.0,16.9,97,43,4.45,23.78
MOSS VALE,25/02/2025,1.0,0.4, ,18.4,14.7,97,91,3.72,3.73
MOSS VALE,26/02/2025,4.7,0.2, ,26.8,14.7,98,61,4.56,23.97
MOSS VALE,27/02/2025,4.5,0.0, ,28.1,16.8,98,59,3.33,22.12
MOSS VALE,28/02/2025,6.4,0.0, ,31.7,17.5,95,30,4.37,23.38
Totals:,,114.6,65, ,,,,,, 
