'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOSS VALE New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOSS VALE,01/05/2025, , , ,13.0, ,96,75,5.53,10.35
MOSS VALE,02/05/2025,1.6,0.4, ,15.1,5.9,98,68,3.14,12.02
MOSS VALE,03/05/2025,1.8,0.4, ,18.8,3.6,99,50,1.55,13.07
MOSS VALE,04/05/2025,2.0,0.2, ,18.4,2.8,98,57,2.89,13.51
MOSS VALE,05/05/2025,2.4,0.0, ,20.9,10.4,96,54,3.55,12.98
MOSS VALE,06/05/2025,2.2,0.2, ,21.4,6.6,98,44,2.27,12.50
MOSS VALE,07/05/2025,3.3,0.0, ,21.5,11.3,78,44,5.09,12.36
MOSS VALE,08/05/2025,2.1,0.0, ,17.9,7.0,95,53,3.38,12.28
MOSS VALE,09/05/2025,1.6,0.0, ,17.1,0.3,98,53,1.91,12.32
MOSS VALE,10/05/2025,1.7,0.2, ,17.5,2.4,99,58,2.37,12.52
MOSS VALE,11/05/2025,1.5,0.0, ,18.3,8.9,98,69,2.95,8.05
MOSS VALE,12/05/2025,1.2,0.2, ,18.6,12.0,97,78,2.53,6.00
MOSS VALE,13/05/2025,1.3,1.2, ,17.8,11.0,98,71,2.28,7.45
MOSS VALE,14/05/2025,1.6,0.2, ,18.9,9.4,98,59,2.32,10.42
MOSS VALE,15/05/2025,1.2,0.2, ,16.6,7.9,98,74,2.76,8.26
MOSS VALE,16/05/2025,1.0,1.6, ,15.8,11.5,97,82,2.17,6.26
MOSS VALE,17/05/2025,1.6,0.4, ,17.5,4.3,98,56,2.32,11.53
MOSS VALE,18/05/2025,1.3,0.0, ,11.2,8.2,96,75,7.32,8.78
MOSS VALE,19/05/2025,1.4,3.2, ,11.2,6.6,95,68,6.39,8.59
MOSS VALE,20/05/2025,1.1,0.2, ,13.3,3.6,97,76,3.49,8.88
MOSS VALE,21/05/2025,0.9,1.4, ,14.4,9.3,98,87,3.12,6.21
MOSS VALE,22/05/2025,0.7,24.0, ,15.3,10.9,98,93,5.51,4.02
MOSS VALE,23/05/2025,1.2,79.6, ,16.5,12.3,97,82,6.74,5.55
MOSS VALE,24/05/2025,2.2,16.2, ,15.3,9.0,88,57,6.98,10.17
MOSS VALE,25/05/2025,2.1,0.0, ,15.4,8.4,91,42,4.57,6.52
MOSS VALE,26/05/2025,2.5,0.0, ,16.9,2.0,96,35,4.62,6.29
MOSS VALE,27/05/2025,2.0,1.4, ,11.6,8.0,96,52,8.97,11.14
MOSS VALE,28/05/2025,2.0,0.0, ,13.5,6.6,92,56,7.84,11.28
MOSS VALE,29/05/2025,1.1,0.0, ,13.6,2.9,98,70,2.96,9.93
MOSS VALE,30/05/2025,1.1,0.2, ,16.7,-1.2,99,53,1.20,11.18
MOSS VALE,31/05/2025,1.2,0.2, ,16.0,4.3,99,57,1.81,10.98
Totals:,,48.9,131.6, ,,,,,, 
