'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BOYCE New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BOYCE,01/10/2024,3.7,0.0, ,19.0,5.9,99,34,2.42,22.36
MOUNT BOYCE,02/10/2024,1.4,2.0, ,12.0,8.0,99,96,2.58,10.82
MOUNT BOYCE,03/10/2024,2.9,6.6, ,16.9,6.9,99,56,2.18,18.86
MOUNT BOYCE,04/10/2024,3.3,0.2, ,17.9,6.0,99,44,3.69,17.91
MOUNT BOYCE,05/10/2024,3.9,0.4, ,17.0,10.7,94,42,8.09,18.73
MOUNT BOYCE,06/10/2024,4.6,0.2, ,16.6,10.2,75,46,10.05,23.64
MOUNT BOYCE,07/10/2024,4.9,0.0, ,19.6,9.3,78,38,7.06,21.92
MOUNT BOYCE,08/10/2024,1.7,0.0, ,11.0,9.0,99,57,2.61,8.00
MOUNT BOYCE,09/10/2024,1.2,3.8, ,8.9,4.2,99,82,2.47,7.65
MOUNT BOYCE,10/10/2024,4.0,3.6, ,19.8,5.8,99,39,3.08,23.96
MOUNT BOYCE,11/10/2024,3.9,0.0, ,20.7,7.9,99,36,2.66,21.55
MOUNT BOYCE,12/10/2024,1.2,0.4, ,9.6,7.8,99,91,2.76,7.98
MOUNT BOYCE,13/10/2024,2.7,1.6, ,15.8,4.0,99,57,2.57,17.11
MOUNT BOYCE,14/10/2024,3.0,0.0, ,19.8,7.5,99,51,2.73,15.45
MOUNT BOYCE,15/10/2024,1.3,20.6, ,10.8,7.6,99,93,2.32,9.43
MOUNT BOYCE,16/10/2024,1.6,3.2, ,13.4,5.9,99,83,1.84,10.09
MOUNT BOYCE,17/10/2024,4.4,0.0, ,21.1,7.5,92,34,2.43,25.74
MOUNT BOYCE,18/10/2024,2.9,1.4, ,21.2,12.2,99,60,5.31,11.82
MOUNT BOYCE,19/10/2024,2.4,1.0, ,18.5,10.5,99,68,5.38,10.89
MOUNT BOYCE,20/10/2024,4.4,1.4, ,21.1,9.4,99,41,2.50,25.74
MOUNT BOYCE,21/10/2024,4.1,0.2, ,18.4,6.7,99,35,2.62,25.22
MOUNT BOYCE,22/10/2024,4.9,0.0, ,23.7,5.4,99,14,2.31,24.94
MOUNT BOYCE,23/10/2024,4.7,0.0, ,22.6,11.8,63,39,4.17,18.06
MOUNT BOYCE,24/10/2024,4.7,0.0, ,20.1,10.1,99,21,3.87,22.75
MOUNT BOYCE,25/10/2024,4.6,0.0, ,16.2,3.6,82,25,4.33,26.96
MOUNT BOYCE,26/10/2024,3.9,0.0, ,17.3,2.5,91,38,2.60,25.19
MOUNT BOYCE,27/10/2024,4.9,0.0, ,21.6,5.2,91,24,3.69,23.75
MOUNT BOYCE,28/10/2024,5.4,0.0, ,23.1,10.0,98,23,4.33,24.22
MOUNT BOYCE,29/10/2024,4.5,0.8, ,22.7,8.4,99,38,2.48,24.58
MOUNT BOYCE,30/10/2024,5.5,0.2, ,23.8,9.6,99,29,3.82,27.40
MOUNT BOYCE,31/10/2024,5.0,0.0, ,22.4,11.7,93,27,4.90,20.14
Totals:,,111.6,47.6, ,,,,,, 
