'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BOYCE New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BOYCE,01/12/2024,3.8,14.4, ,22.8,14.5,99,56,4.50,17.21
MOUNT BOYCE,02/12/2024,6.5,0.4, ,27.9,14.9,78,30,3.39,28.53
MOUNT BOYCE,03/12/2024,3.4,0.0, ,22.5,18.5,99,48,4.74,10.85
MOUNT BOYCE,04/12/2024,4.5,1.8, ,24.3,16.7,99,64,3.10,23.85
MOUNT BOYCE,05/12/2024,4.2,0.0, ,26.4,13.8,99,60,1.86,21.27
MOUNT BOYCE,06/12/2024,4.8,0.4, ,29.4,15.8,99,50,2.52,20.63
MOUNT BOYCE,07/12/2024,2.8,5.0, ,23.2,18.1,100,77,5.04,13.13
MOUNT BOYCE,08/12/2024,6.9,17.4, ,27.0,16.4,99,22,4.58,29.73
MOUNT BOYCE,09/12/2024,4.2,0.2, ,23.9,13.1,99,62,2.24,22.73
MOUNT BOYCE,10/12/2024,5.3,0.0, ,24.2,11.3,99,35,2.71,26.81
MOUNT BOYCE,11/12/2024,5.8,0.6, ,24.5,11.9,99,29,2.90,29.74
MOUNT BOYCE,12/12/2024,7.2,0.0, ,27.5,12.8,64,22,3.59,31.83
MOUNT BOYCE,13/12/2024,6.7,0.0, ,28.2,16.3,94,26,2.69,31.50
MOUNT BOYCE,14/12/2024,6.1,0.0, ,29.0,14.2,99,27,1.80,29.65
MOUNT BOYCE,15/12/2024,7.1,0.0, ,30.1,18.2,93,29,3.14,31.34
MOUNT BOYCE,16/12/2024,6.8,0.0, ,31.1,15.0,98,35,2.36,31.88
MOUNT BOYCE,17/12/2024,7.9,0.0, ,31.7,18.0,97,26,4.48,31.13
MOUNT BOYCE,18/12/2024,2.5,2.0, ,17.2,11.3,99,64,2.96,12.20
MOUNT BOYCE,19/12/2024,4.5,2.4, ,19.9,8.9,99,48,2.76,26.94
MOUNT BOYCE,20/12/2024,5.7,0.2, ,25.6,8.1,92,34,1.89,31.88
MOUNT BOYCE,21/12/2024,7.4,0.0, ,29.4,12.9,94,17,3.81,31.23
MOUNT BOYCE,22/12/2024,6.3,0.2, ,28.6,12.4,99,20,2.89,27.51
MOUNT BOYCE,23/12/2024,8.0,0.2, ,19.5,13.8,46,11,7.99,31.94
MOUNT BOYCE,24/12/2024,6.3,0.0, ,24.5,6.8,90,25,3.57,32.00
MOUNT BOYCE,25/12/2024,6.4,0.0, ,28.7,8.7,95,26,2.33,31.63
MOUNT BOYCE,26/12/2024,7.5,0.0, ,31.1,11.4,82,20,3.23,31.98
MOUNT BOYCE,27/12/2024,7.5,3.2, ,28.9,14.9,90,26,6.07,26.97
MOUNT BOYCE,28/12/2024,5.8,0.0, ,23.8,12.4,97,23,2.82,29.44
MOUNT BOYCE,29/12/2024,6.5,0.0, ,26.5,11.0,90,25,3.29,31.30
MOUNT BOYCE,30/12/2024,5.2,0.0, ,25.7,12.2,95,46,2.63,26.69
MOUNT BOYCE,31/12/2024,4.1,0.0, ,25.0,14.4,96,54,2.37,19.72
Totals:,,177.7,48.4, ,,,,,, 
