'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BOYCE New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BOYCE,01/04/2025,2.0,1.8, ,15.6,9.8,99,70,2.68,12.70
MOUNT BOYCE,02/04/2025,3.0,0.0, ,19.6,8.0,97,34,2.08,17.50
MOUNT BOYCE,03/04/2025,3.6,0.2, ,19.6,9.3,88,30,3.22,18.70
MOUNT BOYCE,04/04/2025,3.4,0.0, ,21.5,10.6,96,29,2.45,18.26
MOUNT BOYCE,05/04/2025,4.2,0.0, ,19.9,7.7,99,23,5.30,18.45
MOUNT BOYCE,06/04/2025,4.5,0.0, ,19.0,6.7,98,18,6.27,18.27
MOUNT BOYCE,07/04/2025,4.0,0.0, ,18.6,7.4,96,31,6.48,18.09
MOUNT BOYCE,08/04/2025,2.2,0.0, ,18.7,9.6,98,59,2.10,13.26
MOUNT BOYCE,09/04/2025,2.7,0.2, ,20.8,9.2,99,51,2.27,15.91
MOUNT BOYCE,10/04/2025,2.4,0.2, ,20.2,10.7,99,47,2.41,11.87
MOUNT BOYCE,11/04/2025,3.1,0.0, ,23.2,11.8,90,38,2.55,14.14
MOUNT BOYCE,12/04/2025,2.4,0.0, ,20.5,10.5,99,55,2.42,13.83
MOUNT BOYCE,13/04/2025,2.7,0.0, ,21.8,11.2,99,51,1.72,16.81
MOUNT BOYCE,14/04/2025,3.1,0.2, ,22.1,10.6,99,38,2.65,16.55
MOUNT BOYCE,15/04/2025,1.9,1.2, ,16.0,10.6,99,57,2.51,10.66
MOUNT BOYCE,16/04/2025,2.3,0.2, ,17.1,7.9,97,50,2.27,15.72
MOUNT BOYCE,17/04/2025,2.6,0.0, ,18.6,8.5,99,43,2.69,15.82
MOUNT BOYCE,18/04/2025,3.0,0.4, ,21.7,7.8,99,22,2.14,16.23
MOUNT BOYCE,19/04/2025,3.6,0.0, ,23.1,11.8,67,27,2.77,15.82
MOUNT BOYCE,20/04/2025,4.0,0.0, ,23.1,12.7,60,31,3.79,15.10
MOUNT BOYCE,21/04/2025,2.8,0.0, ,17.2,11.4,91,41,4.39,11.98
MOUNT BOYCE,22/04/2025,1.4,0.0, ,14.3,8.4,99,72,4.09,6.45
MOUNT BOYCE,23/04/2025,1.2,27.0, ,16.0,10.9,99,86,3.85,7.99
MOUNT BOYCE,24/04/2025,2.2,9.8, ,18.8,11.4,99,62,2.73,13.84
MOUNT BOYCE,25/04/2025,1.7,1.4, ,18.8,9.7,99,70,1.84,11.18
MOUNT BOYCE,26/04/2025,1.8,0.2, ,18.6,10.5,99,67,2.22,10.78
MOUNT BOYCE,27/04/2025,0.9,20.0, ,12.4,11.5,99,88,3.21,4.57
MOUNT BOYCE,28/04/2025,1.6,19.0, ,16.6,10.2,99,73,2.85,10.77
MOUNT BOYCE,29/04/2025,1.8,0.2, ,17.9,9.2,99,60,2.18,11.23
MOUNT BOYCE,30/04/2025,0.8,14.4, ,9.8,8.6,99,97,2.77,6.31
Totals:,,76.9,96.4, ,,,,,, 
