'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT GININI New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT GININI,01/09/2024,1.8,0.0, ,8.0,0.0,95,65,8.16,16.18
MOUNT GININI,02/09/2024,1.3,1.4, ,2.3,-0.5,98,65,9.65,12.26
MOUNT GININI,03/09/2024,2.3,1.6, ,8.6,-4.9,97,36,4.57,17.29
MOUNT GININI,04/09/2024,2.9,0.0, ,11.0,1.7,86,28,5.07,17.32
MOUNT GININI,05/09/2024,2.9,0.0, ,13.0,2.6,97,42,7.33,17.20
MOUNT GININI,06/09/2024,3.0,0.0, ,14.3,4.9,96,45,7.78,17.19
MOUNT GININI,07/09/2024,2.1,6.6, ,11.2,4.1,99,58,4.03,16.36
MOUNT GININI,08/09/2024,2.0,0.2, ,7.0,-1.6,93,54,6.61,16.01
MOUNT GININI,09/09/2024,2.0,0.0, ,9.1,1.4,95,64,7.36,16.95
MOUNT GININI,10/09/2024,2.8,0.0, ,12.9,-0.4,98,33,3.53,18.45
MOUNT GININI,11/09/2024,2.4,0.0, ,11.7,4.1,95,46,3.90,15.93
MOUNT GININI,12/09/2024,1.2,2.0, ,5.2,0.9,99,76,2.98,11.24
MOUNT GININI,13/09/2024,2.2,0.2, ,10.0,-0.4,96,51,3.32,18.49
MOUNT GININI,14/09/2024,2.5,0.0, ,8.7,0.7,96,33,4.64,17.13
MOUNT GININI,15/09/2024,2.2,1.8, ,3.1,-6.7,93,25,5.92,19.32
MOUNT GININI,16/09/2024,2.6,0.4, ,7.8,-3.3,97,22,4.46,18.13
MOUNT GININI,17/09/2024,2.4,0.0, ,9.5,-2.6,97,46,4.14,19.82
MOUNT GININI,18/09/2024,2.8,0.0, ,8.4,-1.9,82,42,7.78,20.00
MOUNT GININI,19/09/2024,2.3,0.0, ,6.5,0.1,98,43,7.86,17.02
MOUNT GININI,20/09/2024,1.8,1.4, ,6.9,-2.4,99,61,6.67,16.55
MOUNT GININI,21/09/2024,1.5,2.4, ,5.2,-1.7,99,69,7.26,14.95
MOUNT GININI,22/09/2024,1.6,1.0, ,7.1,0.0,99,72,6.64,14.51
MOUNT GININI,23/09/2024,2.8,0.0, ,12.4,1.7,96,52,6.09,20.58
MOUNT GININI,24/09/2024,3.4,0.0, ,15.3,4.5,81,39,4.67,18.54
MOUNT GININI,25/09/2024,1.7,4.8, ,6.5,4.5,99,49,7.43,6.12
MOUNT GININI,26/09/2024,1.2,41.8, ,1.5,-3.0,99,81,2.51,13.73
MOUNT GININI,27/09/2024,2.4,1.2, ,7.3,-4.9,97,39,2.88,21.65
MOUNT GININI,28/09/2024,2.7,0.0, ,9.8,-0.4,99,46,4.65,21.75
MOUNT GININI,29/09/2024,2.6,0.0, ,11.3,1.1,99,46,4.47,17.46
MOUNT GININI,30/09/2024,3.0,0.2, ,12.5,0.7,99,39,2.98,21.62
Totals:,,68.4,67, ,,,,,, 
