'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT GININI New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT GININI,01/12/2024,2.7,53.6, ,14.7,9.1,100,69,4.70,17.03
MOUNT GININI,02/12/2024,5.5,9.8, ,20.1,8.6,81,44,4.54,31.08
MOUNT GININI,03/12/2024,2.3,0.6, ,14.9,12.3,99,60,5.87,8.76
MOUNT GININI,04/12/2024,4.2,21.4, ,21.5,12.4,100,63,2.99,23.13
MOUNT GININI,05/12/2024,2.8,0.0, ,21.4,11.8,100,77,3.10,14.45
MOUNT GININI,06/12/2024,5.3,0.2, ,25.1,14.7,99,54,3.17,26.94
MOUNT GININI,07/12/2024,2.3,65.0, ,19.0,13.4,100,83,5.43,12.65
MOUNT GININI,08/12/2024,5.6,1.2, ,18.4,10.7,99,26,4.74,31.70
MOUNT GININI,09/12/2024,3.8,0.0, ,14.9,5.5,83,20,3.43,17.07
MOUNT GININI,10/12/2024,5.1,0.0, ,18.5,5.8,99,23,3.19,28.89
MOUNT GININI,11/12/2024,5.3,0.0, ,18.6,5.0,99,29,3.70,31.50
MOUNT GININI,12/12/2024,6.1,0.0, ,21.7,7.9,62,31,3.64,31.88
MOUNT GININI,13/12/2024,6.0,0.0, ,22.3,10.9,70,38,3.77,30.20
MOUNT GININI,14/12/2024,5.9,0.0, ,23.2,10.6,89,31,3.90,29.05
MOUNT GININI,15/12/2024,6.3,0.0, ,25.0,13.3,98,34,3.30,31.85
MOUNT GININI,16/12/2024,6.6,0.0, ,26.3,11.8,69,42,3.81,31.76
MOUNT GININI,17/12/2024,5.2,0.0, ,22.6,16.2,98,35,5.08,22.55
MOUNT GININI,18/12/2024,5.0,0.0, ,17.0,5.0,98,28,2.61,32.02
MOUNT GININI,19/12/2024,4.9,0.0, ,18.2,1.6,98,38,3.18,32.05
MOUNT GININI,20/12/2024,5.7,0.0, ,22.6,8.0,89,41,3.46,31.84
MOUNT GININI,21/12/2024,5.8,0.0, ,23.3,11.6,99,29,3.20,29.50
MOUNT GININI,22/12/2024,5.2,0.0, ,19.3,7.2,99,36,4.08,30.19
MOUNT GININI,23/12/2024,4.1,0.0, ,11.3,5.1,83,40,5.16,28.47
MOUNT GININI,24/12/2024,4.6,0.0, ,18.1,0.2,92,36,4.00,27.41
MOUNT GININI,25/12/2024,5.7,0.0, ,22.4,8.8,96,33,2.70,31.99
MOUNT GININI,26/12/2024,6.3,0.0, ,23.7,10.6,92,34,4.76,31.81
MOUNT GININI,27/12/2024,5.6,0.8, ,18.6,11.4,98,33,5.62,31.51
MOUNT GININI,28/12/2024,5.0,0.2, ,16.3,4.8,81,37,4.05,31.37
MOUNT GININI,29/12/2024,5.3,0.0, ,19.7,6.3,99,38,3.19,31.91
MOUNT GININI,30/12/2024,5.4,0.0, ,21.3,7.2,99,39,3.14,31.07
MOUNT GININI,31/12/2024,5.3,0.0, ,23.4,9.3,99,39,2.24,28.76
Totals:,,154.9,152.8, ,,,,,, 
