'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT GININI New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT GININI,01/03/2025,5.2,0.0, ,23.7,12.1,71,33,3.60,24.40
MOUNT GININI,02/03/2025,4.9,0.0, ,24.9,13.9,99,20,3.02,22.00
MOUNT GININI,03/03/2025,3.4,0.0, ,19.8,8.2,99,63,3.04,21.46
MOUNT GININI,04/03/2025,3.4,0.2, ,16.8,7.5,99,59,4.65,22.93
MOUNT GININI,05/03/2025,4.4,0.0, ,20.2,5.9,95,26,3.17,23.62
MOUNT GININI,06/03/2025,3.7,0.0, ,18.5,9.6,97,53,4.42,22.19
MOUNT GININI,07/03/2025,3.0,0.0, ,16.4,5.9,99,64,6.22,20.06
MOUNT GININI,08/03/2025,3.0,0.0, ,17.2,6.8,99,64,6.42,18.69
MOUNT GININI,09/03/2025,3.4,0.2, ,20.0,8.3,99,66,3.09,21.73
MOUNT GININI,10/03/2025,1.6,0.2, ,18.3,11.0,99,71,2.29,6.43
MOUNT GININI,11/03/2025,3.3,14.2, ,18.6,11.1,99,61,5.30,20.10
MOUNT GININI,12/03/2025,3.3,0.0, ,20.0,9.2,99,65,3.30,20.85
MOUNT GININI,13/03/2025,4.0,0.0, ,22.3,11.0,92,48,3.19,21.09
MOUNT GININI,14/03/2025,4.2,0.0, ,23.1,14.1,79,46,3.96,18.85
MOUNT GININI,15/03/2025,5.1,0.0, ,25.2,15.2,57,33,3.68,19.82
MOUNT GININI,16/03/2025,4.0,0.0, ,21.0,14.7,99,36,6.71,13.67
MOUNT GININI,17/03/2025,3.0,1.4, ,12.6,-1.1,98,38,3.89,21.14
MOUNT GININI,18/03/2025,2.8,0.2, ,15.0,1.3,99,55,3.09,20.56
MOUNT GININI,19/03/2025,3.2,0.0, ,21.1,4.4,97,58,4.55,16.50
MOUNT GININI,20/03/2025,2.2,6.4, ,17.1,10.9,99,70,5.01,12.05
MOUNT GININI,21/03/2025,2.0,10.6, ,16.7,11.6,99,73,3.71,10.84
MOUNT GININI,22/03/2025,3.2,4.6, ,18.1,6.7,99,48,2.73,20.10
MOUNT GININI,23/03/2025,2.8,0.2, ,18.1,8.7,99,62,2.42,18.30
MOUNT GININI,24/03/2025,3.1,0.0, ,20.2,10.1,99,52,2.50,17.70
MOUNT GININI,25/03/2025,2.5,0.0, ,18.0,10.1,99,71,2.19,16.74
MOUNT GININI,26/03/2025,2.8,0.0, ,20.5,9.6,98,53,2.90,14.74
MOUNT GININI,27/03/2025,3.4,0.0, ,18.5,10.5,99,36,3.29,18.59
MOUNT GININI,28/03/2025,1.4,0.0, ,13.5,8.4,99,85,4.92,9.73
MOUNT GININI,29/03/2025,1.0,18.6, ,11.5,7.8,99,93,4.90,7.41
MOUNT GININI,30/03/2025,1.2,15.0, ,11.8,8.2,99,94,5.67,11.53
MOUNT GININI,31/03/2025,1.7,1.0, ,10.8,6.0,99,79,5.51,15.90
Totals:,,96.2,72.8, ,,,,,, 
