'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUDGEE AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUDGEE AIRPORT,01/09/2024,3.5,0.0, ,21.7,1.8,98,34,3.25,18.25
MUDGEE AIRPORT,02/09/2024,4.0,0.0, ,18.8,1.9,98,32,6.59,17.86
MUDGEE AIRPORT,03/09/2024,3.1,0.0, ,18.6,2.4,86,26,2.40,18.55
MUDGEE AIRPORT,04/09/2024,2.9,0.0, ,20.1,-0.9,97,27,1.74,18.70
MUDGEE AIRPORT,05/09/2024,3.2,0.0, ,22.5,0.5,97,46,2.58,18.85
MUDGEE AIRPORT,06/09/2024,3.7,0.0, ,24.2,2.7,98,39,3.02,18.98
MUDGEE AIRPORT,07/09/2024,3.8,0.0, ,26.4,6.5,98,40,2.75,18.64
MUDGEE AIRPORT,08/09/2024,2.2,0.0, ,17.6,11.5,98,40,2.51,8.20
MUDGEE AIRPORT,09/09/2024,2.9,0.2, ,19.9,3.2,98,44,2.83,16.60
MUDGEE AIRPORT,10/09/2024,3.1,0.0, ,21.3,1.5,98,39,1.88,19.64
MUDGEE AIRPORT,11/09/2024,3.5,0.0, ,24.2,2.4,98,34,2.15,19.24
MUDGEE AIRPORT,12/09/2024,2.4,0.0, ,19.5,10.0,98,53,2.40,12.67
MUDGEE AIRPORT,13/09/2024,3.1,3.0, ,18.3,3.1,98,36,2.25,20.25
MUDGEE AIRPORT,14/09/2024,3.1,0.0, ,19.4,0.9,98,37,2.23,20.40
MUDGEE AIRPORT,15/09/2024,3.1,0.0, ,15.9,3.2,89,30,3.06,18.32
MUDGEE AIRPORT,16/09/2024,3.8,0.2, ,18.3,-3.6,97,22,3.69,20.73
MUDGEE AIRPORT,17/09/2024,3.2,0.0, ,19.1,-0.3,97,34,2.24,20.91
MUDGEE AIRPORT,18/09/2024,3.8,0.0, ,20.6,-1.9,98,23,2.88,21.07
MUDGEE AIRPORT,19/09/2024,5.4,0.0, ,23.4,-0.4,94,13,4.55,21.22
MUDGEE AIRPORT,20/09/2024,4.0,0.0, ,19.4,0.4,89,27,3.60,21.43
MUDGEE AIRPORT,21/09/2024,3.9,0.0, ,19.3,-0.8,97,32,3.92,21.52
MUDGEE AIRPORT,22/09/2024,4.0,0.0, ,21.3,-0.4,97,33,3.59,21.50
MUDGEE AIRPORT,23/09/2024,4.3,0.0, ,24.2,0.5,97,24,2.59,21.98
MUDGEE AIRPORT,24/09/2024,4.1,0.0, ,26.2,3.4,96,23,2.10,19.72
MUDGEE AIRPORT,25/09/2024,3.7,0.0, ,25.0,10.6,93,36,3.29,13.05
MUDGEE AIRPORT,26/09/2024,1.4,3.0, ,14.4,11.5,99,79,4.22,6.83
MUDGEE AIRPORT,27/09/2024,3.2,9.6, ,15.6,9.1,81,56,6.28,16.49
MUDGEE AIRPORT,28/09/2024,3.9,0.2, ,19.1,9.0,84,48,5.01,21.18
MUDGEE AIRPORT,29/09/2024,3.1,0.0, ,21.8,10.6,99,61,3.17,16.79
MUDGEE AIRPORT,30/09/2024,4.2,8.2, ,21.8,8.5,99,27,2.97,22.61
Totals:,,103.6,24.4, ,,,,,, 
