'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUDGEE AIRPORT New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUDGEE AIRPORT,01/12/2024,5.2,38.0, ,29.7,19.1,99,41,3.36,20.48
MUDGEE AIRPORT,02/12/2024,6.6,0.0, ,33.0,13.0,99,31,2.72,28.15
MUDGEE AIRPORT,03/12/2024,2.5,0.0, ,25.6,18.2,99,68,2.81,8.87
MUDGEE AIRPORT,04/12/2024,5.3,10.2, ,31.8,18.6,100,51,2.50,23.24
MUDGEE AIRPORT,05/12/2024,6.9,0.2, ,31.8,20.1,88,16,2.73,27.64
MUDGEE AIRPORT,06/12/2024,6.1,0.0, ,33.3,20.2,99,45,2.97,24.70
MUDGEE AIRPORT,07/12/2024,4.5,13.8, ,29.3,20.4,99,60,3.92,18.94
MUDGEE AIRPORT,08/12/2024,7.1,30.8, ,31.5,19.6,100,22,3.18,29.60
MUDGEE AIRPORT,09/12/2024,4.4,0.0, ,29.2,17.7,94,36,2.42,15.87
MUDGEE AIRPORT,10/12/2024,6.5,0.0, ,30.1,15.1,99,25,2.49,29.87
MUDGEE AIRPORT,11/12/2024,6.5,0.0, ,29.3,15.8,98,26,2.65,29.92
MUDGEE AIRPORT,12/12/2024,6.7,0.0, ,30.4,9.8,95,16,2.23,31.84
MUDGEE AIRPORT,13/12/2024,6.9,0.0, ,32.3,13.0,95,25,2.25,31.59
MUDGEE AIRPORT,14/12/2024,7.0,0.0, ,34.1,15.0,89,23,1.94,31.27
MUDGEE AIRPORT,15/12/2024,7.6,0.0, ,35.4,16.8,98,24,2.52,31.81
MUDGEE AIRPORT,16/12/2024,8.1,0.0, ,34.5,18.9,86,30,3.64,31.92
MUDGEE AIRPORT,17/12/2024,7.6,0.0, ,35.0,16.3,98,32,2.97,31.97
MUDGEE AIRPORT,18/12/2024,5.2,0.0, ,23.2,18.1,81,45,5.25,20.66
MUDGEE AIRPORT,19/12/2024,7.2,0.0, ,27.0,14.7,71,32,4.65,31.88
MUDGEE AIRPORT,20/12/2024,6.7,0.0, ,30.4,10.1,89,23,2.28,31.89
MUDGEE AIRPORT,21/12/2024,7.1,0.0, ,33.3,11.5,89,22,2.29,31.80
MUDGEE AIRPORT,22/12/2024,8.9,0.0, ,34.4,17.4,75,14,4.08,31.90
MUDGEE AIRPORT,23/12/2024,8.0,0.0, ,25.3,10.0,81,13,6.58,31.96
MUDGEE AIRPORT,24/12/2024,6.9,0.0, ,28.9,6.0,78,20,3.05,31.98
MUDGEE AIRPORT,25/12/2024,6.7,0.0, ,31.7,9.0,87,21,2.00,31.98
MUDGEE AIRPORT,26/12/2024,8.1,0.0, ,34.1,14.2,78,24,3.65,31.40
MUDGEE AIRPORT,27/12/2024,8.3,13.8, ,33.9,17.4,98,30,5.81,28.68
MUDGEE AIRPORT,28/12/2024,6.9,0.2, ,27.9,12.6,79,24,3.34,31.18
MUDGEE AIRPORT,29/12/2024, ,0.0, , ,7.9,87,23,2.71,31.92
MUDGEE AIRPORT,30/12/2024, , , ,31.7, ,78,26,2.96,30.24
MUDGEE AIRPORT,31/12/2024,6.2,0.0, ,30.9,16.9,90,36,3.30,24.77
Totals:,,191.7,107, ,,,,,, 
