'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUDGEE AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUDGEE AIRPORT,01/05/2025, ,0.4, ,18.4,4.9,98,39,2.77, 
MUDGEE AIRPORT,02/05/2025,2.4,0.2, ,19.2,5.7,98,49,3.39,12.63
MUDGEE AIRPORT,03/05/2025,2.3,0.0, ,20.2,7.0,98,47,2.87,12.04
MUDGEE AIRPORT,04/05/2025,2.6,0.0, ,22.7,5.8,98,43,2.45,14.39
MUDGEE AIRPORT,05/05/2025,2.2,0.0, ,23.1,8.5,98,52,1.72,13.98
MUDGEE AIRPORT,06/05/2025,2.2,0.0, ,23.7,7.0,99,42,1.62,13.76
MUDGEE AIRPORT,07/05/2025,2.5,0.0, ,23.4,4.3,98,46,2.46,13.07
MUDGEE AIRPORT,08/05/2025,2.8,0.0, ,22.1,5.2,98,20,2.36,14.00
MUDGEE AIRPORT,09/05/2025,2.6,0.0, ,20.7,5.7,97,40,3.15,13.52
MUDGEE AIRPORT,10/05/2025,2.3,0.0, ,20.5,7.2,98,49,3.22,12.69
MUDGEE AIRPORT,11/05/2025, ,0.0, , ,6.6,98,53,2.91,10.73
MUDGEE AIRPORT,12/05/2025,2.4, , ,22.7,9.1,99,29,2.04,12.80
MUDGEE AIRPORT,13/05/2025,2.1,0.0, ,22.8,9.1,98,48,2.20,10.87
MUDGEE AIRPORT,14/05/2025,1.8,0.0, ,22.5,8.5,99,49,1.60,9.91
MUDGEE AIRPORT,15/05/2025,1.6,0.0, ,18.7,7.9,98,66,2.67,9.51
MUDGEE AIRPORT,16/05/2025,1.8,0.0, ,21.3,10.5,98,57,2.10,10.83
MUDGEE AIRPORT,17/05/2025,2.3,0.0, ,21.5,7.0,99,24,1.98,12.06
MUDGEE AIRPORT,18/05/2025,1.3,0.0, ,15.9,2.4,98,63,2.69,3.84
MUDGEE AIRPORT,19/05/2025,2.4,13.6, ,15.7,8.9,90,47,5.73,9.97
MUDGEE AIRPORT,20/05/2025,2.6,0.2, ,17.1,11.2,73,59,5.97,10.69
MUDGEE AIRPORT,21/05/2025,1.2,0.2, ,15.3,13.3,98,73,4.48,4.45
MUDGEE AIRPORT,22/05/2025,0.8,15.8, ,16.6,13.2,99,92,3.21,5.38
MUDGEE AIRPORT,23/05/2025,1.5,20.0, ,17.7,12.4,99,55,1.77,9.87
MUDGEE AIRPORT,24/05/2025,2.0,0.0, ,17.9,4.7,98,53,3.73,11.07
MUDGEE AIRPORT,25/05/2025,1.3,0.2, ,17.0,2.1,98,34,1.10,8.35
MUDGEE AIRPORT,26/05/2025,0.9,0.0, ,14.7,4.7,99,70,1.58,3.90
MUDGEE AIRPORT,27/05/2025,2.1,31.4, ,14.7,9.0,99,49,5.65,10.65
MUDGEE AIRPORT,28/05/2025,2.0,2.6, ,15.2,7.9,88,55,4.51,12.01
MUDGEE AIRPORT,29/05/2025,1.3,0.0, ,15.5,4.7,98,64,2.17,9.50
MUDGEE AIRPORT,30/05/2025,1.3,0.0, ,18.3,2.8,99,51,1.22,11.67
MUDGEE AIRPORT,31/05/2025,1.5,0.0, ,19.1,3.8,99,53,1.59,12.04
Totals:,,56.1,84.6, ,,,,,, 
