'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUDGEE AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUDGEE AIRPORT,01/08/2025,1.5,0.0, ,13.6,1.7,98,61,2.89,11.24
MUDGEE AIRPORT,02/08/2025,1.7,0.0, ,13.8,6.8,95,60,5.21,7.62
MUDGEE AIRPORT,03/08/2025,2.5,1.4, ,18.1,9.5,98,55,6.07,12.76
MUDGEE AIRPORT,04/08/2025,2.0,0.0, ,18.6,6.5,98,55,2.73,12.73
MUDGEE AIRPORT,05/08/2025,1.8,0.0, ,18.5,5.6,99,57,2.32,12.51
MUDGEE AIRPORT,06/08/2025,1.8,0.0, ,15.7,-0.8,99,37,1.54,14.27
MUDGEE AIRPORT,07/08/2025,1.4,0.0, ,14.2,-1.2,98,66,2.98,9.12
MUDGEE AIRPORT,08/08/2025,2.1,0.2, ,14.1,7.9,79,54,4.36,9.15
MUDGEE AIRPORT,09/08/2025,2.3,0.0, ,16.4,8.3,86,57,4.83,11.54
MUDGEE AIRPORT,10/08/2025,2.4,0.0, ,16.7,9.0,90,52,4.16,13.16
MUDGEE AIRPORT,11/08/2025,1.9,0.0, ,16.2,4.2,98,55,2.53,13.16
MUDGEE AIRPORT,12/08/2025,1.9,0.0, ,16.6,-0.2,98,42,1.59,15.08
MUDGEE AIRPORT,13/08/2025,1.6,0.0, ,15.9,-0.8,99,50,1.50,11.93
MUDGEE AIRPORT,14/08/2025,2.0,0.6, ,17.0,2.7,99,44,1.77,14.98
MUDGEE AIRPORT,15/08/2025,2.1,0.2, ,17.1,-0.2,99,43,2.09,15.34
MUDGEE AIRPORT,16/08/2025,2.1,0.0, ,15.3,2.7,98,49,3.82,12.27
MUDGEE AIRPORT,17/08/2025,2.0,0.0, ,13.0,-3.1,98,40,2.68,15.67
MUDGEE AIRPORT,18/08/2025,2.3,0.0, ,15.1,-3.4,97,33,2.61,15.18
MUDGEE AIRPORT,19/08/2025,2.4,0.0, ,15.8,4.8,86,47,4.04,11.66
MUDGEE AIRPORT,20/08/2025,1.3,0.0, ,12.4,5.8,98,70,4.11,7.16
MUDGEE AIRPORT,21/08/2025,2.0,23.0, ,15.5,9.4,98,60,3.27,13.57
MUDGEE AIRPORT,22/08/2025,2.0,0.4, ,18.3,1.4,99,53,1.65,15.00
MUDGEE AIRPORT,23/08/2025,2.9,1.8, ,19.0,2.7,98,38,3.47,16.22
MUDGEE AIRPORT,24/08/2025,2.3,0.0, ,17.9,-0.3,98,41,1.94,16.36
MUDGEE AIRPORT,25/08/2025,2.3,0.0, ,20.0,1.1,98,50,1.72,17.10
MUDGEE AIRPORT,26/08/2025,2.7,0.0, ,22.1,2.9,99,42,1.90,17.21
MUDGEE AIRPORT,27/08/2025,1.7,0.0, ,15.6,7.4,98,60,4.03,6.01
MUDGEE AIRPORT,28/08/2025, ,0.4, , ,5.7,96,46,4.81,14.83
MUDGEE AIRPORT,29/08/2025, , , , , ,97,39,5.63,14.46
MUDGEE AIRPORT,30/08/2025,2.0, , ,11.4,4.1,98,55,6.65,11.82
MUDGEE AIRPORT,31/08/2025,2.5,0.2, ,16.9,-2.5,98,39,2.13,18.02
Totals:,,59.5,28.2, ,,,,,, 
