'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MURRURUNDI GAP New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MURRURUNDI GAP,01/10/2024,4.1, , ,19.0,8.7,100,42,5.34,23.28
MURRURUNDI GAP,02/10/2024,3.8,0.0, ,19.2,7.0,100,56,8.70,22.54
MURRURUNDI GAP,03/10/2024,3.7,1.2, ,17.9,6.3,100,52,6.92,23.74
MURRURUNDI GAP,04/10/2024,4.1,0.0, ,19.8,8.4,100,47,6.54,23.23
MURRURUNDI GAP,05/10/2024,3.3,9.6, ,20.0,11.1,100,52,8.19,10.72
MURRURUNDI GAP,06/10/2024, ,0.0, , ,10.6,77,32,8.09,24.41
MURRURUNDI GAP,07/10/2024,6.0, , ,24.8,14.1,57,29,4.50,24.33
MURRURUNDI GAP,08/10/2024,5.4,0.0, ,23.0,12.6,100,31,6.59,24.09
MURRURUNDI GAP,09/10/2024, ,0.2, , ,8.6,100,100,10.13,11.84
MURRURUNDI GAP,10/10/2024, , , , , ,100,49,4.33,24.05
MURRURUNDI GAP,11/10/2024, , , , , ,81,46,2.77,24.99
MURRURUNDI GAP,12/10/2024,2.7, , ,14.6,12.2,100,58,9.27,14.33
MURRURUNDI GAP,13/10/2024,3.6,0.0, ,19.0,6.1,100,58,6.53,22.22
MURRURUNDI GAP,14/10/2024, ,0.0, , ,9.9,100,78,5.69,7.01
MURRURUNDI GAP,15/10/2024, ,13.4, ,16.9, ,100,79,8.32,20.97
MURRURUNDI GAP,16/10/2024,0.8, , ,14.1,8.1,100,100,5.21,6.26
MURRURUNDI GAP,17/10/2024, ,13.8, , ,8.7,100,55,3.38,22.04
MURRURUNDI GAP,18/10/2024, , , ,22.7, ,100,62,7.81,15.06
MURRURUNDI GAP,19/10/2024,3.6,10.6, ,21.2,14.1,100,65,6.51,20.73
MURRURUNDI GAP,20/10/2024,4.4,0.0, ,20.9,11.7,100,53,6.17,25.67
MURRURUNDI GAP,21/10/2024,3.4,0.0, ,16.8,11.0,97,65,10.16,23.50
MURRURUNDI GAP,22/10/2024,4.8,0.0, ,20.6,7.5,100,33,5.41,24.32
MURRURUNDI GAP,23/10/2024,6.1,0.0, ,26.3,10.6,50,31,3.82,26.06
MURRURUNDI GAP,24/10/2024,4.8,0.0, ,25.0,17.5,100,32,3.24,20.89
MURRURUNDI GAP,25/10/2024,4.9,8.4, ,18.8,8.5,100,30,5.15,27.41
MURRURUNDI GAP,26/10/2024,4.6,0.0, ,19.1,6.6,100,39,5.89,26.56
MURRURUNDI GAP,27/10/2024,4.6,0.0, ,21.6,7.7,99,31,4.85,19.86
MURRURUNDI GAP,28/10/2024,6.1,0.0, ,25.6,15.2,100,20,4.32,26.41
MURRURUNDI GAP,29/10/2024,5.5,0.0, ,22.9,11.0,100,36,6.01,27.13
MURRURUNDI GAP,30/10/2024,6.0,0.0, ,26.0,9.4,100,29,4.27,27.71
MURRURUNDI GAP,31/10/2024,6.5,0.0, ,26.6,16.5,59,19,3.51,25.96
Totals:,,102.8,57.2, ,,,,,, 
