'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MURRURUNDI GAP New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MURRURUNDI GAP,01/11/2024,5.5,0.2, ,23.2,12.5,99,39,6.01,27.27
MURRURUNDI GAP,02/11/2024,5.1,0.0, ,24.6,10.6,100,46,5.48,25.08
MURRURUNDI GAP,03/11/2024,7.6,0.0, ,27.6,14.9,89,32,10.15,25.20
MURRURUNDI GAP,04/11/2024,6.6,0.0, ,27.2,19.2,62,34,5.99,19.14
MURRURUNDI GAP,05/11/2024,5.8,0.0, ,24.2,14.6,100,41,7.83,26.81
MURRURUNDI GAP,06/11/2024,6.9,0.0, ,31.5,14.2,100,28,4.46,25.83
MURRURUNDI GAP,07/11/2024,8.2,0.0, ,33.5,22.0,100,26,8.13,21.91
MURRURUNDI GAP,08/11/2024,7.2,4.0, ,26.8,13.0,99,20,6.15,29.11
MURRURUNDI GAP,09/11/2024,7.1,0.0, ,27.4,13.5,72,26,4.95,28.53
MURRURUNDI GAP,10/11/2024,6.4,0.0, ,28.6,14.0,100,31,5.89,22.61
MURRURUNDI GAP,11/11/2024,2.6,0.0, ,20.8,13.6,100,79,8.66,15.04
MURRURUNDI GAP,12/11/2024,3.9,15.0, ,21.6,13.7,100,71,7.08,24.58
MURRURUNDI GAP,13/11/2024,4.3,0.8, ,24.4,14.0,100,48,4.95,17.97
MURRURUNDI GAP,14/11/2024,5.2,4.2, ,24.3,12.2,100,55,6.35,28.58
MURRURUNDI GAP,15/11/2024,3.8,0.0, ,23.7,14.4,100,71,7.72,20.98
MURRURUNDI GAP,16/11/2024,5.7,0.0, ,26.5,13.5,100,50,5.89,27.82
MURRURUNDI GAP,17/11/2024,7.0,0.0, ,28.2,15.9,100,36,8.20,26.66
MURRURUNDI GAP,18/11/2024,2.0,15.4, ,19.0,16.6,100,73,6.58,7.61
MURRURUNDI GAP,19/11/2024,4.8,5.0, ,23.3,12.0,100,60,7.21,27.73
MURRURUNDI GAP,20/11/2024,5.4,0.0, ,23.4,9.4,100,46,5.84,29.30
MURRURUNDI GAP,21/11/2024, ,0.2, , ,9.5,100,40,5.97,30.18
MURRURUNDI GAP,22/11/2024, , , ,26.2, ,99,38,4.58,29.68
MURRURUNDI GAP,23/11/2024,7.3,0.0, ,27.6,14.9,81,18,4.32,30.41
MURRURUNDI GAP,24/11/2024,8.1,0.0, ,30.4,18.2,51,24,4.24,30.14
MURRURUNDI GAP,25/11/2024,8.2,0.0, ,30.7,19.1,67,28,5.09,30.11
MURRURUNDI GAP,26/11/2024,8.9,0.0, ,31.0,19.3,60,26,5.80,30.68
MURRURUNDI GAP,27/11/2024,9.5,0.0, ,31.6,19.7,77,21,8.35,27.21
MURRURUNDI GAP,28/11/2024,2.3,0.2, ,23.4,18.7,100,71,4.52,7.78
MURRURUNDI GAP,29/11/2024,2.1,2.8, ,22.1,17.6,100,81,5.23,9.86
MURRURUNDI GAP,30/11/2024, ,7.6, ,20.8,17.7,100,84,5.63, 
Totals:,,157.5,55.4, ,,,,,, 
