'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MURRURUNDI GAP New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MURRURUNDI GAP,01/01/2025,6.3,12.4, ,29.1,15.8,100,30,3.11,27.60
MURRURUNDI GAP,02/01/2025,5.8,0.0, ,26.6,18.3,99,56,8.18,27.49
MURRURUNDI GAP,03/01/2025,6.4,0.0, ,27.2,13.8,100,44,7.71,28.22
MURRURUNDI GAP,04/01/2025,7.4,0.0, ,30.7,14.5,96,26,3.96,30.72
MURRURUNDI GAP,05/01/2025,8.7,0.0, ,33.1,18.1,62,20,4.60,29.71
MURRURUNDI GAP,06/01/2025,9.6,0.0, ,34.1,19.9,57,19,5.16,30.90
MURRURUNDI GAP,07/01/2025,2.5,8.2, ,19.3,16.3,100,58,7.42,5.42
MURRURUNDI GAP,08/01/2025,1.4,15.0, ,16.6,13.5,100,91,10.16,10.52
MURRURUNDI GAP,09/01/2025,3.9,1.0, ,22.5,12.8,100,72,8.49,23.86
MURRURUNDI GAP,10/01/2025,5.0,0.0, ,26.8,14.5,100,53,6.58,20.65
MURRURUNDI GAP,11/01/2025,3.9,0.0, ,26.3,15.7,100,54,3.93,15.13
MURRURUNDI GAP,12/01/2025,4.8,6.6, ,25.9,15.6,100,50,3.64,22.26
MURRURUNDI GAP,13/01/2025,6.7,1.8, ,29.9,15.9,93,32,4.32,26.67
MURRURUNDI GAP,14/01/2025,7.6,0.2, ,33.1,19.5,79,30,4.43,26.71
MURRURUNDI GAP,15/01/2025,9.3,0.0, ,33.4,20.1,91,30,8.80,29.05
MURRURUNDI GAP,16/01/2025,4.3,9.4, ,23.6,14.4,100,58,8.35,19.56
MURRURUNDI GAP,17/01/2025,1.7,5.2, ,13.9,12.2,100,78,12.30,9.44
MURRURUNDI GAP,18/01/2025,2.2,9.8, ,20.4,11.0,100,77,11.65,10.14
MURRURUNDI GAP,19/01/2025,4.8,7.0, ,21.6,13.5,100,54,10.94,25.07
MURRURUNDI GAP,20/01/2025,6.2,0.0, ,23.9,9.8,100,33,5.98,30.37
MURRURUNDI GAP,21/01/2025,6.7,0.0, ,30.5,12.4,95,27,4.04,25.89
MURRURUNDI GAP,22/01/2025,8.1,0.0, ,32.9,20.7,98,24,8.39,18.76
MURRURUNDI GAP,23/01/2025, , , ,25.9, ,100,58,10.77,27.77
MURRURUNDI GAP,24/01/2025,7.5,0.0, ,29.6,16.1,100,26,5.37,30.26
MURRURUNDI GAP,25/01/2025,7.2,0.0, ,29.8,11.6,91,41,6.47,30.11
MURRURUNDI GAP,26/01/2025,6.5,0.0, ,31.2,15.7,97,44,5.20,25.70
MURRURUNDI GAP,27/01/2025,8.4,0.0, ,33.9,20.3,88,31,6.75,25.78
MURRURUNDI GAP,28/01/2025,8.8,0.0, ,33.8,22.2,100,32,9.22,26.86
MURRURUNDI GAP,29/01/2025,4.8,0.0, ,27.3,17.0,100,66,8.34,22.90
MURRURUNDI GAP,30/01/2025,5.4,0.8, ,29.6,17.1,100,55,6.12,21.87
MURRURUNDI GAP,31/01/2025,2.7,0.2, ,22.5,18.1,100,87,8.53,18.27
Totals:,,174.6,77.6, ,,,,,, 
