'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MURRURUNDI GAP New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MURRURUNDI GAP,01/05/2025,1.8,0.0, ,13.7,8.0,100,70,11.68,12.58
MURRURUNDI GAP,02/05/2025,2.1,0.6, ,15.9,8.5,100,66,8.73,13.74
MURRURUNDI GAP,03/05/2025,2.2,0.4, ,17.0,9.0,100,66,8.02,14.53
MURRURUNDI GAP,04/05/2025,2.0,0.0, ,18.1,6.6,100,72,6.01,14.80
MURRURUNDI GAP,05/05/2025,2.0,0.4, ,18.9,9.4,100,71,4.87,13.67
MURRURUNDI GAP,06/05/2025,2.7,0.0, ,22.1,10.5,93,43,3.21,12.72
MURRURUNDI GAP,07/05/2025, ,0.0, , ,13.0,79,58,4.08,12.69
MURRURUNDI GAP,08/05/2025, , , ,18.2, ,100,41,4.75,14.32
MURRURUNDI GAP,09/05/2025,1.9,0.0, ,15.8,8.5,100,70,8.36,12.31
MURRURUNDI GAP,10/05/2025,2.2,0.0, ,17.2,7.3,100,57,5.38,11.11
MURRURUNDI GAP,11/05/2025,1.5,0.2, ,17.2,9.9,100,81,5.71,12.37
MURRURUNDI GAP,12/05/2025,1.8,1.4, ,18.0,10.4,100,74,5.78,13.75
MURRURUNDI GAP,13/05/2025,1.6,0.4, ,18.1,10.2,100,79,5.72,12.67
MURRURUNDI GAP,14/05/2025,1.9,0.2, ,20.5,11.3,100,67,4.09,9.52
MURRURUNDI GAP,15/05/2025,0.7,0.4, ,14.1,12.0,100,95,6.75,6.13
MURRURUNDI GAP,16/05/2025,1.1,5.4, ,17.2,12.1,100,87,3.01,7.57
MURRURUNDI GAP,17/05/2025,1.7,1.6, ,17.8,12.1,100,51,1.79,10.95
MURRURUNDI GAP,18/05/2025,2.2,0.0, ,15.0,6.5,100,53,7.28,11.59
MURRURUNDI GAP,19/05/2025,0.8,1.6, ,11.0,7.8,100,88,13.02,7.77
MURRURUNDI GAP,20/05/2025,0.4,17.0, ,12.4,8.5,100,98,11.37,4.65
MURRURUNDI GAP,21/05/2025,0.4,19.6, ,13.6,9.9,100,100,8.32,4.15
MURRURUNDI GAP,22/05/2025,0.6,26.0, ,14.7,12.2,100,100,5.26,5.53
MURRURUNDI GAP,23/05/2025,1.6,11.0, ,15.7,11.8,100,67,5.32,9.36
MURRURUNDI GAP,24/05/2025,2.4,0.0, ,15.1,7.4,93,56,8.48,12.70
MURRURUNDI GAP,25/05/2025,2.0,0.0, ,15.7,9.0,89,59,5.80,8.77
MURRURUNDI GAP,26/05/2025,2.2,0.0, ,18.4,9.6,100,49,4.66,8.80
MURRURUNDI GAP,27/05/2025,2.2,35.4, ,13.2,11.6,100,54,11.54,9.15
MURRURUNDI GAP,28/05/2025,1.6,0.6, ,13.2,6.0,99,65,5.91,12.37
MURRURUNDI GAP,29/05/2025,1.0,0.2, ,11.8,3.9,100,82,6.81,7.56
MURRURUNDI GAP,30/05/2025,1.2,0.6, ,14.1,5.9,100,82,7.59,10.87
MURRURUNDI GAP,31/05/2025,1.7,0.2, ,14.7,8.0,100,68,7.46,11.62
Totals:,,47.5,123.2, ,,,,,, 
