'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRABRI AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRABRI AIRPORT,01/09/2024,4.1,0.0, ,28.3,7.4,92,35,2.66,19.09
NARRABRI AIRPORT,02/09/2024,5.0,0.0, ,26.5,9.9,98,22,4.18,19.22
NARRABRI AIRPORT,03/09/2024,3.9,0.0, ,19.4,5.2,77,31,4.21,19.39
NARRABRI AIRPORT,04/09/2024,3.6,0.0, ,22.4,0.9,95,35,3.07,19.48
NARRABRI AIRPORT,05/09/2024,4.3,0.0, ,23.7,5.9,91,43,5.34,19.61
NARRABRI AIRPORT,06/09/2024,4.2,0.0, ,24.7,6.5,96,46,5.08,19.42
NARRABRI AIRPORT,07/09/2024,5.3,0.0, ,27.9,11.8,82,38,5.05,19.89
NARRABRI AIRPORT,08/09/2024,3.9,0.0, ,27.5,9.7,98,40,2.42,19.39
NARRABRI AIRPORT,09/09/2024,3.0,0.0, ,20.7,12.1,87,34,2.86,11.22
NARRABRI AIRPORT,10/09/2024,4.7,0.0, ,25.7,5.3,95,22,3.31,20.32
NARRABRI AIRPORT,11/09/2024,4.2,0.0, ,27.1,8.1,94,50,4.09,18.89
NARRABRI AIRPORT,12/09/2024,3.5,10.2, ,23.0,13.7,100,52,3.82,18.00
NARRABRI AIRPORT,13/09/2024,3.9,0.2, ,20.2,10.9,98,47,6.02,20.93
NARRABRI AIRPORT,14/09/2024,4.2,0.0, ,22.6,7.7,93,28,3.23,21.05
NARRABRI AIRPORT,15/09/2024,3.9,0.0, ,17.8,4.9,92,32,4.87,21.13
NARRABRI AIRPORT,16/09/2024,4.3,0.0, ,20.7,3.0,87,26,3.84,21.41
NARRABRI AIRPORT,17/09/2024,3.8,0.0, ,22.0,1.0,93,24,2.37,21.56
NARRABRI AIRPORT,18/09/2024,4.3,0.0, ,23.7,4.0,92,27,2.84,21.66
NARRABRI AIRPORT,19/09/2024,5.3,0.0, ,26.9,3.8,95,15,3.31,21.80
NARRABRI AIRPORT,20/09/2024,5.0,0.0, ,26.3,2.2,88,17,3.02,21.95
NARRABRI AIRPORT,21/09/2024,4.3,0.0, ,24.6,3.3,89,23,2.32,22.09
NARRABRI AIRPORT,22/09/2024,4.4,0.0, ,25.3,4.0,92,20,2.34,22.26
NARRABRI AIRPORT,23/09/2024,4.7,0.0, ,27.0,4.6,89,19,2.32,22.40
NARRABRI AIRPORT,24/09/2024,5.7,0.0, ,28.9,6.6,82,21,3.78,19.76
NARRABRI AIRPORT,25/09/2024,7.2,0.0, ,28.4,15.5,55,32,7.26,19.19
NARRABRI AIRPORT,26/09/2024,2.9,0.2, ,20.6,16.3,99,43,4.84,7.64
NARRABRI AIRPORT,27/09/2024,2.8,15.8, ,17.1,10.7,98,54,7.35,10.81
NARRABRI AIRPORT,28/09/2024,4.5,0.8, ,22.4,9.3,87,46,5.68,21.36
NARRABRI AIRPORT,29/09/2024,4.8,0.0, ,27.1,10.9,95,45,4.02,22.46
NARRABRI AIRPORT,30/09/2024,4.6,0.0, ,26.4,15.0,97,34,3.43,19.07
Totals:,,130.3,27.2, ,,,,,, 
