'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRABRI AIRPORT New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRABRI AIRPORT,01/12/2024,6.1,53.0, ,31.9,19.9,98,45,3.85,24.84
NARRABRI AIRPORT,02/12/2024, ,0.0, , ,17.5,98,30,2.76,25.26
NARRABRI AIRPORT,03/12/2024,3.5, , ,27.7,23.0,100,60,5.95,10.51
NARRABRI AIRPORT,04/12/2024, ,5.0, , ,21.4,100,56,2.75,19.25
NARRABRI AIRPORT,05/12/2024, , , ,33.2, ,99,48,2.31,24.49
NARRABRI AIRPORT,06/12/2024,6.5,0.0, ,33.6,23.2,92,48,3.31,26.21
NARRABRI AIRPORT,07/12/2024,8.4,0.0, ,35.0,24.8,80,42,5.22,29.62
NARRABRI AIRPORT,08/12/2024,8.0,8.4, ,35.4,22.1,98,29,3.45,31.07
NARRABRI AIRPORT,09/12/2024,6.5,0.0, ,34.1,18.3,88,35,3.22,23.73
NARRABRI AIRPORT,10/12/2024,7.2,0.0, ,33.3,19.1,92,30,2.61,31.51
NARRABRI AIRPORT,11/12/2024,8.2,0.0, ,32.5,18.8,83,29,4.60,31.68
NARRABRI AIRPORT,12/12/2024,7.8,0.0, ,33.4,17.0,89,28,3.65,31.38
NARRABRI AIRPORT,13/12/2024,8.5,0.0, ,35.5,17.1,82,26,4.12,30.56
NARRABRI AIRPORT,14/12/2024,7.9,0.0, ,36.6,19.3,82,22,2.57,31.62
NARRABRI AIRPORT,15/12/2024,8.9,0.0, ,37.5,21.3,82,25,3.79,31.56
NARRABRI AIRPORT,16/12/2024,8.8,0.0, ,38.7,20.1,68,15,2.94,31.78
NARRABRI AIRPORT,17/12/2024,8.0,0.0, ,37.4,19.1,81,31,3.41,28.27
NARRABRI AIRPORT,18/12/2024,8.3,0.0, ,34.1,23.1,90,45,6.56,30.71
NARRABRI AIRPORT,19/12/2024,9.2,0.0, ,32.2,15.1,67,22,5.80,31.83
NARRABRI AIRPORT,20/12/2024,7.7,0.0, ,32.5,15.7,72,27,3.26,31.71
NARRABRI AIRPORT,21/12/2024,7.9,0.0, ,36.6,15.0,74,22,2.58,31.82
NARRABRI AIRPORT,22/12/2024,11.4,0.0, ,39.6,22.1,55,18,6.18,28.08
NARRABRI AIRPORT,23/12/2024,11.1,0.0, ,33.7,25.0,55,11,6.50,31.73
NARRABRI AIRPORT,24/12/2024,8.5,0.0, ,32.4,12.4,51,17,3.93,31.84
NARRABRI AIRPORT,25/12/2024,7.3,0.0, ,34.8,13.2,62,12,1.98,31.83
NARRABRI AIRPORT,26/12/2024,10.8,0.0, ,36.9,17.5,57,19,5.84,31.88
NARRABRI AIRPORT,27/12/2024,10.7,0.0, ,39.0,25.1,93,27,8.33,27.39
NARRABRI AIRPORT,28/12/2024,8.9,8.4, ,34.5,21.5,89,17,4.33,31.86
NARRABRI AIRPORT,29/12/2024,8.9,0.0, ,34.0,17.4,47,14,3.71,31.84
NARRABRI AIRPORT,30/12/2024,9.2,0.0, ,37.6,16.6,75,22,4.46,28.53
NARRABRI AIRPORT,31/12/2024,7.2,0.0, ,33.8,19.5,81,36,4.28,24.84
Totals:,,231.4,74.8, ,,,,,, 
