'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRABRI AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRABRI AIRPORT,01/02/2025,8.6,0.0, ,38.6,21.7,83,25,4.75,23.84
NARRABRI AIRPORT,02/02/2025,8.9,0.0, ,36.6,20.5,68,19,4.20,28.86
NARRABRI AIRPORT,03/02/2025,7.3,0.0, ,35.7,18.9,72,25,3.21,25.00
NARRABRI AIRPORT,04/02/2025,4.7,0.0, ,31.0,22.5,67,41,3.22,12.34
NARRABRI AIRPORT,05/02/2025,6.9,0.0, ,36.3,20.8,82,28,3.52,21.45
NARRABRI AIRPORT,06/02/2025,6.5,0.0, ,33.5,20.1,83,37,3.78,22.85
NARRABRI AIRPORT,07/02/2025,7.4,0.0, ,35.5,22.7,67,29,3.51,24.43
NARRABRI AIRPORT,08/02/2025,8.7,0.0, ,36.0,22.8,66,26,4.79,26.41
NARRABRI AIRPORT,09/02/2025,8.2,0.0, ,36.6,20.8,92,29,4.82,26.74
NARRABRI AIRPORT,10/02/2025,4.4,2.2, ,30.9,20.0,97,46,4.90,10.61
NARRABRI AIRPORT,11/02/2025,6.9,0.2, ,35.7,18.1,99,37,4.88,21.38
NARRABRI AIRPORT,12/02/2025,5.0,7.8, ,33.4,19.1,97,47,4.41,14.76
NARRABRI AIRPORT,13/02/2025,6.2,15.0, ,36.0,20.7,95,39,4.00,19.09
NARRABRI AIRPORT,14/02/2025,6.1,0.2, ,34.4,20.6,100,38,4.45,19.28
NARRABRI AIRPORT,15/02/2025,5.8,12.6, ,30.9,19.8,100,28,3.51,21.67
NARRABRI AIRPORT,16/02/2025,6.4,0.2, ,27.7,12.0,90,20,3.70,27.51
NARRABRI AIRPORT,17/02/2025,7.1,0.0, ,30.6,12.7,71,29,4.28,27.19
NARRABRI AIRPORT,18/02/2025,6.5,0.0, ,31.8,15.7,79,28,3.55,23.81
NARRABRI AIRPORT,19/02/2025,5.9,0.0, ,33.8,16.0,84,29,2.59,22.37
NARRABRI AIRPORT,20/02/2025,7.3,0.0, ,34.1,20.2,76,33,4.80,22.78
NARRABRI AIRPORT,21/02/2025,7.2,0.0, ,34.1,18.7,80,27,3.75,25.58
NARRABRI AIRPORT,22/02/2025,6.6,0.0, ,34.3,17.5,86,26,2.86,25.38
NARRABRI AIRPORT,23/02/2025,6.3,0.0, ,33.7,17.0,84,28,2.58,25.91
NARRABRI AIRPORT,24/02/2025,7.4,0.0, ,36.7,17.8,73,24,3.12,26.07
NARRABRI AIRPORT,25/02/2025, ,0.0, ,38.2,19.6,72,24,3.04, 
NARRABRI AIRPORT,26/02/2025,6.9,0.0, ,37.0,20.3,87,26,2.75,25.45
NARRABRI AIRPORT,27/02/2025,7.1,0.0, ,37.1,21.8,70,27,2.92,25.46
NARRABRI AIRPORT,28/02/2025,8.2,0.0, ,37.2,23.5,62,25,4.05,25.32
Totals:,,184.5,38.2, ,,,,,, 
