'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRABRI AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRABRI AIRPORT,01/07/2025,1.8,0.0, ,16.0,0.4,100,52,3.49,12.65
NARRABRI AIRPORT,02/07/2025,2.2,0.0, ,16.5,5.2,87,55,5.15,10.47
NARRABRI AIRPORT,03/07/2025,1.8,0.0, ,16.0,2.4,96,51,3.17,12.78
NARRABRI AIRPORT,04/07/2025,1.4,0.0, ,16.9,-0.2,100,52,1.46,12.87
NARRABRI AIRPORT,05/07/2025,2.5,0.0, ,21.9,3.8,100,34,2.77,12.88
NARRABRI AIRPORT,06/07/2025,3.3,0.0, ,22.3,6.3,81,56,7.84,11.18
NARRABRI AIRPORT,07/07/2025,2.1,0.0, ,17.7,4.3,95,46,3.19,12.96
NARRABRI AIRPORT,08/07/2025,1.9,0.0, ,17.5,0.4,100,49,3.06,11.89
NARRABRI AIRPORT,09/07/2025,3.9,0.0, ,21.7,7.2,67,32,5.31,13.01
NARRABRI AIRPORT,10/07/2025,3.1,0.0, ,16.6,7.5,75,36,5.44,13.02
NARRABRI AIRPORT,11/07/2025,1.6,0.0, ,16.7,-3.1,98,45,1.91,13.16
NARRABRI AIRPORT,12/07/2025,1.8,0.0, ,19.2,3.2,99,45,1.91,13.06
NARRABRI AIRPORT,13/07/2025,1.7,0.0, ,17.7,-0.9,100,43,1.74,13.28
NARRABRI AIRPORT,14/07/2025,2.6,0.0, ,19.4,4.9,88,34,3.18,13.32
NARRABRI AIRPORT,15/07/2025,0.9,0.0, ,12.7,4.6,100,74,1.54,7.21
NARRABRI AIRPORT,16/07/2025,2.0,1.8, ,16.2,2.6,100,42,2.95,13.31
NARRABRI AIRPORT,17/07/2025,1.6,0.0, ,17.3,1.7,100,59,2.72,10.86
NARRABRI AIRPORT,18/07/2025, ,7.8, , ,6.5,100,58,3.65,12.52
NARRABRI AIRPORT,19/07/2025,2.2, , ,17.6,3.8,100,50,4.10,13.71
NARRABRI AIRPORT,20/07/2025,2.4,0.0, ,18.1,4.3,92,52,4.57,13.80
NARRABRI AIRPORT,21/07/2025,2.6,0.0, ,21.8,6.7,90,45,3.35,13.54
NARRABRI AIRPORT,22/07/2025,2.6,0.0, ,20.7,6.2,96,54,5.43,11.34
NARRABRI AIRPORT,23/07/2025,2.4,23.2, ,18.7,12.4,100,51,5.26,10.15
NARRABRI AIRPORT,24/07/2025, ,0.2, , ,-0.5,100,48,1.68,13.65
NARRABRI AIRPORT,25/07/2025, , , ,18.6, ,100,41,4.30,13.50
NARRABRI AIRPORT,26/07/2025,2.1,15.8, ,14.6,6.5,100,57,9.26,5.56
NARRABRI AIRPORT,27/07/2025,1.9,2.4, ,16.1,9.4,95,64,4.77,10.20
NARRABRI AIRPORT,28/07/2025,2.0,0.4, ,15.8,5.5,98,52,3.86,12.45
NARRABRI AIRPORT,29/07/2025,1.7,0.0, ,15.8,0.9,100,46,2.07,11.83
NARRABRI AIRPORT,30/07/2025,1.0,1.4, ,13.9,9.3,100,83,4.40,5.21
NARRABRI AIRPORT,31/07/2025,1.3,3.4, ,14.2,8.0,100,73,2.75,9.01
Totals:,,58.4,56.4, ,,,,,, 
