'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRANDERA AIRPORT New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRANDERA AIRPORT,01/10/2024,3.9,0.0, ,23.5,4.0,100,33,2.07,22.50
NARRANDERA AIRPORT,02/10/2024,4.3,0.0, ,25.7,3.1,100,28,2.38,22.17
NARRANDERA AIRPORT,03/10/2024,5.7,0.0, ,27.0,9.8,88,26,4.51,22.37
NARRANDERA AIRPORT,04/10/2024,4.0,0.0, ,24.4,13.7,100,38,5.28,11.42
NARRANDERA AIRPORT,05/10/2024,4.1,9.0, ,22.6,8.8,100,36,3.26,21.03
NARRANDERA AIRPORT,06/10/2024,3.9,0.0, ,22.9,8.2,99,40,3.90,17.13
NARRANDERA AIRPORT,07/10/2024,5.0,0.0, ,27.7,6.6,100,30,3.14,21.92
NARRANDERA AIRPORT,08/10/2024,4.6,0.0, ,21.0,6.2,93,25,4.03,22.78
NARRANDERA AIRPORT,09/10/2024,5.1,0.0, ,23.9,4.3,87,25,3.77,23.82
NARRANDERA AIRPORT,10/10/2024,5.3,0.0, ,27.4,6.6,91,27,3.16,24.00
NARRANDERA AIRPORT,11/10/2024,6.1,0.0, ,26.8,9.0,84,14,4.09,22.25
NARRANDERA AIRPORT,12/10/2024,5.6,0.0, ,26.4,5.3,88,21,3.55,24.22
NARRANDERA AIRPORT,13/10/2024,6.3,0.0, ,26.9,8.3,66,18,4.27,23.35
NARRANDERA AIRPORT,14/10/2024,6.4,0.0, ,31.1,13.1,66,19,3.79,19.50
NARRANDERA AIRPORT,15/10/2024,6.6,0.0, ,27.3,14.1,76,34,6.93,21.82
NARRANDERA AIRPORT,16/10/2024,4.4,1.2, ,24.6,13.0,92,45,4.45,18.06
NARRANDERA AIRPORT,17/10/2024, ,0.0, , ,11.6,100,29,4.69,19.80
NARRANDERA AIRPORT,18/10/2024, , , ,27.7, ,100,41,7.56,13.77
NARRANDERA AIRPORT,19/10/2024,5.8,1.0, ,25.8,14.0,85,40,6.12,23.81
NARRANDERA AIRPORT,20/10/2024,5.6,0.0, ,28.7,9.1,95,26,2.98,25.22
NARRANDERA AIRPORT,21/10/2024,5.8,0.0, ,29.7,9.3,100,24,2.87,25.64
NARRANDERA AIRPORT,22/10/2024, ,0.0, , ,14.2,66,18,3.03,23.90
NARRANDERA AIRPORT,23/10/2024, , , , , ,70,35,3.14,13.91
NARRANDERA AIRPORT,24/10/2024, , , ,21.5, ,69,25,5.03,25.34
NARRANDERA AIRPORT,25/10/2024,5.4,0.0, ,20.9,6.2,72,23,4.55,26.13
NARRANDERA AIRPORT,26/10/2024,4.8,0.0, ,24.7,2.3,89,17,1.92,26.05
NARRANDERA AIRPORT,27/10/2024,5.4,0.0, ,29.6,8.9,70,15,1.80,25.13
NARRANDERA AIRPORT,28/10/2024,6.9,0.0, ,27.2,12.4,71,18,4.60,26.40
NARRANDERA AIRPORT,29/10/2024,6.4,0.0, ,28.1,8.2,76,14,3.25,26.39
NARRANDERA AIRPORT,30/10/2024,6.0,0.0, ,29.2,6.6,79,14,2.52,26.55
NARRANDERA AIRPORT,31/10/2024,5.5,0.0, ,27.1,9.6,71,21,3.32,19.74
Totals:,,138.9,11.2, ,,,,,, 
