'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRANDERA AIRPORT New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRANDERA AIRPORT,01/01/2025,9.5,0.0, ,35.7,14.9,56,11,4.04,31.70
NARRANDERA AIRPORT,02/01/2025,8.9,0.0, ,34.0,15.1,60,9,3.76,31.61
NARRANDERA AIRPORT,03/01/2025,9.8,0.0, ,36.9,17.8,62,17,4.49,31.19
NARRANDERA AIRPORT,04/01/2025,12.5,0.0, ,40.0,23.8,45,11,6.20,30.46
NARRANDERA AIRPORT,05/01/2025,11.7,0.0, ,39.3,26.1,38,17,6.81,21.38
NARRANDERA AIRPORT,06/01/2025,4.6,0.0, ,32.4,24.6,100,30,4.43,7.84
NARRANDERA AIRPORT,07/01/2025,6.9,1.8, ,32.0,15.5,100,34,4.65,25.43
NARRANDERA AIRPORT,08/01/2025,8.8,9.6, ,31.4,16.5,69,21,5.29,31.64
NARRANDERA AIRPORT,09/01/2025,7.5,0.0, ,32.2,15.6,69,20,4.10,23.84
NARRANDERA AIRPORT,10/01/2025,9.3,0.0, ,34.9,20.5,67,24,5.69,27.83
NARRANDERA AIRPORT,11/01/2025,8.1,0.0, ,35.9,20.5,87,24,4.25,25.80
NARRANDERA AIRPORT,12/01/2025,8.4,6.8, ,35.6,19.6,91,25,4.57,28.03
NARRANDERA AIRPORT,13/01/2025,8.6,0.0, ,38.7,19.6,73,21,3.61,27.15
NARRANDERA AIRPORT,14/01/2025,9.1,0.4, ,39.1,22.3,76,17,3.52,30.20
NARRANDERA AIRPORT,15/01/2025,10.1,0.0, ,37.5,24.0,66,22,7.04,20.85
NARRANDERA AIRPORT,16/01/2025,9.3,0.6, ,28.9,14.1,65,16,7.40,30.91
NARRANDERA AIRPORT,17/01/2025, ,0.0, ,32.0,12.4, , , ,30.77
NARRANDERA AIRPORT,18/01/2025,10.2,0.0, ,33.8,17.0,52,24,6.80,30.62
NARRANDERA AIRPORT,19/01/2025,8.8,0.0, ,34.3,18.0,65,18,4.27,30.12
NARRANDERA AIRPORT,20/01/2025,8.5,0.0, ,36.6,18.0,57,16,3.34,29.07
NARRANDERA AIRPORT,21/01/2025,9.7,0.0, ,41.0,23.8,35,10,3.54,27.75
NARRANDERA AIRPORT,22/01/2025,8.2,0.0, ,33.5,21.4,57,21,4.57,23.36
NARRANDERA AIRPORT,23/01/2025, , , ,33.0, ,60,28,4.89,20.05
NARRANDERA AIRPORT,24/01/2025,8.2,0.0, ,30.9,13.8,79,18,5.00,29.72
NARRANDERA AIRPORT,25/01/2025,6.9,0.0, ,34.3,12.3,65,13,2.24,27.98
NARRANDERA AIRPORT,26/01/2025,6.7,0.0, ,37.3,14.8,63,11,1.48,29.54
NARRANDERA AIRPORT,27/01/2025,10.0,0.0, ,42.1,21.4,70,10,3.91,28.29
NARRANDERA AIRPORT,28/01/2025,10.1,0.0, ,35.0,24.1,51,11,5.33,28.09
NARRANDERA AIRPORT,29/01/2025,7.4,0.0, ,32.7,12.0,69,14,3.07,28.87
NARRANDERA AIRPORT,30/01/2025,7.4,0.0, ,33.3,13.0,64,17,3.21,26.85
NARRANDERA AIRPORT,31/01/2025,8.0,0.0, ,37.0,15.0,59,18,2.95,28.63
Totals:,,253.2,19.2, ,,,,,, 
