'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRANDERA AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRANDERA AIRPORT,01/03/2025,6.8,0.0, ,38.2,17.1,64,16,2.45,23.21
NARRANDERA AIRPORT,02/03/2025, ,0.0, , ,15.5,49,15,3.33,22.69
NARRANDERA AIRPORT,03/03/2025, , , , , ,74,18,3.30,23.82
NARRANDERA AIRPORT,04/03/2025, , , , , ,61,25,5.98,23.43
NARRANDERA AIRPORT,05/03/2025, , , , , ,62,21,4.46,23.34
NARRANDERA AIRPORT,06/03/2025, , , , , ,53,18,6.07,23.12
NARRANDERA AIRPORT,07/03/2025, , , , , ,68,26,6.42,22.96
NARRANDERA AIRPORT,08/03/2025, , , ,34.5, ,68,22,5.88,22.79
NARRANDERA AIRPORT,09/03/2025, ,0.0, , ,19.4,100,32,6.07,16.68
NARRANDERA AIRPORT,10/03/2025,4.0, , ,30.8,21.8,97,50,3.07,14.26
NARRANDERA AIRPORT,11/03/2025,8.0,0.0, ,35.2,20.1,88,22,5.52,22.58
NARRANDERA AIRPORT,12/03/2025,6.7,0.0, ,33.7,20.8,69,28,3.94,22.01
NARRANDERA AIRPORT,13/03/2025, ,0.0, , ,19.6, , , ,20.22
NARRANDERA AIRPORT,25/03/2025, , , , , , , , ,18.07
NARRANDERA AIRPORT,26/03/2025, , , , , , , , ,18.62
NARRANDERA AIRPORT,27/03/2025, , , , , ,65,23,4.56,19.16
NARRANDERA AIRPORT,28/03/2025, , , ,27.5, ,67,41,6.04,7.83
NARRANDERA AIRPORT,29/03/2025,2.6,2.6, ,23.6,17.1,100,55,3.97,8.85
NARRANDERA AIRPORT,30/03/2025,5.1,0.8, ,29.8,14.7,100,31,4.24,18.62
NARRANDERA AIRPORT,31/03/2025,5.3,0.2, ,29.0,15.4,80,26,3.98,18.41
Totals:,,38.5,3.6, ,,,,,, 
