'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRANDERA AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRANDERA AIRPORT,01/06/2025,1.5,0.0, ,21.1,1.3,99,38,1.46,11.04
NARRANDERA AIRPORT,02/06/2025,1.4,0.0, ,19.6,5.0,100,49,1.82,8.80
NARRANDERA AIRPORT,03/06/2025,1.8,0.0, ,20.0,4.2,100,41,2.39,10.31
NARRANDERA AIRPORT,04/06/2025,2.3,0.0, ,14.7,4.1,83,34,4.46,10.90
NARRANDERA AIRPORT,05/06/2025,1.0,0.0, ,16.1,-3.2,99,33,0.82,10.86
NARRANDERA AIRPORT,06/06/2025,2.4,0.0, ,16.8,3.7,76,34,3.92,8.07
NARRANDERA AIRPORT,07/06/2025,2.4,0.0, ,15.5,8.0,91,44,6.57,8.28
NARRANDERA AIRPORT,08/06/2025,1.2,3.0, ,10.0,6.7,100,67,7.49,5.61
NARRANDERA AIRPORT,09/06/2025,0.9,7.2, ,12.7,4.9,100,77,4.69,5.63
NARRANDERA AIRPORT,10/06/2025,0.7,0.0, ,10.1,7.2,100,84,2.77,5.38
NARRANDERA AIRPORT,11/06/2025,0.9,0.0, ,13.1,5.2,100,70,2.09,8.17
NARRANDERA AIRPORT,12/06/2025,0.8,0.2, ,13.7,1.7,100,69,0.97,9.61
NARRANDERA AIRPORT,13/06/2025,0.7,0.0, ,13.7,0.4,100,57,0.67,10.56
NARRANDERA AIRPORT,14/06/2025,1.1,0.2, ,15.7,-0.6,100,44,1.41,10.29
NARRANDERA AIRPORT,15/06/2025,0.9,1.6, ,11.8,5.6,99,73,2.58,7.48
NARRANDERA AIRPORT,16/06/2025,1.3,0.0, ,14.9,1.8,100,51,2.61,10.42
NARRANDERA AIRPORT,17/06/2025,1.5,0.0, ,14.5,3.5,92,51,3.40,9.42
NARRANDERA AIRPORT,18/06/2025,1.0,0.2, ,14.0,1.8,100,49,1.29,10.29
NARRANDERA AIRPORT,19/06/2025,0.9,0.0, ,13.3,0.2,100,53,1.38,9.58
NARRANDERA AIRPORT,20/06/2025,0.8,0.0, ,14.1,-2.0,100,54,1.00,10.59
NARRANDERA AIRPORT,21/06/2025,1.2,0.0, ,16.6,-1.8,100,40,1.54,10.60
NARRANDERA AIRPORT,22/06/2025,1.7,0.2, ,17.9,-0.4,99,48,3.13,10.14
NARRANDERA AIRPORT,23/06/2025,3.2,0.0, ,22.6,6.0,100,41,6.11,10.52
NARRANDERA AIRPORT,24/06/2025,2.1,23.6, ,14.9,12.3,100,52,8.27,10.44
NARRANDERA AIRPORT,25/06/2025,1.7,2.0, ,13.2,7.1,99,58,7.59,8.24
NARRANDERA AIRPORT,26/06/2025,1.0,1.8, ,12.0,0.3,99,59,2.08,10.66
NARRANDERA AIRPORT,27/06/2025,1.0,0.0, ,14.0,-1.0,100,49,1.53,10.68
NARRANDERA AIRPORT,28/06/2025,0.8,0.2, ,16.2,-0.8,100,52,0.66,10.70
NARRANDERA AIRPORT,29/06/2025,0.7,0.0, ,13.0,0.2,100,54,0.66,10.70
NARRANDERA AIRPORT,30/06/2025,0.7,0.0, ,13.0,-1.2,100,55,0.52,10.72
Totals:,,39.6,40.2, ,,,,,, 
