'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/09/2024,5.4,0.0, ,18.3,10.2,57,36,11.19,17.19
NERRIGA,02/09/2024,5.2,0.0, ,14.2,12.8,56,31,11.75,16.58
NERRIGA,03/09/2024,2.6,0.0, ,15.5,0.8,89,37,2.65,17.51
NERRIGA,04/09/2024,3.3,0.0, ,19.8,-0.2,97,25,2.96,17.40
NERRIGA,05/09/2024,4.8,0.0, ,21.9,7.8,66,34,6.81,13.86
NERRIGA,06/09/2024,5.3,0.0, ,23.4,11.3,72,32,6.95,17.94
NERRIGA,07/09/2024,2.7,0.0, ,20.6,13.8,99,42,3.73,9.87
NERRIGA,08/09/2024,3.2,0.0, ,16.4,2.6,99,36,5.88,15.26
NERRIGA,09/09/2024,3.4,0.0, ,17.4,5.3,83,48,5.92,17.99
NERRIGA,10/09/2024,2.6,0.0, ,18.6,1.3,98,44,1.72,18.68
NERRIGA,11/09/2024,2.8,0.0, ,19.6,5.3,99,43,2.71,15.61
NERRIGA,12/09/2024,1.8,0.0, ,14.1,6.7,93,68,4.47,9.70
NERRIGA,13/09/2024,2.4,0.8, ,15.8,-1.1,99,39,1.40,19.20
NERRIGA,14/09/2024,3.7,0.0, ,17.9,0.8,99,19,3.89,18.77
NERRIGA,15/09/2024,2.6,2.6, ,12.6,0.2,94,40,3.37,19.16
NERRIGA,16/09/2024,2.7,0.0, ,15.8,-4.1,96,29,2.26,17.22
NERRIGA,17/09/2024,3.3,0.0, ,17.4,-0.5,95,36,3.48,19.95
NERRIGA,18/09/2024,5.1,0.0, ,18.2,3.9,75,23,8.01,20.12
NERRIGA,19/09/2024,5.3,0.0, ,18.2,8.2,60,28,8.20,20.23
NERRIGA,20/09/2024,3.9,0.0, ,16.4,2.7,81,37,6.50,20.54
NERRIGA,21/09/2024,4.2,0.0, ,16.0,7.7,71,41,8.12,20.51
NERRIGA,22/09/2024,4.2,0.0, ,17.9,8.5,73,41,6.80,17.83
NERRIGA,23/09/2024,4.9,0.0, ,21.5,5.6,89,32,6.47,21.04
NERRIGA,24/09/2024,3.3,0.0, ,23.1,3.8,99,29,1.96,15.92
NERRIGA,25/09/2024,4.3,0.0, ,22.3,11.5,91,44,6.69,16.27
NERRIGA,26/09/2024,1.5,20.4, ,8.3,4.4,96,63,6.05,7.23
NERRIGA,27/09/2024,2.0,0.6, ,11.2,3.9,97,66,3.55,16.22
NERRIGA,28/09/2024,2.6,0.2, ,15.7,-0.4,99,55,3.10,17.68
NERRIGA,29/09/2024,2.5,0.0, ,19.6,4.7,99,62,3.17,14.04
NERRIGA,30/09/2024,2.7,0.8, ,15.8,8.7,95,61,3.36,17.79
Totals:,,104.3,25.4, ,,,,,, 
