'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/12/2024,4.2,11.6, ,26.2,16.2,99,56,3.87,18.27
NERRIGA,02/12/2024,7.2,1.2, ,30.4,12.7,96,25,3.94,30.18
NERRIGA,03/12/2024,3.0,0.2, ,24.7,17.1,97,61,3.52,10.73
NERRIGA,04/12/2024,5.1,1.2, ,24.9,16.1,96,55,3.53,26.73
NERRIGA,05/12/2024,5.6,0.0, ,30.2,13.7,94,54,2.31,27.80
NERRIGA,06/12/2024,5.4,0.0, ,32.0,17.4,98,50,3.06,22.17
NERRIGA,07/12/2024,5.7,38.2, ,30.4,18.1,99,54,4.83,23.86
NERRIGA,08/12/2024,6.9,0.0, ,27.9,16.8,95,30,4.66,29.69
NERRIGA,09/12/2024,3.9,0.0, ,23.2,13.2,94,35,2.39,16.24
NERRIGA,10/12/2024,4.9,0.0, ,23.6,8.1,99,49,3.23,27.38
NERRIGA,11/12/2024,6.0,0.0, ,26.3,13.1,97,28,3.14,28.73
NERRIGA,12/12/2024,6.4,0.2, ,29.3,10.5,99,27,2.20,31.67
NERRIGA,13/12/2024,7.1,0.0, ,30.4,11.8,99,27,3.71,30.59
NERRIGA,14/12/2024,6.3,0.0, ,31.1,16.0,94,39,2.91,27.78
NERRIGA,15/12/2024,6.4,0.0, ,29.0,17.8,97,47,2.87,31.05
NERRIGA,16/12/2024,7.3,0.0, ,34.0,13.6,99,35,3.00,31.62
NERRIGA,17/12/2024,7.5,0.0, ,33.8,19.5,93,34,4.89,25.93
NERRIGA,18/12/2024,4.8,0.0, ,20.6,12.4,93,46,4.91,25.32
NERRIGA,19/12/2024,4.8,0.2, ,21.9,10.4,93,47,3.58,26.10
NERRIGA,20/12/2024,6.2,0.0, ,28.7,6.9,99,29,2.12,31.93
NERRIGA,21/12/2024,6.6,0.0, ,31.4,9.9,97,26,3.29,26.24
NERRIGA,22/12/2024,5.0,0.0, ,27.1,13.1,96,50,2.85,24.27
NERRIGA,23/12/2024,6.4,0.2, ,21.8,10.6,97,24,6.98,30.46
NERRIGA,24/12/2024,6.0,0.0, ,24.7,4.0,92,31,3.34,32.08
NERRIGA,25/12/2024,6.7,0.0, ,30.3,7.0,98,27,2.63,32.13
NERRIGA,26/12/2024,8.5,0.0, ,34.2,10.0,95,18,3.97,32.05
NERRIGA,27/12/2024,7.9,0.6, ,30.8,18.4,88,36,6.55,29.18
NERRIGA,28/12/2024,6.7,0.2, ,26.8,11.2,94,20,4.01,28.84
NERRIGA,29/12/2024,6.4,0.0, ,27.2,7.1,93,28,3.55,30.61
NERRIGA,30/12/2024,6.5,0.0, ,28.6,12.2,93,38,3.49,30.98
NERRIGA,31/12/2024,3.3,0.0, ,22.9,15.1,94,72,3.31,16.28
Totals:,,184.7,53.8, ,,,,,, 
