'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/02/2025,4.6,0.0, ,25.1,11.4,98,59,3.19,25.64
NERRIGA,02/02/2025,5.1,0.0, ,26.8,13.8,96,52,2.84,26.64
NERRIGA,03/02/2025,5.9,0.2, ,29.5,10.2,98,45,3.13,28.97
NERRIGA,04/02/2025,6.8,0.2, ,33.7,13.2,98,24,2.73,27.89
NERRIGA,05/02/2025,4.5,0.0, ,29.4,18.6,96,54,2.64,19.39
NERRIGA,06/02/2025,5.2,2.6, ,28.8,15.4,97,52,2.51,25.38
NERRIGA,07/02/2025,6.9,0.2, ,33.9,14.4,99,24,3.01,27.82
NERRIGA,08/02/2025,3.1,0.6, ,26.4,16.9,98,66,2.70,13.12
NERRIGA,09/02/2025,3.2,14.8, ,24.8,14.6,98,67,2.53,15.61
NERRIGA,10/02/2025,2.7,15.8, ,21.8,15.6,97,67,3.19,11.94
NERRIGA,11/02/2025,3.8,0.8, ,25.0,12.1,99,55,2.09,19.82
NERRIGA,12/02/2025,3.1,22.8, ,22.9,12.3,99,75,2.42,17.66
NERRIGA,13/02/2025,5.0,1.6, ,27.0,16.6,93,60,4.67,24.31
NERRIGA,14/02/2025,1.7,11.0, ,23.3,18.2,98,78,2.90,6.20
NERRIGA,15/02/2025,5.0,24.4, ,21.8,13.7,98,34,4.83,24.09
NERRIGA,16/02/2025,4.2,0.0, ,18.8,5.2,93,36,3.53,24.42
NERRIGA,17/02/2025,4.0,0.0, ,20.1,2.7,96,40,1.83,26.76
NERRIGA,18/02/2025,4.5,0.0, ,24.8,5.5,98,28,2.18,23.41
NERRIGA,19/02/2025,3.6,0.0, ,21.7,12.0,95,63,3.27,20.09
NERRIGA,20/02/2025,2.4,0.0, ,17.5,12.6,93,70,3.54,12.54
NERRIGA,21/02/2025,3.9,0.0, ,23.9,8.6,99,56,3.00,21.65
NERRIGA,22/02/2025,4.8,0.0, ,27.0,15.7,93,49,3.09,22.70
NERRIGA,23/02/2025,3.7,0.0, ,27.2,14.4,97,51,2.80,15.27
NERRIGA,24/02/2025,4.5,0.0, ,26.7,15.8,96,61,3.07,23.25
NERRIGA,25/02/2025,1.2,1.0, ,17.0,14.6,97,88,2.62,4.93
NERRIGA,26/02/2025,5.1,0.0, ,30.9,13.3,97,43,2.21,24.12
NERRIGA,27/02/2025,4.0,0.0, ,27.9,15.9,99,65,2.44,20.65
NERRIGA,28/02/2025,6.0,0.0, ,31.7,17.8,96,31,3.33,24.00
Totals:,,118.5,96, ,,,,,, 
