'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NERRIGA New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NERRIGA,01/04/2025,2.2,1.8, ,18.3,10.7,96,67,3.71,11.50
NERRIGA,02/04/2025,2.9,0.2, ,22.1,5.7,99,33,1.41,18.16
NERRIGA,03/04/2025,2.7,0.0, ,21.7,7.0,99,43,1.88,15.90
NERRIGA,04/04/2025,2.6,0.2, ,21.6,9.1,98,53,1.85,15.77
NERRIGA,05/04/2025,3.6,0.0, ,21.7,7.6,97,30,3.20,17.77
NERRIGA,06/04/2025,3.8,0.0, ,20.0,4.5,98,27,5.25,12.99
NERRIGA,07/04/2025,3.4,0.0, ,20.5,5.8,94,36,3.69,17.40
NERRIGA,08/04/2025,2.3,0.0, ,20.1,8.1,97,51,1.56,14.63
NERRIGA,09/04/2025,2.5,0.0, ,22.0,9.1,98,54,2.46,13.16
NERRIGA,10/04/2025,2.6,0.0, ,24.6,10.0,98,40,1.68,12.46
NERRIGA,11/04/2025,3.3,0.0, ,25.0,11.4,96,34,2.27,16.69
NERRIGA,12/04/2025,2.4,0.0, ,23.4,12.1,95,62,2.26,13.49
NERRIGA,13/04/2025,2.8,0.0, ,25.2,10.8,98,33,1.41,15.59
NERRIGA,14/04/2025,2.7,0.2, ,21.9,8.3,99,50,2.66,15.44
NERRIGA,15/04/2025,2.0,0.4, ,16.7,11.3,97,56,3.09,10.46
NERRIGA,16/04/2025,2.1,0.0, ,18.8,5.7,98,57,1.82,14.30
NERRIGA,17/04/2025,2.3,0.2, ,19.5,6.0,99,49,1.92,15.34
NERRIGA,18/04/2025,2.1,0.4, ,22.6,7.9,99,35,0.75,15.04
NERRIGA,19/04/2025,2.8,0.0, ,26.3,8.2,98,26,1.46,14.91
NERRIGA,20/04/2025,3.1,0.2, ,27.0,8.7,76,33,2.06,13.32
NERRIGA,21/04/2025,2.6,1.8, ,21.3,11.0,98,40,2.63,12.93
NERRIGA,22/04/2025,1.2,9.6, ,17.5,9.8,98,83,4.25,5.70
NERRIGA,23/04/2025,1.0,43.0, ,15.6,13.7,97,92,3.11,6.41
NERRIGA,24/04/2025,1.9,10.0, ,20.4,8.9,99,65,2.05,12.05
NERRIGA,25/04/2025,2.1,0.4, ,21.9,8.3,99,59,2.10,13.02
NERRIGA,26/04/2025,1.4,0.2, ,19.4,8.7,99,66,1.07,8.98
NERRIGA,27/04/2025,1.3,6.0, ,17.1,12.4,98,80,3.45,7.00
NERRIGA,28/04/2025,1.3,26.2, ,16.8,12.8,98,73,2.81,6.36
NERRIGA,29/04/2025,1.1,0.8, ,15.9,10.1,99,84,2.15,7.05
NERRIGA,30/04/2025,1.0,3.6, ,12.0,9.4,96,84,4.28,5.17
Totals:,,69.1,105.2, ,,,,,, 
