'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORAH HEAD New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORAH HEAD,01/09/2024,4.4,0.0, ,27.4,13.1,74,23,2.91,17.87
NORAH HEAD,02/09/2024,4.4,0.0, ,26.4,14.4,100,22,3.41,17.92
NORAH HEAD,03/09/2024,3.1,0.0, ,16.9,10.6,100,36,3.84,18.09
NORAH HEAD,04/09/2024,4.0,0.0, ,22.4,10.8,81,50,5.69,18.22
NORAH HEAD,05/09/2024,4.3,0.0, ,26.7,12.6,84,39,3.56,18.08
NORAH HEAD,06/09/2024,4.8,0.0, ,27.8,14.1,80,35,3.98,18.60
NORAH HEAD,07/09/2024,3.6,0.0, ,24.2,18.8,91,44,2.80,17.92
NORAH HEAD,08/09/2024,1.7,0.0, ,18.4,16.3,94,56,2.17,5.55
NORAH HEAD,09/09/2024,3.5,0.4, ,23.6,12.3,67,36,2.02,17.43
NORAH HEAD,10/09/2024,3.1,0.0, ,20.8,12.6,89,53,2.64,18.44
NORAH HEAD,11/09/2024,3.4,0.2, ,24.2,13.7,93,63,4.02,18.59
NORAH HEAD,12/09/2024,2.8,0.0, ,19.1,16.7,93,65,9.06,11.36
NORAH HEAD,13/09/2024,3.1,21.4, ,18.8,12.4,83,64,7.14,13.75
NORAH HEAD,14/09/2024,4.7,0.0, ,22.2,11.5,88,39,6.70,19.88
NORAH HEAD,15/09/2024,3.2,0.0, ,15.3,9.8,87,56,10.92,15.94
NORAH HEAD,16/09/2024,4.5,7.6, ,20.8,8.6,80,31,5.01,20.29
NORAH HEAD,17/09/2024,3.6,3.6, ,20.6,10.4,85,49,3.41,20.45
NORAH HEAD,18/09/2024,4.1,0.0, ,26.5,10.9,74,15,1.71,20.70
NORAH HEAD,19/09/2024,4.7,0.0, ,27.4,13.6,66,14,2.29,20.83
NORAH HEAD,20/09/2024,4.0,0.0, ,21.5,14.2,75,32,2.44,21.10
NORAH HEAD,21/09/2024,4.2,0.0, ,24.6,12.1,67,25,2.14,21.23
NORAH HEAD,22/09/2024,4.1,0.0, ,25.8,13.0,81,33,1.95,21.34
NORAH HEAD,23/09/2024,4.6,0.0, ,27.1,14.0,62,31,2.25,21.65
NORAH HEAD,24/09/2024,4.1,0.0, ,22.8,15.2,89,43,4.05,18.30
NORAH HEAD,25/09/2024,3.4,0.0, ,23.3,17.0,87,51,4.43,10.87
NORAH HEAD,26/09/2024,2.1,11.8, ,17.0,14.1,94,72,11.49,5.41
NORAH HEAD,27/09/2024,3.7,18.2, ,18.6,13.3,89,58,11.69,15.49
NORAH HEAD,28/09/2024,3.7,0.8, ,20.9,13.3,83,63,7.57,17.81
NORAH HEAD,29/09/2024,3.0,0.4, ,22.6,15.8,96,69,4.18,16.00
NORAH HEAD,30/09/2024,2.6,7.8, ,19.2,14.8,96,70,6.14,13.43
Totals:,,110.5,72.2, ,,,,,, 
