'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NOWRA RAN AIR STATION New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NOWRA RAN AIR STATION,01/10/2024,3.5,0.0, ,21.6,7.5,100,51,3.04,21.23
NOWRA RAN AIR STATION,02/10/2024,3.2,4.0, ,19.1,12.4,100,42,3.27,15.82
NOWRA RAN AIR STATION,03/10/2024,3.3,0.2, ,20.8,7.8,100,54,3.06,19.51
NOWRA RAN AIR STATION,04/10/2024,3.3,0.0, ,23.6,7.0,100,50,2.04,19.01
NOWRA RAN AIR STATION,05/10/2024,5.4,0.0, ,25.4,12.8,100,27,5.66,19.29
NOWRA RAN AIR STATION,06/10/2024,5.4,0.2, ,23.2,8.2,98,33,6.90,23.54
NOWRA RAN AIR STATION,07/10/2024,5.3,0.0, ,27.8,7.9,99,28,5.21,13.93
NOWRA RAN AIR STATION,08/10/2024,2.4,1.4, ,15.1,10.5,100,47,3.72,10.60
NOWRA RAN AIR STATION,09/10/2024,2.7,0.0, ,16.7,8.2,100,44,3.22,13.43
NOWRA RAN AIR STATION,10/10/2024,5.8,0.0, ,27.7,8.1,100,23,3.97,24.35
NOWRA RAN AIR STATION,11/10/2024,4.1,0.0, ,23.0,12.2,100,52,4.35,22.36
NOWRA RAN AIR STATION,12/10/2024,3.3,0.4, ,18.6,12.5,100,43,3.61,17.22
NOWRA RAN AIR STATION,13/10/2024,4.2,0.0, ,21.2,7.0,99,45,4.22,24.11
NOWRA RAN AIR STATION,14/10/2024,4.5,0.0, ,27.6,8.6,100,41,4.05,15.88
NOWRA RAN AIR STATION,15/10/2024,2.4,5.4, ,17.1,13.0,100,54,4.32,9.91
NOWRA RAN AIR STATION,16/10/2024,4.3,0.0, ,21.7,7.9,99,39,3.28,24.77
NOWRA RAN AIR STATION,17/10/2024, ,0.0, , ,8.3,100,45,3.27,25.59
NOWRA RAN AIR STATION,18/10/2024, , , ,25.1, ,100,63,2.33,12.43
NOWRA RAN AIR STATION,19/10/2024,3.1,2.4, ,22.6,16.1,100,56,3.38,13.30
NOWRA RAN AIR STATION,20/10/2024,4.6,4.8, ,21.9,13.5,100,44,5.02,24.64
NOWRA RAN AIR STATION,21/10/2024,4.2,0.2, ,21.3,14.2,100,47,5.67,20.39
NOWRA RAN AIR STATION,22/10/2024,4.6,0.0, ,23.7,7.6,100,34,3.02,24.10
NOWRA RAN AIR STATION,23/10/2024,4.8,0.0, ,29.1,10.5,100,28,3.39,14.56
NOWRA RAN AIR STATION,24/10/2024,2.9,0.0, ,19.6,13.4,100,52,3.84,12.06
NOWRA RAN AIR STATION,25/10/2024,4.3,0.0, ,20.6,8.4,100,34,4.25,21.51
NOWRA RAN AIR STATION,26/10/2024,4.2,0.0, ,19.3,3.6,96,34,3.00,26.45
NOWRA RAN AIR STATION,27/10/2024,5.7,0.0, ,27.7,6.5,99,20,3.11,25.20
NOWRA RAN AIR STATION,28/10/2024,3.6,0.0, ,22.2,11.4,100,43,4.21,13.41
NOWRA RAN AIR STATION,29/10/2024,4.9,0.2, ,24.0,11.9,100,35,3.33,24.38
NOWRA RAN AIR STATION,30/10/2024,5.4,0.0, ,26.8,14.6,100,43,3.17,27.56
NOWRA RAN AIR STATION,31/10/2024,4.4,0.2, ,25.5,13.2,100,42,3.96,17.50
Totals:,,119.8,19.4, ,,,,,, 
