'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NOWRA RAN AIR STATION New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NOWRA RAN AIR STATION,01/02/2025,4.5,0.2, ,26.8,16.1,100,58,2.31,23.00
NOWRA RAN AIR STATION,02/02/2025,4.8,0.0, ,27.8,15.4,100,52,2.91,23.56
NOWRA RAN AIR STATION,03/02/2025,6.0,0.0, ,30.3,16.2,100,56,4.58,29.00
NOWRA RAN AIR STATION,04/02/2025, ,0.0, , ,15.9,100,51,2.23,28.86
NOWRA RAN AIR STATION,05/02/2025,2.9, , ,26.2,21.0,100,66,3.67,11.29
NOWRA RAN AIR STATION,06/02/2025,5.3,0.4, ,28.9,18.2,100,58,2.69,26.92
NOWRA RAN AIR STATION,07/02/2025,6.5,0.0, ,32.1,17.6,100,41,3.50,28.41
NOWRA RAN AIR STATION,08/02/2025,2.8,0.0, ,26.9,20.6,100,66,3.21,10.61
NOWRA RAN AIR STATION,09/02/2025,3.2,15.8, ,26.9,16.9,100,68,2.66,15.08
NOWRA RAN AIR STATION,10/02/2025,2.6,2.2, ,24.6,19.2,100,67,3.99,9.71
NOWRA RAN AIR STATION,11/02/2025,4.2,2.2, ,27.5,16.9,100,56,3.16,19.15
NOWRA RAN AIR STATION,12/02/2025,4.0,0.4, ,26.7,17.9,100,63,2.54,20.30
NOWRA RAN AIR STATION,13/02/2025,5.1,0.8, ,28.8,18.3,100,63,4.09,25.53
NOWRA RAN AIR STATION,14/02/2025, ,0.0, , ,20.3,100,70,2.93,8.16
NOWRA RAN AIR STATION,15/02/2025,6.2, , ,27.4,16.7,100,23,4.79,23.83
NOWRA RAN AIR STATION,16/02/2025,5.2,0.0, ,22.1,9.5,99,28,4.24,26.95
NOWRA RAN AIR STATION,17/02/2025,4.9,0.0, ,22.3,10.1,87,38,3.46,26.60
NOWRA RAN AIR STATION,18/02/2025,5.0,0.0, ,26.5,12.3,100,42,3.61,23.79
NOWRA RAN AIR STATION,19/02/2025,2.3,0.0, ,22.4,15.2,100,67,2.84,9.86
NOWRA RAN AIR STATION,20/02/2025,2.5,0.8, ,21.3,16.0,100,58,3.18,9.44
NOWRA RAN AIR STATION,21/02/2025,4.6,0.2, ,26.2,13.5,100,48,3.52,22.13
NOWRA RAN AIR STATION,22/02/2025,4.6,0.0, ,28.4,17.8,100,52,2.79,22.08
NOWRA RAN AIR STATION,23/02/2025,4.6,0.0, ,31.5,13.7,100,40,1.87,20.76
NOWRA RAN AIR STATION,24/02/2025,3.9,0.0, ,26.1,18.8,100,60,3.42,18.45
NOWRA RAN AIR STATION,25/02/2025,1.4,0.8, ,21.0,18.1,100,72,2.49,4.09
NOWRA RAN AIR STATION,26/02/2025,4.6,0.0, ,28.5,16.1,100,61,2.87,24.30
NOWRA RAN AIR STATION,27/02/2025,3.7,0.0, ,28.8,17.4,100,59,2.11,17.13
NOWRA RAN AIR STATION,28/02/2025,6.7,0.0, ,36.7,17.4,100,21,3.40,21.17
Totals:,,112.1,23.8, ,,,,,, 
