'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NOWRA RAN AIR STATION New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NOWRA RAN AIR STATION,01/04/2025,3.3,0.0, ,21.6,15.7,88,59,6.02,13.88
NOWRA RAN AIR STATION,02/04/2025,3.4,0.0, ,24.2,11.7,100,45,2.89,17.86
NOWRA RAN AIR STATION,03/04/2025,3.6,0.0, ,24.6,11.4,100,36,3.10,16.31
NOWRA RAN AIR STATION,04/04/2025,2.7,0.2, ,24.0,12.7,100,55,2.50,14.00
NOWRA RAN AIR STATION,05/04/2025,3.8,0.0, ,23.6,13.0,99,32,3.43,17.35
NOWRA RAN AIR STATION,06/04/2025,4.1,0.0, ,23.1,9.6,100,21,4.70,10.63
NOWRA RAN AIR STATION,07/04/2025,4.8,0.0, ,25.8,14.0,87,28,4.63,17.39
NOWRA RAN AIR STATION,08/04/2025,2.8,0.0, ,21.8,12.3,99,51,2.73,15.24
NOWRA RAN AIR STATION,09/04/2025,2.7,0.0, ,23.8,12.0,99,55,2.65,14.43
NOWRA RAN AIR STATION,10/04/2025,2.7,0.0, ,26.2,12.2,100,48,1.58,14.41
NOWRA RAN AIR STATION,11/04/2025,4.6,0.0, ,28.1,15.4,94,28,4.07,16.76
NOWRA RAN AIR STATION,12/04/2025,2.2,0.0, ,24.3,17.2,100,64,2.81,9.61
NOWRA RAN AIR STATION,13/04/2025,3.2,0.2, ,26.6,14.1,100,51,2.89,16.36
NOWRA RAN AIR STATION,14/04/2025,4.2,0.0, ,26.5,15.4,100,39,5.24,15.27
NOWRA RAN AIR STATION,15/04/2025,2.8,3.4, ,21.6,15.4,100,45,4.28,10.48
NOWRA RAN AIR STATION,16/04/2025,2.9,0.0, ,21.4,13.2,93,52,3.92,14.73
NOWRA RAN AIR STATION,17/04/2025, ,0.0, , ,12.6,100,56,3.97,15.11
NOWRA RAN AIR STATION,18/04/2025, , , ,24.4, ,100,48,2.75,15.61
NOWRA RAN AIR STATION,19/04/2025,4.8,0.0, ,30.7,12.5,99,24,3.88,14.94
NOWRA RAN AIR STATION,20/04/2025, ,0.0, , ,15.8,83,30,3.66,15.12
NOWRA RAN AIR STATION,21/04/2025,3.8, , ,26.3,14.2,100,32,4.23,12.61
NOWRA RAN AIR STATION,22/04/2025,1.7,17.2, ,22.0,13.5,100,78,5.98,8.23
NOWRA RAN AIR STATION,23/04/2025, ,52.8, , ,16.3,100,100,2.87,5.38
NOWRA RAN AIR STATION,24/04/2025, , , , , ,100,61,1.84,12.47
NOWRA RAN AIR STATION,25/04/2025, , , , , ,100,55,2.79,14.10
NOWRA RAN AIR STATION,26/04/2025, , , , , ,100,63,0.89,8.98
NOWRA RAN AIR STATION,27/04/2025,1.1, , ,20.1,15.4,100,87,3.93,5.93
NOWRA RAN AIR STATION,28/04/2025, ,17.2, , ,15.7,100,73,4.81,12.77
NOWRA RAN AIR STATION,29/04/2025,1.4, , ,19.6,13.8,100,77,3.78,7.16
NOWRA RAN AIR STATION,30/04/2025,1.6,3.6, ,17.3,13.0,100,72,6.11,6.50
Totals:,,68.2,94.6, ,,,,,, 
