'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NOWRA RAN AIR STATION New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NOWRA RAN AIR STATION,01/06/2025,2.0,0.2, ,20.3,7.4,100,46,3.12,10.87
NOWRA RAN AIR STATION,02/06/2025,1.5,0.2, ,18.0,9.0,99,61,3.29,7.82
NOWRA RAN AIR STATION,03/06/2025,2.3,0.0, ,18.9,7.6,99,34,3.89,10.70
NOWRA RAN AIR STATION,04/06/2025,2.8,0.0, ,15.0,9.4,75,43,6.89,9.46
NOWRA RAN AIR STATION,05/06/2025,1.8,0.0, ,16.3,5.1,96,41,3.14,10.69
NOWRA RAN AIR STATION,06/06/2025,2.2,0.0, ,18.1,5.9,94,35,3.63,8.82
NOWRA RAN AIR STATION,07/06/2025,3.6,0.0, ,17.3,10.7,62,35,6.68,9.51
NOWRA RAN AIR STATION,08/06/2025,2.9,0.0, ,15.2,6.2,78,40,7.39,10.13
NOWRA RAN AIR STATION,09/06/2025,2.2,0.0, ,12.9,7.7,81,59,8.81,5.86
NOWRA RAN AIR STATION,10/06/2025,3.1,0.2, ,16.6,8.3,66,46,7.51,10.53
NOWRA RAN AIR STATION,11/06/2025,2.9,0.0, ,16.8,7.9,72,39,5.74,10.16
NOWRA RAN AIR STATION,12/06/2025,1.9,0.0, ,16.0,5.8,93,44,3.81,10.36
NOWRA RAN AIR STATION,13/06/2025,1.2,0.4, ,13.5,5.5,99,64,3.81,7.32
NOWRA RAN AIR STATION,14/06/2025,1.0,3.8, ,15.8,6.9,100,68,2.33,8.27
NOWRA RAN AIR STATION,15/06/2025,1.9,0.0, ,17.7,6.4,100,45,3.94,8.08
NOWRA RAN AIR STATION,16/06/2025,1.9,0.0, ,15.8,5.9,99,45,4.28,10.35
NOWRA RAN AIR STATION,17/06/2025,2.4,0.0, ,16.6,2.2,99,37,5.06,10.43
NOWRA RAN AIR STATION,18/06/2025,2.0,0.0, ,16.0,6.9,94,39,4.12,10.42
NOWRA RAN AIR STATION,19/06/2025,2.2,0.0, ,17.7,4.2,96,36,3.82,9.16
NOWRA RAN AIR STATION,20/06/2025,1.7,0.0, ,17.2,4.3,100,43,3.01,10.42
NOWRA RAN AIR STATION,21/06/2025,2.4,0.2, ,19.1,4.0,100,30,3.83,10.42
NOWRA RAN AIR STATION,22/06/2025,2.4,0.0, ,20.9,0.4,89,29,3.01,10.35
NOWRA RAN AIR STATION,23/06/2025,2.4,0.0, ,23.2,6.4,99,39,3.29,10.20
NOWRA RAN AIR STATION,24/06/2025,3.3,1.4, ,20.7,7.2,100,31,6.03,7.99
NOWRA RAN AIR STATION,25/06/2025,3.8,0.2, ,14.8,10.4,65,41,11.58,10.42
NOWRA RAN AIR STATION,26/06/2025,2.3,0.0, ,14.5,5.5,83,37,4.74,10.39
NOWRA RAN AIR STATION,27/06/2025,1.6,0.0, ,15.8,4.3,94,49,3.25,10.41
NOWRA RAN AIR STATION,28/06/2025,1.7,0.0, ,17.1,5.1,100,46,3.10,10.25
NOWRA RAN AIR STATION,29/06/2025,1.9,0.0, ,17.6,5.6,100,43,3.73,9.80
NOWRA RAN AIR STATION,30/06/2025,1.5,0.2, ,15.3,4.8,99,58,4.38,7.43
Totals:,,66.8,6.8, ,,,,,, 
