'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NULLO MOUNTAIN New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NULLO MOUNTAIN,01/09/2024,3.5,0.0, ,16.3,8.3,65,42,4.38,18.15
NULLO MOUNTAIN,02/09/2024,3.8,0.0, ,14.4,9.0,61,37,5.74,18.28
NULLO MOUNTAIN,03/09/2024,2.6,0.0, ,12.8,0.0,81,34,2.85,18.47
NULLO MOUNTAIN,04/09/2024,2.8,0.0, ,15.3,0.2,74,31,2.38,18.59
NULLO MOUNTAIN,05/09/2024,3.3,0.0, ,17.1,8.8,74,48,4.13,18.30
NULLO MOUNTAIN,06/09/2024,3.5,0.0, ,18.6,9.8,76,50,4.66,18.92
NULLO MOUNTAIN,07/09/2024,3.5,0.0, ,20.6,11.7,75,48,3.84,16.33
NULLO MOUNTAIN,08/09/2024,2.0,0.0, ,12.1,9.7,90,50,2.82,9.84
NULLO MOUNTAIN,09/09/2024,2.8,0.4, ,14.5,6.4,83,48,3.65,17.05
NULLO MOUNTAIN,10/09/2024,2.8,0.0, ,15.6,5.2,87,50,2.93,19.58
NULLO MOUNTAIN,11/09/2024,2.8,0.0, ,18.0,6.3,90,52,2.62,17.45
NULLO MOUNTAIN,12/09/2024,2.0,1.0, ,14.4,7.9,94,55,3.25,9.45
NULLO MOUNTAIN,13/09/2024,2.5,3.6, ,12.4,2.5,98,52,3.46,19.88
NULLO MOUNTAIN,14/09/2024,2.8,0.0, ,15.2,2.7,99,39,2.07,19.88
NULLO MOUNTAIN,15/09/2024,2.4,0.0, ,8.8,0.6,88,44,3.32,19.75
NULLO MOUNTAIN,16/09/2024,3.1,0.0, ,13.1,0.1,80,26,3.05,20.66
NULLO MOUNTAIN,17/09/2024,2.7,0.0, ,13.5,1.2,80,46,2.59,19.89
NULLO MOUNTAIN,18/09/2024,3.6,0.0, ,15.7,2.7,81,19,2.97,21.00
NULLO MOUNTAIN,19/09/2024,4.6,0.0, ,17.0,8.4,45,20,4.05,21.14
NULLO MOUNTAIN,20/09/2024,3.4,0.0, ,15.1,4.7,73,36,3.19,21.34
NULLO MOUNTAIN,21/09/2024,3.4,0.0, ,13.8,5.3,71,42,4.20,21.45
NULLO MOUNTAIN,22/09/2024,3.5,0.0, ,15.7,5.7,69,43,3.41,21.34
NULLO MOUNTAIN,23/09/2024,4.0,0.0, ,18.6,7.6,69,32,3.08,21.90
NULLO MOUNTAIN,24/09/2024,3.7,0.0, ,19.6,8.4,61,31,2.37,18.35
NULLO MOUNTAIN,25/09/2024,3.3,0.0, ,19.6,13.1,95,42,3.77,14.93
NULLO MOUNTAIN,26/09/2024,0.8,6.8, ,6.5,6.5,99,92,5.73,6.53
NULLO MOUNTAIN,27/09/2024,1.1,20.2, ,7.3,3.9,99,90,7.36,12.07
NULLO MOUNTAIN,28/09/2024,1.6,2.4, ,10.7,3.9,99,82,7.34,14.69
NULLO MOUNTAIN,29/09/2024,2.0,0.6, ,14.9,6.0,99,81,4.00,15.03
NULLO MOUNTAIN,30/09/2024,3.3,2.4, ,15.8,7.9,99,43,2.98,21.14
Totals:,,87.2,37.4, ,,,,,, 
