'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NULLO MOUNTAIN New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NULLO MOUNTAIN,01/12/2024,3.4, , ,22.0,15.3,100,63,2.93,16.70
NULLO MOUNTAIN,02/12/2024,5.7,4.0, ,26.6,13.9,81,39,2.61,26.85
NULLO MOUNTAIN,03/12/2024,2.6,0.0, ,20.7,18.4,99,58,4.45,8.45
NULLO MOUNTAIN,04/12/2024,3.7,24.4, ,23.7,16.1,99,76,3.29,20.20
NULLO MOUNTAIN,05/12/2024,4.7,0.2, ,25.7,14.4,100,67,2.25,25.39
NULLO MOUNTAIN,06/12/2024,4.0,0.0, ,27.3,16.4,98,67,2.18,18.83
NULLO MOUNTAIN,07/12/2024,3.7,28.6, ,23.1,17.6,97,75,3.51,19.75
NULLO MOUNTAIN,08/12/2024,6.2,4.8, ,26.1,16.8,99,30,2.75,30.05
NULLO MOUNTAIN,09/12/2024,3.0,0.0, ,21.7,14.0,99,71,2.36,15.06
NULLO MOUNTAIN,10/12/2024,5.8,1.0, ,24.2,12.7,99,36,2.76,31.18
NULLO MOUNTAIN,11/12/2024,5.2,0.0, ,23.4,11.5,99,40,2.39,28.26
NULLO MOUNTAIN,12/12/2024,5.9,0.0, ,25.2,12.3,64,29,1.59,31.76
NULLO MOUNTAIN,13/12/2024,6.1,0.0, ,26.7,13.4,74,33,1.81,31.35
NULLO MOUNTAIN,14/12/2024,5.9,0.0, ,28.7,14.4,79,27,1.64,29.06
NULLO MOUNTAIN,15/12/2024, ,0.0, , ,18.7,97,34,3.19,28.25
NULLO MOUNTAIN,16/12/2024,6.6, , ,28.9,15.7,98,37,2.85,31.85
NULLO MOUNTAIN,17/12/2024,6.7,0.0, ,29.3,17.3,95,43,3.31,31.86
NULLO MOUNTAIN,18/12/2024,2.0,0.2, ,14.0,12.0,99,68,6.74,8.55
NULLO MOUNTAIN,19/12/2024, ,0.2, , ,9.2,98,52,5.40,29.28
NULLO MOUNTAIN,20/12/2024, , , ,24.5, ,95,35,2.47,31.81
NULLO MOUNTAIN,21/12/2024,6.0,0.0, ,27.3,12.9,93,30,2.36,29.46
NULLO MOUNTAIN,22/12/2024,6.6,0.0, ,27.8,12.2,99,22,3.03,30.55
NULLO MOUNTAIN,23/12/2024,6.7,0.0, ,20.4,14.5,44,16,3.69,31.78
NULLO MOUNTAIN,24/12/2024,6.0,0.0, ,24.0,6.6,80,23,2.71,31.93
NULLO MOUNTAIN,25/12/2024,5.9,0.0, ,26.8,6.6,99,25,1.74,31.91
NULLO MOUNTAIN,26/12/2024,6.8,0.0, ,28.0,13.5,72,30,3.05,31.36
NULLO MOUNTAIN,27/12/2024,6.4,8.4, ,28.5,14.7,96,33,4.67,25.43
NULLO MOUNTAIN,28/12/2024,5.5,0.0, ,22.4,12.0,93,28,2.06,30.75
NULLO MOUNTAIN,29/12/2024,6.6,0.0, ,25.4,10.3,58,21,2.90,31.86
NULLO MOUNTAIN,30/12/2024,5.9,0.0, ,25.4,12.0,95,42,4.59,28.80
NULLO MOUNTAIN,31/12/2024,3.4,0.0, ,22.9,15.3,95,60,2.61,15.73
Totals:,,147,71.8, ,,,,,, 
