'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NULLO MOUNTAIN New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NULLO MOUNTAIN,01/08/2025,0.7,0.6, ,6.6,2.3,99,94,4.87,10.36
NULLO MOUNTAIN,02/08/2025,0.6,5.8, ,7.1,3.5,99,93,6.53,6.87
NULLO MOUNTAIN,03/08/2025,0.6,27.0, ,9.3,4.3,100,96,7.24,9.33
NULLO MOUNTAIN,04/08/2025, ,4.2, , ,6.1,100,91,3.64,10.41
NULLO MOUNTAIN,05/08/2025,1.4, , ,13.1,4.3,100,68,2.27,11.61
NULLO MOUNTAIN,06/08/2025,1.6,0.0, ,10.1,2.7,94,51,2.78,14.29
NULLO MOUNTAIN,07/08/2025,1.1,0.0, ,6.8,2.9,100,69,4.29,7.82
NULLO MOUNTAIN,08/08/2025,1.0,0.6, ,7.3,4.5,100,81,6.49,9.69
NULLO MOUNTAIN,09/08/2025,0.6,2.0, ,7.7,4.6,100,99,4.73,7.36
NULLO MOUNTAIN,10/08/2025,0.8,4.2, ,8.4,4.5,100,95,4.74,11.09
NULLO MOUNTAIN,11/08/2025,1.1,2.0, ,8.3,3.5,100,80,3.59,11.44
NULLO MOUNTAIN,12/08/2025,1.3,0.2, ,10.1,0.4,100,51,1.29,11.70
NULLO MOUNTAIN,13/08/2025,1.4,0.2, ,10.4,2.0,93,60,1.47,11.97
NULLO MOUNTAIN,14/08/2025,1.4,0.0, ,9.7,3.6,99,68,3.56,12.86
NULLO MOUNTAIN,15/08/2025,1.5,0.0, ,12.7,1.6,100,66,1.94,13.82
NULLO MOUNTAIN,16/08/2025,1.6,0.0, ,10.3,4.9,91,67,3.74,12.43
NULLO MOUNTAIN,17/08/2025,1.6,0.2, ,7.8,-1.7,92,54,2.65,15.67
NULLO MOUNTAIN,18/08/2025,1.7,0.0, ,8.2,-0.1,94,51,3.69,14.97
NULLO MOUNTAIN,19/08/2025,1.0,0.0, ,7.5,2.1,99,82,4.36,9.66
NULLO MOUNTAIN,20/08/2025,0.6,5.0, ,6.4,3.9,100,98,5.12,6.00
NULLO MOUNTAIN,21/08/2025,1.1,65.4, ,9.3,4.8,100,82,3.12,9.44
NULLO MOUNTAIN,22/08/2025,1.3,2.4, ,11.5,4.1,100,79,2.06,11.59
NULLO MOUNTAIN,23/08/2025,1.9,2.8, ,13.0,4.3,100,58,2.57,15.52
NULLO MOUNTAIN,24/08/2025,1.9,0.0, ,11.7,1.9,100,48,2.04,15.11
NULLO MOUNTAIN,25/08/2025,1.9,0.0, ,15.3,3.9,98,64,1.82,15.35
NULLO MOUNTAIN,26/08/2025,2.4,0.0, ,16.2,6.8,98,58,4.04,17.10
NULLO MOUNTAIN,27/08/2025,1.4,0.0, ,11.0,9.6,98,69,5.69,6.56
NULLO MOUNTAIN,28/08/2025,1.9,0.6, ,9.4,2.7,95,56,4.08,14.99
NULLO MOUNTAIN,29/08/2025,2.0,0.0, ,9.5,3.5,87,56,4.71,12.71
NULLO MOUNTAIN,30/08/2025, ,3.2, , ,-0.3,99,70,5.30,14.70
NULLO MOUNTAIN,31/08/2025,2.2, , ,12.9,-0.7,88,38,1.58,17.86
Totals:,,39.6,126.4, ,,,,,, 
