'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORANGE AIRPORT New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORANGE AIRPORT,01/01/2025,6.5,0.4, ,28.1,11.8,99,21,3.29,28.95
ORANGE AIRPORT,02/01/2025,5.8,0.0, ,26.0,12.3,96,34,4.48,25.30
ORANGE AIRPORT,03/01/2025,5.5,0.0, ,25.4,12.1,94,43,3.78,26.90
ORANGE AIRPORT,04/01/2025,6.6,1.2, ,29.3,10.8,99,30,4.15,27.23
ORANGE AIRPORT,05/01/2025,6.5,0.0, ,30.6,12.4,90,28,4.00,23.32
ORANGE AIRPORT,06/01/2025,6.9,0.0, ,31.1,13.3,99,32,4.56,26.63
ORANGE AIRPORT,07/01/2025,2.9,5.8, ,22.7,15.1,99,65,4.74,11.50
ORANGE AIRPORT,08/01/2025,4.9,17.4, ,22.0,10.6,95,50,4.81,26.01
ORANGE AIRPORT,09/01/2025,4.8,0.0, ,24.0,9.2,99,50,3.96,25.00
ORANGE AIRPORT,10/01/2025,4.8,0.0, ,24.5,14.0,96,52,4.70,22.38
ORANGE AIRPORT,11/01/2025,3.5,0.0, ,24.0,14.2,98,57,3.85,14.20
ORANGE AIRPORT,12/01/2025,4.0,7.0, ,23.7,13.9,99,59,3.58,19.29
ORANGE AIRPORT,13/01/2025,5.9,19.0, ,27.4,11.4,99,40,2.52,30.06
ORANGE AIRPORT,14/01/2025,5.9,0.4, ,29.3,14.3,98,39,2.54,27.98
ORANGE AIRPORT,15/01/2025,6.7,0.0, ,31.6,15.4,100,42,6.07,24.42
ORANGE AIRPORT,16/01/2025,4.5,23.2, ,21.3,12.7,98,53,5.76,24.11
ORANGE AIRPORT,17/01/2025,4.5,0.0, ,19.9,8.0,93,53,7.38,25.02
ORANGE AIRPORT,18/01/2025,5.7,0.0, ,23.2,11.1,90,43,8.94,24.20
ORANGE AIRPORT,19/01/2025,5.4,0.0, ,22.9,12.0,99,47,4.42,30.05
ORANGE AIRPORT,20/01/2025,5.4,0.0, ,25.0,6.6,99,37,2.43,30.30
ORANGE AIRPORT,21/01/2025,6.1,0.0, ,29.5,11.3,86,27,2.49,27.62
ORANGE AIRPORT,22/01/2025,8.1,0.0, ,32.4,15.9,78,23,6.02,23.49
ORANGE AIRPORT,23/01/2025,4.7,0.0, ,23.3,12.4,92,55,4.96,24.03
ORANGE AIRPORT,24/01/2025,5.8,0.0, ,24.5,11.8,91,41,4.27,29.29
ORANGE AIRPORT,25/01/2025,6.0,0.0, ,28.2,10.6,99,32,2.82,28.61
ORANGE AIRPORT,26/01/2025,6.3,0.0, ,30.2,12.4,86,29,2.62,28.35
ORANGE AIRPORT,27/01/2025,7.2,0.0, ,32.2,14.7,99,33,4.89,27.05
ORANGE AIRPORT,28/01/2025,8.3,0.0, ,34.6,17.9,90,28,5.26,27.94
ORANGE AIRPORT,29/01/2025,6.3,0.0, ,29.6,14.4,98,24,4.14,22.54
ORANGE AIRPORT,30/01/2025,5.6,0.0, ,30.2,14.8,99,33,4.23,18.79
ORANGE AIRPORT,31/01/2025,4.6,0.0, ,27.0,15.4,99,56,4.38,20.15
Totals:,,175.7,74.4, ,,,,,, 
