'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARKES AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARKES AIRPORT,01/11/2024,5.4,0.0, ,25.5,3.9,100,19,2.72,27.00
PARKES AIRPORT,02/11/2024,6.4,0.0, ,29.2,5.5,94,29,4.38,24.75
PARKES AIRPORT,03/11/2024,8.6,0.0, ,33.5,16.1,74,16,5.74,22.47
PARKES AIRPORT,04/11/2024, ,0.0, , ,19.2,84,27,3.02,15.54
PARKES AIRPORT,05/11/2024,6.0,0.0, ,31.8,7.8,91,18,2.13,26.22
PARKES AIRPORT,06/11/2024,7.7,0.0, ,37.0,12.1,91,19,4.10,19.88
PARKES AIRPORT,07/11/2024,4.0,0.0, ,28.8,21.5,97,33,4.15,7.43
PARKES AIRPORT,08/11/2024,5.6,7.2, ,26.3,7.3,100,29,3.43,26.31
PARKES AIRPORT,09/11/2024,5.5,0.0, ,27.8,6.1,91,17,2.15,26.09
PARKES AIRPORT,10/11/2024,6.5,0.0, ,29.9,9.7,76,18,2.89,27.39
PARKES AIRPORT,11/11/2024,3.7,0.0, ,25.8,14.7,93,44,3.58,11.71
PARKES AIRPORT,12/11/2024,4.7,0.0, ,28.8,11.6,99,32,2.84,17.58
PARKES AIRPORT,13/11/2024,5.5,3.8, ,29.6,16.6,93,37,4.77,17.44
PARKES AIRPORT,14/11/2024,6.7,4.2, ,28.7,11.6,98,11,3.29,27.85
PARKES AIRPORT,15/11/2024,7.1,0.0, ,31.0,7.3,95,19,3.93,25.70
PARKES AIRPORT,16/11/2024,9.2,0.0, ,34.4,17.2,71,21,6.06,25.55
PARKES AIRPORT,17/11/2024,7.3,0.0, ,33.6,20.7,99,35,8.47,16.78
PARKES AIRPORT,18/11/2024,6.5,22.6, ,25.3,13.0,86,22,4.67,27.96
PARKES AIRPORT,19/11/2024,6.3,0.0, ,28.3,7.1,93,16,2.75,28.54
PARKES AIRPORT,20/11/2024,6.5,0.0, ,30.1,13.5,83,24,3.20,26.22
PARKES AIRPORT,21/11/2024, ,0.0, , ,14.6,81,23,3.96,27.90
PARKES AIRPORT,22/11/2024, , , ,33.1, ,75,23,3.03,26.61
PARKES AIRPORT,23/11/2024,7.2,0.0, ,34.0,17.3,72,23,3.17,25.25
PARKES AIRPORT,24/11/2024,8.3,0.0, ,36.7,17.6,73,18,3.59,26.94
PARKES AIRPORT,25/11/2024,9.7,0.0, ,36.6,19.6,55,18,5.38,24.66
PARKES AIRPORT,26/11/2024,8.3,0.0, ,36.4,19.8,86,24,5.37,21.57
PARKES AIRPORT,27/11/2024,4.1,3.0, ,28.3,21.0,91,44,4.51,9.81
PARKES AIRPORT,28/11/2024, ,1.0, , ,18.5,94,31,3.64,21.86
PARKES AIRPORT,29/11/2024,3.2, , ,27.3,18.9,100,55,2.53,11.95
PARKES AIRPORT,30/11/2024, ,15.6, ,23.8,19.5,100,86,5.45, 
Totals:,,160,57.4, ,,,,,, 
