'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARKES AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARKES AIRPORT,01/02/2025,9.1,0.0, ,36.0,21.1,71,27,6.02,25.46
PARKES AIRPORT,02/02/2025,9.5,0.0, ,36.3,19.8,68,16,5.06,28.25
PARKES AIRPORT,03/02/2025,8.6,0.0, ,35.8,18.8,72,21,4.27,28.07
PARKES AIRPORT,04/02/2025,9.1,0.0, ,37.0,21.5,69,20,4.73,27.43
PARKES AIRPORT,05/02/2025,8.5,0.0, ,36.7,19.8,77,24,5.24,22.12
PARKES AIRPORT,06/02/2025,7.2,2.4, ,36.0,17.0,91,24,3.00,26.43
PARKES AIRPORT,07/02/2025,8.3,0.0, ,37.0,19.1,77,21,3.94,27.05
PARKES AIRPORT,08/02/2025,6.4,0.0, ,33.3,22.6,74,31,5.58,11.53
PARKES AIRPORT,09/02/2025,5.9,0.0, ,33.1,15.4,82,30,3.25,19.36
PARKES AIRPORT,10/02/2025,4.0,0.8, ,28.1,19.7,95,50,4.96,11.38
PARKES AIRPORT,11/02/2025,5.5,38.0, ,30.9,14.9,95,27,2.64,21.76
PARKES AIRPORT,12/02/2025,6.7,0.0, ,32.0,18.3,77,30,3.90,23.46
PARKES AIRPORT,13/02/2025,7.6,0.0, ,33.9,20.3,74,38,5.75,23.01
PARKES AIRPORT,14/02/2025,4.6,0.0, ,30.9,22.2,99,48,5.51,12.37
PARKES AIRPORT,15/02/2025,5.4,11.6, ,23.8,11.5,99,31,4.73,25.77
PARKES AIRPORT,16/02/2025,5.9,0.0, ,21.6,7.9,81,21,5.51,26.63
PARKES AIRPORT,17/02/2025,5.5,0.0, ,27.0,5.1,89,25,2.79,26.43
PARKES AIRPORT,18/02/2025,6.0,0.0, ,28.5,9.9,85,21,3.09,26.18
PARKES AIRPORT,19/02/2025,6.3,0.0, ,30.5,8.3,86,17,3.00,25.95
PARKES AIRPORT,20/02/2025,6.3,0.0, ,32.0,9.4,80,27,3.45,22.91
PARKES AIRPORT,21/02/2025,7.7,0.0, ,33.0,17.7,70,30,5.24,24.41
PARKES AIRPORT,22/02/2025,7.7,0.0, ,33.6,18.7,73,26,4.85,24.45
PARKES AIRPORT,23/02/2025,6.1,0.0, ,31.7,20.4,68,30,4.63,14.40
PARKES AIRPORT,24/02/2025,7.8,0.0, ,37.7,18.6,69,19,3.85,22.24
PARKES AIRPORT,25/02/2025,8.1,0.0, ,37.1,16.6,75,20,4.11,24.26
PARKES AIRPORT,26/02/2025,9.0,0.0, ,37.5,20.0,73,23,5.56,24.19
PARKES AIRPORT,27/02/2025,7.4,0.0, ,37.9,18.4,81,12,3.03,24.16
PARKES AIRPORT,28/02/2025,7.0,0.0, ,36.2,15.8,66,17,3.20,21.56
Totals:,,197.2,52.8, ,,,,,, 
