'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARKES AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARKES AIRPORT,01/07/2025,1.9,0.0, ,14.7,-0.8,99,49,4.88,10.33
PARKES AIRPORT,02/07/2025,1.8,8.6, ,15.0,5.0,96,63,7.05,10.73
PARKES AIRPORT,03/07/2025,0.9,0.0, ,10.8,5.1,98,77,2.96,6.13
PARKES AIRPORT,04/07/2025,1.4,0.0, ,15.8,-0.7,99,51,2.22,11.56
PARKES AIRPORT,05/07/2025,1.7,0.0, ,15.6,1.2,99,55,4.09,8.16
PARKES AIRPORT,06/07/2025,2.4,0.0, ,17.9,9.6,88,54,5.85,10.83
PARKES AIRPORT,07/07/2025,1.2,0.0, ,14.5,4.2,97,66,2.63,10.08
PARKES AIRPORT,08/07/2025,1.6,0.0, ,14.3,2.4,98,60,4.99,8.39
PARKES AIRPORT,09/07/2025,1.8,0.0, ,16.9,1.9,96,45,2.84,11.52
PARKES AIRPORT,10/07/2025,1.7,0.0, ,11.5,3.7,93,57,6.29,6.30
PARKES AIRPORT,11/07/2025,1.3,0.6, ,14.2,-0.3,97,64,3.04,8.77
PARKES AIRPORT,12/07/2025,1.4,0.0, ,14.6,0.9,98,58,2.77,9.87
PARKES AIRPORT,13/07/2025,1.6,0.2, ,15.3,-1.3,98,55,3.39,11.42
PARKES AIRPORT,14/07/2025,1.5,0.0, ,13.0,0.6,96,50,2.83,12.11
PARKES AIRPORT,15/07/2025, ,0.6, ,9.6,-0.7,99,86,2.43, 
PARKES AIRPORT,16/07/2025,1.2,1.4, ,12.6,-1.0,99,54,2.06,12.24
PARKES AIRPORT,17/07/2025,1.5,0.0, ,14.2,-2.5,98,45,2.37,12.26
PARKES AIRPORT,18/07/2025,1.5,0.2, ,15.2,-2.0,97,47,2.06,12.39
PARKES AIRPORT,19/07/2025,1.7,0.0, ,14.9,-2.0,97,41,2.50,12.17
PARKES AIRPORT,20/07/2025,2.0,0.0, ,15.4,-3.8,96,42,3.26,12.54
PARKES AIRPORT,21/07/2025,2.3,0.0, ,19.1,-0.3,94,50,4.15,12.13
PARKES AIRPORT,22/07/2025,2.5,0.0, ,18.6,7.2,96,54,7.47,8.64
PARKES AIRPORT,23/07/2025,1.5,11.0, ,13.1,4.8,99,53,3.02,12.21
PARKES AIRPORT,24/07/2025,1.4,0.0, ,12.1,-1.8,98,54,2.63,12.81
PARKES AIRPORT,25/07/2025,2.5,0.0, ,13.8,-2.7,97,37,6.01,7.80
PARKES AIRPORT,26/07/2025,2.2,3.6, ,15.8,5.8,93,59,7.75,8.88
PARKES AIRPORT,27/07/2025,1.0,3.6, ,11.6,8.6,96,83,6.53,7.22
PARKES AIRPORT,28/07/2025,1.0,11.4, ,10.1,7.3,95,80,4.64,6.25
PARKES AIRPORT,29/07/2025,1.2,0.0, ,12.8,5.8,94,57,1.43,10.21
PARKES AIRPORT,30/07/2025,1.0,3.4, ,9.9,6.4,97,75,4.29,6.80
PARKES AIRPORT,31/07/2025,1.9,3.0, ,14.9,2.8,97,53,3.82,12.94
Totals:,,48.6,47.6, ,,,,,, 
