'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PATERSON (TOCAL) New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PATERSON (TOCAL),01/11/2024,4.3,0.2, ,24.9,16.5,92,53,2.55,21.30
PATERSON (TOCAL),02/11/2024,4.4,0.2, ,25.9,12.9,95,48,2.88,20.76
PATERSON (TOCAL),03/11/2024,5.6,0.0, ,33.1,13.7,94,31,1.96,24.09
PATERSON (TOCAL),04/11/2024,3.2,0.0, ,29.8,20.1,90,42,2.29,7.80
PATERSON (TOCAL),05/11/2024,2.6,0.4, ,23.7,18.8,90,68,2.97,9.88
PATERSON (TOCAL),06/11/2024,5.4,0.0, ,32.6,18.2,92,40,1.68,24.42
PATERSON (TOCAL),07/11/2024,6.3,0.0, ,39.7,19.1,94,24,2.19,21.06
PATERSON (TOCAL),08/11/2024,6.5,21.6, ,30.4,16.8,93,23,2.72,29.07
PATERSON (TOCAL),09/11/2024,5.7,0.0, ,28.0,13.7,94,38,2.41,28.76
PATERSON (TOCAL),10/11/2024,5.3,0.0, ,29.1,15.9,92,48,2.87,24.68
PATERSON (TOCAL),11/11/2024,1.9,0.0, ,22.1,17.0,95,70,1.21,7.90
PATERSON (TOCAL),12/11/2024,2.4,27.2, ,23.4,16.9,96,67,1.50,11.03
PATERSON (TOCAL),13/11/2024,3.8,0.4, ,26.9,16.1,96,56,1.66,18.63
PATERSON (TOCAL),14/11/2024,3.4,4.4, ,24.9,13.7,96,63,2.34,16.59
PATERSON (TOCAL),15/11/2024,2.2,0.0, ,22.8,17.8,92,70,2.46,8.14
PATERSON (TOCAL),16/11/2024, ,0.0, , ,18.7,91,60,3.67,22.91
PATERSON (TOCAL),17/11/2024,5.6, , ,31.0,16.5,93,48,2.69,25.11
PATERSON (TOCAL),18/11/2024,3.0,5.0, ,25.6,18.9,94,64,2.19,12.23
PATERSON (TOCAL),19/11/2024,4.2, , ,24.1,17.7,88,56,3.20,19.57
PATERSON (TOCAL),20/11/2024,5.0,0.0, ,25.5,12.4,95,47,2.76,26.56
PATERSON (TOCAL),21/11/2024, ,0.0, , ,11.3,95,41,2.87,26.14
PATERSON (TOCAL),22/11/2024, , , , , ,95,40,2.61,28.07
PATERSON (TOCAL),23/11/2024,6.2, , ,31.4,13.5,95,26,1.74,30.66
PATERSON (TOCAL),24/11/2024,6.6,0.0, ,33.4,13.7,95,18,1.89,29.95
PATERSON (TOCAL),25/11/2024,6.6, , ,33.8,15.4,94,38,2.26,29.80
PATERSON (TOCAL),26/11/2024, ,0.0, , ,16.6,94,26,2.01,28.56
PATERSON (TOCAL),27/11/2024, , , , , ,88,23,2.39,27.65
PATERSON (TOCAL),28/11/2024, , , ,27.0, ,87,61,1.49,6.84
PATERSON (TOCAL),29/11/2024,2.0,0.6, ,25.4,20.4,95,75,1.93,7.08
PATERSON (TOCAL),30/11/2024, ,3.0, , ,20.8,94,64,2.95, 
Totals:,,102.2,63, ,,,,,, 
