'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PATERSON (TOCAL) New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PATERSON (TOCAL),01/04/2025,2.1,0.0, ,22.2,17.8,91,63,1.88,9.35
PATERSON (TOCAL),02/04/2025,1.5,0.0, ,20.2,15.5,95,69,0.93,6.97
PATERSON (TOCAL),03/04/2025, ,1.8, , ,16.0,96,33,1.00,18.97
PATERSON (TOCAL),04/04/2025, , , ,27.6, ,95,33,1.55,18.68
PATERSON (TOCAL),05/04/2025,3.8,0.0, ,27.4,12.5,90,27,1.85,18.82
PATERSON (TOCAL),06/04/2025,3.9,0.0, ,27.1,11.8,96,25,2.24,18.60
PATERSON (TOCAL),07/04/2025,3.6,0.0, ,27.2,11.5,89,30,1.77,18.47
PATERSON (TOCAL),08/04/2025,2.5,0.2, ,23.3,13.2,93,58,1.79,13.52
PATERSON (TOCAL),09/04/2025,2.8,0.2, ,25.6,11.9,96,54,1.65,15.85
PATERSON (TOCAL),10/04/2025,2.5,0.0, ,25.7,12.5,96,55,1.02,15.17
PATERSON (TOCAL),11/04/2025,3.0,0.0, ,28.9,12.3,97,34,0.91,17.69
PATERSON (TOCAL),12/04/2025,2.8,0.0, ,26.7,13.7,96,56,1.58,15.30
PATERSON (TOCAL),13/04/2025,2.5,0.0, ,26.9,15.9,96,56,1.17,13.20
PATERSON (TOCAL),14/04/2025,2.7, , ,27.4,12.4,97,43,0.80,17.18
PATERSON (TOCAL),15/04/2025,2.8,23.6, ,23.3,17.7,95,45,2.25,13.23
PATERSON (TOCAL),16/04/2025,2.0,2.0, ,21.5,14.4,96,58,1.67,9.83
PATERSON (TOCAL),17/04/2025,2.1,2.0, ,23.4,15.7,96,59,1.71,10.08
PATERSON (TOCAL),18/04/2025,2.7,0.4, ,25.0,13.5,96,46,1.41,16.60
PATERSON (TOCAL),19/04/2025,2.4,0.2, ,26.7,10.4,96,48,0.89,14.90
PATERSON (TOCAL),20/04/2025,2.9,0.0, ,29.7,11.6,96,34,1.10,16.22
PATERSON (TOCAL),21/04/2025,3.4,0.0, ,27.1,14.9,92,27,2.45,13.48
PATERSON (TOCAL),22/04/2025,1.9,14.2, ,21.9,11.8,95,63,1.86,9.79
PATERSON (TOCAL),23/04/2025,2.5,2.8, ,25.0,14.6,96,60,2.25,13.92
PATERSON (TOCAL),24/04/2025,2.3,0.0, ,25.6,14.1,96,57,1.64,12.69
PATERSON (TOCAL),25/04/2025,1.9,0.0, ,24.9,13.6,97,65,0.99,11.87
PATERSON (TOCAL),26/04/2025,2.1,2.8, ,24.7,13.6,97,59,1.69,11.16
PATERSON (TOCAL),27/04/2025,1.1,24.4, ,17.9,16.0,96,83,3.77,3.06
PATERSON (TOCAL),28/04/2025,1.8,89.4, ,23.2,15.8,95,72,2.87,7.29
PATERSON (TOCAL),29/04/2025,2.3,2.4, ,25.2,13.2,97,56,1.75,12.54
PATERSON (TOCAL),30/04/2025,1.8,19.2, ,20.9,14.1,97,63,2.40,8.84
Totals:,,69.7,185.6, ,,,,,, 
