'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PATERSON (TOCAL) New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PATERSON (TOCAL),01/05/2025, ,1.0, ,19.7,11.9,94,59,2.87, 
PATERSON (TOCAL),02/05/2025,1.6,15.4, ,20.3,11.5,96,66,1.07,10.97
PATERSON (TOCAL),03/05/2025,1.9,5.2, ,22.0,12.9,97,58,1.51,11.75
PATERSON (TOCAL),04/05/2025,1.8,0.0, ,22.1,10.1,96,66,1.18,12.59
PATERSON (TOCAL),05/05/2025,1.9,0.0, ,24.0,12.5,97,58,0.97,13.40
PATERSON (TOCAL),06/05/2025, ,0.0, , ,10.9,97,59,0.57,14.04
PATERSON (TOCAL),07/05/2025,2.1, , ,25.9,10.3,97,44,1.13,13.72
PATERSON (TOCAL),08/05/2025,1.9,0.2, ,22.5,12.4,94,47,1.58,10.37
PATERSON (TOCAL),09/05/2025,1.3,3.4, ,18.4,12.1,96,72,1.09,9.53
PATERSON (TOCAL),10/05/2025,1.3,2.2, ,19.0,10.2,97,81,1.44,9.26
PATERSON (TOCAL),11/05/2025,1.1,2.4, ,18.6,13.1,97,89,1.22,7.23
PATERSON (TOCAL),12/05/2025,1.4,13.8, ,20.6,15.7,97,80,1.38,9.89
PATERSON (TOCAL),13/05/2025,1.4,0.2, ,21.6,15.4,97,71,0.68,10.04
PATERSON (TOCAL),14/05/2025, ,0.0, , ,13.8,97,76,1.04,9.33
PATERSON (TOCAL),15/05/2025, , , ,18.5, ,97,91,0.60,5.50
PATERSON (TOCAL),16/05/2025,1.2,24.8, ,20.3,15.7,96,80,1.04,8.02
PATERSON (TOCAL),17/05/2025,1.5,0.4, ,22.1,13.6,97,64,0.97,11.04
PATERSON (TOCAL),18/05/2025, ,0.0, , ,13.4,96,80,1.90,6.05
PATERSON (TOCAL),19/05/2025, , , , , ,96,87,3.71,3.46
PATERSON (TOCAL),20/05/2025,1.1, , ,17.4,12.1,96,78,2.91,4.50
PATERSON (TOCAL),21/05/2025,1.0,44.8, ,19.2,15.7,96,88,1.87,5.90
PATERSON (TOCAL),22/05/2025,0.9,17.4, ,19.1,16.2,97,93,2.01,4.66
PATERSON (TOCAL),23/05/2025,1.7,35.4, ,21.7,16.8,97,51,1.94,8.18
PATERSON (TOCAL),24/05/2025,2.4,0.2, ,21.0,11.3,82,43,2.79,12.42
PATERSON (TOCAL),25/05/2025,1.3,0.0, ,19.7,8.8,96,45,1.05,8.38
PATERSON (TOCAL),26/05/2025,1.1,0.0, ,17.4,8.7,95,72,1.44,6.63
PATERSON (TOCAL),27/05/2025,2.4,28.2, ,18.9,11.6,96,41,4.33,9.57
PATERSON (TOCAL),28/05/2025,2.7,0.2, ,18.9,11.1,70,49,4.20,12.14
PATERSON (TOCAL),29/05/2025,1.2,0.0, ,15.9,10.4,95,67,2.17,6.81
PATERSON (TOCAL),30/05/2025, ,0.2, , ,11.8,95,63,1.32,10.34
PATERSON (TOCAL),31/05/2025, , , ,20.7, ,97,60,0.85,11.45
Totals:,,36.2,195.4, ,,,,,, 
