'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PATERSON (TOCAL) New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PATERSON (TOCAL),01/08/2025,1.2,1.8, ,15.2,9.4,95,68,1.55,7.12
PATERSON (TOCAL),02/08/2025,0.8,11.4, ,15.4,8.7,97,89,2.27,4.30
PATERSON (TOCAL),03/08/2025,1.3,92.4, ,17.6,10.8,96,84,3.21,8.86
PATERSON (TOCAL),04/08/2025,1.5,15.4, ,19.7,11.0,97,67,1.00,11.06
PATERSON (TOCAL),05/08/2025,2.0,0.0, ,21.4,10.5,97,51,1.60,14.09
PATERSON (TOCAL),06/08/2025,2.1,0.0, ,18.9,7.8,96,32,1.60,14.43
PATERSON (TOCAL),07/08/2025, ,0.8, , ,6.0,96,87,1.15,6.85
PATERSON (TOCAL),08/08/2025, , , ,16.9, ,97,69,0.87,9.49
PATERSON (TOCAL),09/08/2025,1.6,3.6, ,18.8,10.6,96,63,1.19,11.65
PATERSON (TOCAL),10/08/2025,1.3,7.4, ,16.7,8.3,97,77,1.18,10.56
PATERSON (TOCAL),11/08/2025,1.4,4.8, ,16.7,6.9,97,66,0.85,11.30
PATERSON (TOCAL),12/08/2025,1.9,1.0, ,18.1,5.8,98,51,1.38,15.12
PATERSON (TOCAL),13/08/2025,1.9,0.0, ,19.9,4.7,96,41,1.05,15.05
PATERSON (TOCAL),14/08/2025,1.2,0.2, ,15.8,8.5,96,72,1.22,8.26
PATERSON (TOCAL),15/08/2025, ,3.8, , ,8.5,97,64,1.05,12.79
PATERSON (TOCAL),16/08/2025,2.4, , ,20.9,7.5,96,42,2.38,11.82
PATERSON (TOCAL),17/08/2025,2.4,0.0, ,16.3,6.4,90,38,2.50,15.87
PATERSON (TOCAL),18/08/2025,1.7,0.0, ,15.8,3.4,95,53,1.60,12.53
PATERSON (TOCAL),19/08/2025,1.5,1.8, ,17.4,6.0,96,60,1.03,10.48
PATERSON (TOCAL),20/08/2025,1.2,4.6, ,15.6,7.0,97,76,1.49,8.00
PATERSON (TOCAL),21/08/2025,1.0,15.0, ,14.7,10.8,97,82,1.88,4.97
PATERSON (TOCAL),22/08/2025,1.6,18.0, ,18.1,9.6,97,72,1.47,11.00
PATERSON (TOCAL),23/08/2025,2.5,3.6, ,21.2,10.4,95,47,1.71,15.99
PATERSON (TOCAL),24/08/2025,2.4,0.2, ,19.9,10.1,95,46,1.65,16.49
PATERSON (TOCAL),25/08/2025,2.4,0.0, ,21.5,10.7,94,54,1.74,15.49
PATERSON (TOCAL),26/08/2025,2.5,0.0, ,24.3,8.4,97,50,1.00,17.21
PATERSON (TOCAL),27/08/2025,3.8,0.0, ,25.2,10.1,97,38,4.38,13.87
PATERSON (TOCAL),28/08/2025,4.7,0.2, ,19.9,12.7,59,32,6.03,17.41
PATERSON (TOCAL),29/08/2025,4.7,0.0, ,20.3,11.8,52,32,5.53,17.25
PATERSON (TOCAL),30/08/2025,4.4,0.2, ,19.3,9.2,75,33,6.91,17.33
PATERSON (TOCAL),31/08/2025,2.8,0.0, ,19.7,5.1,84,29,1.69,17.94
Totals:,,60.2,186.2, ,,,,,, 
