'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT MACQUARIE AIRPORT New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT MACQUARIE AIRPORT,01/12/2024,4.4,15.2, ,28.1,20.4,97,73,4.10,21.55
PORT MACQUARIE AIRPORT,02/12/2024,6.2,20.8, ,31.5,18.2,99,55,3.19,29.74
PORT MACQUARIE AIRPORT,03/12/2024,5.0,0.0, ,29.8,21.9,94,68,3.98,22.96
PORT MACQUARIE AIRPORT,04/12/2024,5.1,0.0, ,31.5,20.5,96,60,2.65,22.78
PORT MACQUARIE AIRPORT,05/12/2024,5.0,0.0, ,28.5,20.7,96,64,2.58,24.72
PORT MACQUARIE AIRPORT,06/12/2024,6.0,0.0, ,29.0,21.1,98,62,3.62,30.22
PORT MACQUARIE AIRPORT,07/12/2024,5.6,0.0, ,31.8,20.8,94,63,3.40,25.30
PORT MACQUARIE AIRPORT,08/12/2024,7.1,13.0, ,33.4,22.7,97,53,3.81,30.89
PORT MACQUARIE AIRPORT,09/12/2024,1.8,7.6, ,25.8,21.5,98,83,2.89,6.37
PORT MACQUARIE AIRPORT,10/12/2024,5.2,2.6, ,29.2,22.0,98,65,3.52,24.60
PORT MACQUARIE AIRPORT,11/12/2024,5.2,0.0, ,26.5,18.7,92,56,4.00,25.17
PORT MACQUARIE AIRPORT,12/12/2024,6.1,0.0, ,28.2,17.5,94,60,4.26,31.67
PORT MACQUARIE AIRPORT,13/12/2024,5.2,0.0, ,30.2,20.2,90,61,4.60,21.70
PORT MACQUARIE AIRPORT,14/12/2024,5.9,0.0, ,29.0,18.7,97,68,2.93,31.43
PORT MACQUARIE AIRPORT,15/12/2024,5.9,0.0, ,29.3,20.3,98,70,3.22,31.20
PORT MACQUARIE AIRPORT,16/12/2024,5.7,0.0, ,29.1,20.4,97,67,2.79,29.13
PORT MACQUARIE AIRPORT,17/12/2024,6.1,0.0, ,30.0,17.7,97,63,4.34,30.77
PORT MACQUARIE AIRPORT,18/12/2024,2.9,0.0, ,22.7,21.7,94,63,5.94,8.66
PORT MACQUARIE AIRPORT,19/12/2024,5.4,0.4, ,25.9,16.9,92,47,4.75,24.03
PORT MACQUARIE AIRPORT,20/12/2024,5.7,0.0, ,26.3,13.0,95,46,3.86,29.30
PORT MACQUARIE AIRPORT,21/12/2024,6.0,0.0, ,27.9,12.5,97,49,2.97,31.83
PORT MACQUARIE AIRPORT,22/12/2024,6.4,0.0, ,30.1,15.5,96,49,3.50,31.18
PORT MACQUARIE AIRPORT,23/12/2024,9.3,0.0, ,38.5,21.7,86,19,5.11,24.42
PORT MACQUARIE AIRPORT,24/12/2024,6.3,0.0, ,25.8,14.7,94,40,4.44,31.83
PORT MACQUARIE AIRPORT,25/12/2024,6.4,0.6, ,27.7,15.3,95,41,3.71,31.82
PORT MACQUARIE AIRPORT,26/12/2024,5.8,0.0, ,28.0,13.1,97,57,3.05,31.82
PORT MACQUARIE AIRPORT,27/12/2024,6.1,0.0, ,31.7,19.5,86,49,4.61,22.20
PORT MACQUARIE AIRPORT,28/12/2024,5.0,0.0, ,27.5,21.5,90,46,3.81,19.35
PORT MACQUARIE AIRPORT,29/12/2024,5.0,0.0, ,28.6,16.5,96,63,1.98,26.03
PORT MACQUARIE AIRPORT,30/12/2024,5.9,0.0, ,28.8,13.8,98,38,1.96,30.70
PORT MACQUARIE AIRPORT,31/12/2024,5.2,0.0, ,28.8,15.4,96,56,2.77,25.92
Totals:,,172.9,60.2, ,,,,,, 
