'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT MACQUARIE AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT MACQUARIE AIRPORT,01/03/2025, , , , , ,96,61,3.46,25.15
PORT MACQUARIE AIRPORT,02/03/2025,5.0, , ,28.9,17.0,96,55,3.17,24.64
PORT MACQUARIE AIRPORT,03/03/2025,4.7,0.0, ,28.4,18.7,97,59,3.55,22.79
PORT MACQUARIE AIRPORT,04/03/2025,4.7,2.2, ,28.4,20.5,95,64,5.43,21.73
PORT MACQUARIE AIRPORT,05/03/2025,3.8,11.6, ,27.6,20.4,94,63,5.85,13.42
PORT MACQUARIE AIRPORT,06/03/2025,4.0,26.6, ,27.5,21.0,94,69,6.08,17.49
PORT MACQUARIE AIRPORT,07/03/2025,3.1,10.0, ,26.0,20.7,94,66,5.95,9.40
PORT MACQUARIE AIRPORT,08/03/2025,2.3,1.6, ,25.0,22.0,94,73,5.28,6.19
PORT MACQUARIE AIRPORT,09/03/2025,3.1,5.2, ,26.6,21.9,95,67,4.66,11.40
PORT MACQUARIE AIRPORT,10/03/2025,1.3,19.0, ,21.6,19.6,97,90,1.75,5.49
PORT MACQUARIE AIRPORT,11/03/2025,2.0,19.0, ,24.4,19.6,97,76,1.51,8.64
PORT MACQUARIE AIRPORT,12/03/2025,3.1,12.0, ,26.4,19.3,97,72,1.73,15.71
PORT MACQUARIE AIRPORT,13/03/2025,4.1,0.8, ,27.5,16.6,97,64,1.92,22.93
PORT MACQUARIE AIRPORT,14/03/2025,4.4,0.0, ,29.0,17.0,97,63,2.68,23.19
PORT MACQUARIE AIRPORT,15/03/2025,4.4,0.0, ,30.4,17.6,98,56,2.08,21.87
PORT MACQUARIE AIRPORT,16/03/2025,4.7,0.2, ,30.7,18.7,98,57,2.86,22.19
PORT MACQUARIE AIRPORT,17/03/2025,2.7,0.0, ,24.0,18.6,97,63,5.10,8.18
PORT MACQUARIE AIRPORT,18/03/2025,2.4,0.0, ,23.5,17.8,89,63,2.12,9.94
PORT MACQUARIE AIRPORT,19/03/2025,3.3,0.6, ,27.4,19.3,94,60,2.37,14.99
PORT MACQUARIE AIRPORT,20/03/2025,3.6,0.0, ,27.1,14.6,97,61,2.80,18.53
PORT MACQUARIE AIRPORT,21/03/2025,3.6,0.0, ,30.4,17.5,98,58,2.42,15.29
PORT MACQUARIE AIRPORT,22/03/2025,3.4,46.2, ,27.3,17.8,98,72,2.13,18.67
PORT MACQUARIE AIRPORT,23/03/2025,1.8,2.6, ,25.3,18.6,97,83,1.50,8.57
PORT MACQUARIE AIRPORT,24/03/2025,2.6,40.8, ,26.0,20.2,97,78,1.51,13.24
PORT MACQUARIE AIRPORT,25/03/2025,3.0,3.8, ,26.7,20.4,97,67,1.99,15.02
PORT MACQUARIE AIRPORT,26/03/2025,2.1,0.6, ,25.1,18.1,97,74,2.17,8.97
PORT MACQUARIE AIRPORT,27/03/2025,3.0,0.4, ,25.9,19.9,91,66,2.86,13.16
PORT MACQUARIE AIRPORT,28/03/2025,2.3,0.0, ,25.4,19.3,97,64,2.81,8.40
PORT MACQUARIE AIRPORT,29/03/2025,1.6,35.4, ,24.0,19.9,98,81,2.90,5.85
PORT MACQUARIE AIRPORT,30/03/2025,4.1,28.6, ,28.7,17.2,98,52,3.59,18.35
PORT MACQUARIE AIRPORT,31/03/2025,4.4,0.0, ,26.0,19.5,77,60,5.96,16.49
Totals:,,98.6,267.2, ,,,,,, 
