'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RICHMOND RAAF New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RICHMOND RAAF,01/09/2024,5.5,0.0, ,27.9,6.8,84,15,4.21,17.63
RICHMOND RAAF,02/09/2024,6.2,0.0, ,25.3,6.4,86,19,7.24,17.83
RICHMOND RAAF,03/09/2024,3.1,0.0, ,20.0,3.2,92,26,2.27,18.03
RICHMOND RAAF,04/09/2024,3.4,0.0, ,23.7,2.0,99,29,2.22,18.16
RICHMOND RAAF,05/09/2024,4.2,0.0, ,28.5,4.1,98,31,2.99,15.18
RICHMOND RAAF,06/09/2024,5.5,0.0, ,30.3,10.2,91,25,4.23,18.42
RICHMOND RAAF,07/09/2024,4.3,0.0, ,27.9,15.8,93,35,3.70,15.86
RICHMOND RAAF,08/09/2024,2.3,0.0, ,22.6,14.5,99,37,1.75,9.05
RICHMOND RAAF,09/09/2024,4.6,0.0, ,25.6,10.5,83,29,3.94,18.18
RICHMOND RAAF,10/09/2024,2.9,0.0, ,23.3,5.1,99,43,1.33,19.12
RICHMOND RAAF,11/09/2024,3.1,0.0, ,27.5,6.5,99,35,1.06,18.38
RICHMOND RAAF,12/09/2024,2.8,0.0, ,22.5,13.5,99,55,4.40,10.62
RICHMOND RAAF,13/09/2024,3.4,0.2, ,20.4,9.7,96,36,2.98,18.67
RICHMOND RAAF,14/09/2024,4.0,0.0, ,24.8,4.3,99,18,2.26,19.65
RICHMOND RAAF,15/09/2024,4.2,0.0, ,18.8,6.7,73,28,5.09,17.47
RICHMOND RAAF,16/09/2024,3.7,0.0, ,22.4,2.0,99,17,2.11,20.25
RICHMOND RAAF,17/09/2024,3.1,0.0, ,22.4,3.5,99,34,1.26,20.40
RICHMOND RAAF,18/09/2024,4.9,0.0, ,26.6,0.2,99,12,2.84,20.57
RICHMOND RAAF,19/09/2024,6.9,0.0, ,28.2,5.2,89,11,5.49,20.55
RICHMOND RAAF,20/09/2024,5.3,0.0, ,25.2,7.3,81,17,3.99,20.89
RICHMOND RAAF,21/09/2024,5.1,0.0, ,24.8,6.7,83,26,4.24,21.00
RICHMOND RAAF,22/09/2024,4.8,0.0, ,26.2,4.8,96,24,3.49,19.70
RICHMOND RAAF,23/09/2024,5.5,0.0, ,29.1,6.5,98,20,3.38,21.46
RICHMOND RAAF,24/09/2024,3.5,0.0, ,26.2,9.3,94,36,1.82,17.35
RICHMOND RAAF,25/09/2024,3.7,0.0, ,29.4,14.1,92,28,2.41,10.65
RICHMOND RAAF,26/09/2024,1.1,14.8, ,13.2,11.0,99,81,4.24,4.93
RICHMOND RAAF,27/09/2024,2.0,15.2, ,16.8,10.4,99,72,4.23,11.04
RICHMOND RAAF,28/09/2024,2.7,4.0, ,20.3,10.4,99,58,2.94,14.39
RICHMOND RAAF,29/09/2024,2.6,1.6, ,22.0,9.8,100,72,1.27,16.65
RICHMOND RAAF,30/09/2024,3.6,3.8, ,22.7,14.0,100,55,3.17,19.66
Totals:,,118,39.6, ,,,,,, 
