'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RICHMOND RAAF New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RICHMOND RAAF,01/03/2025, ,0.0, , ,20.2,99,42,2.20,23.67
RICHMOND RAAF,02/03/2025, , , ,29.5, ,100,68,2.80,13.90
RICHMOND RAAF,03/03/2025,3.2, , ,26.9,21.0,82,62,3.96,8.51
RICHMOND RAAF,04/03/2025,4.4,6.8, ,28.6,19.0,100,50,4.36,17.02
RICHMOND RAAF,05/03/2025, ,6.2, , ,17.6,100,51,3.28,19.93
RICHMOND RAAF,06/03/2025, , , , , , , , ,14.03
RICHMOND RAAF,07/03/2025, , , ,25.6, ,99,59,3.67,11.66
RICHMOND RAAF,08/03/2025,2.6,2.6, ,26.2,17.6,99,66,2.73,10.27
RICHMOND RAAF,09/03/2025,3.3,6.4, ,28.9,19.0,100,55,1.84,14.41
RICHMOND RAAF,10/03/2025,2.2,0.2, ,25.5,18.2,100,78,1.62,10.94
RICHMOND RAAF,11/03/2025,1.9,0.2, ,24.4,20.5,100,84,2.37,9.05
RICHMOND RAAF,12/03/2025,2.7,0.0, ,27.9,18.8,100,65,1.03,13.13
RICHMOND RAAF,13/03/2025,4.1,0.0, ,32.3,17.9,100,43,0.79,21.31
RICHMOND RAAF,14/03/2025, ,0.0, , ,17.6,100,31,0.24,22.56
RICHMOND RAAF,15/03/2025, , , ,39.1, ,99,27,0.60,21.28
RICHMOND RAAF,16/03/2025,6.1, , ,37.9,21.1,89,26,3.30,17.25
RICHMOND RAAF,17/03/2025, ,0.0, , ,16.7,100,23,4.58,21.76
RICHMOND RAAF,19/03/2025, , , , , ,100,100,0.00,20.18
RICHMOND RAAF,20/03/2025, , , , , ,100,12,1.89,19.86
RICHMOND RAAF,21/03/2025, , , ,27.9, ,100,68,1.67,9.96
RICHMOND RAAF,22/03/2025,3.3,2.8, ,28.7,20.7,98,60,3.01,13.35
RICHMOND RAAF,23/03/2025,1.3,7.6, ,22.0,19.8,100,92,2.63,6.11
RICHMOND RAAF,24/03/2025, ,6.6, , ,18.8,100,75,1.08,9.57
RICHMOND RAAF,25/03/2025, , , , , ,100,69,2.55,9.19
RICHMOND RAAF,26/03/2025, , , ,28.7, ,100,54,1.38,16.55
RICHMOND RAAF,27/03/2025,3.1,0.0, ,26.9,15.8,100,28,1.66,12.25
RICHMOND RAAF,28/03/2025,2.6,0.8, ,26.5,17.2,100,57,1.80,11.67
RICHMOND RAAF,29/03/2025,1.6,34.6, ,23.7,17.9,100,80,2.91,6.58
RICHMOND RAAF,30/03/2025, ,6.8, , ,18.2,99,68,5.98,13.64
RICHMOND RAAF,31/03/2025,3.5, , ,25.0,18.8,95,58,5.47,13.60
Totals:,,45.9,81.6, ,,,,,, 
