'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCONE AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCONE AIRPORT,01/11/2024,6.1,0.0, ,27.8,14.8,100,27,4.06,25.47
SCONE AIRPORT,02/11/2024,5.7,0.0, ,28.5,10.5,100,37,3.36,27.07
SCONE AIRPORT,03/11/2024,6.9,0.0, ,33.6,10.2,100,25,3.53,25.52
SCONE AIRPORT,04/11/2024, ,0.0, , ,18.9,100,28,4.43,12.76
SCONE AIRPORT,05/11/2024,5.0, , ,28.4,17.5,100,52,4.71,21.00
SCONE AIRPORT,06/11/2024,6.0,0.0, ,36.6,15.8,100,21,1.78,24.19
SCONE AIRPORT,07/11/2024,8.9,0.0, ,39.5,18.8,100,19,4.84,23.25
SCONE AIRPORT,08/11/2024, ,11.2, , ,14.8,100,18,3.57,28.85
SCONE AIRPORT,09/11/2024,6.6, , ,31.7,9.0,100,22,2.80,28.72
SCONE AIRPORT,10/11/2024,7.0,0.0, ,33.3,13.4,100,23,3.70,25.14
SCONE AIRPORT,11/11/2024, ,0.0, , ,16.9,100,61,4.81,8.79
SCONE AIRPORT,12/11/2024, , , , , ,100,59,3.81,18.05
SCONE AIRPORT,13/11/2024,4.1, , ,29.3,15.2,100,49,2.28,17.59
SCONE AIRPORT,14/11/2024,5.4,5.2, ,28.6,10.8,100,44,3.04,26.26
SCONE AIRPORT,15/11/2024,4.7,0.2, ,27.2,16.6,100,56,5.47,20.50
SCONE AIRPORT,16/11/2024,6.1,0.0, ,31.2,13.0,100,42,3.34,27.25
SCONE AIRPORT,17/11/2024,7.3,0.0, ,35.4,14.2,100,26,3.69,25.45
SCONE AIRPORT,18/11/2024,3.1,19.0, ,24.3,18.8,100,47,2.90,10.45
SCONE AIRPORT,19/11/2024,5.6,2.2, ,27.8,12.7,100,46,4.42,26.17
SCONE AIRPORT,20/11/2024,6.0,0.0, ,28.7,11.1,100,33,3.29,27.68
SCONE AIRPORT,21/11/2024,6.0,0.0, ,28.8,8.6,100,33,2.75,29.25
SCONE AIRPORT,22/11/2024,6.4,0.0, ,31.0,8.5,100,28,2.47,30.28
SCONE AIRPORT,23/11/2024,6.4,0.0, ,33.2,10.0,100,16,1.69,30.45
SCONE AIRPORT,24/11/2024,6.8,0.0, ,35.9,10.5,100,14,1.81,29.83
SCONE AIRPORT,25/11/2024,6.4,0.0, ,36.2,11.6,100,20,1.44,29.48
SCONE AIRPORT,26/11/2024,8.0,0.0, ,37.1,14.7,99,19,2.96,30.39
SCONE AIRPORT,27/11/2024,8.9,0.0, ,37.7,17.1,75,17,4.29,25.61
SCONE AIRPORT,28/11/2024,2.0,0.6, ,26.9,20.4,100,64,1.62,6.62
SCONE AIRPORT,29/11/2024,2.1,2.8, ,25.9,20.2,100,76,3.08,7.69
SCONE AIRPORT,30/11/2024, ,9.0, ,26.0,19.9,100,85,1.60, 
Totals:,,147.5,50.2, ,,,,,, 
