'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCONE AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCONE AIRPORT,01/03/2025,6.3,0.0, ,36.3,16.9,94,22,2.33,24.51
SCONE AIRPORT,02/03/2025,6.6,0.0, ,37.4,16.0,100,24,3.37,19.84
SCONE AIRPORT,03/03/2025,3.5,3.2, ,27.7,19.6,100,59,5.83,10.38
SCONE AIRPORT,04/03/2025,3.9,0.4, ,27.5,17.9,100,55,6.38,11.46
SCONE AIRPORT,05/03/2025,4.0,6.8, ,26.9,18.4,100,57,6.91,14.29
SCONE AIRPORT,06/03/2025,3.5,1.8, ,26.8,18.7,100,66,7.71,12.41
SCONE AIRPORT,07/03/2025,3.5,0.4, ,26.5,17.5,100,59,6.70,10.93
SCONE AIRPORT,08/03/2025,6.2,0.0, ,30.0,18.0,100,45,7.52,23.49
SCONE AIRPORT,09/03/2025,4.5,0.0, ,30.2,19.3,100,47,4.49,15.42
SCONE AIRPORT,10/03/2025,1.2,0.8, ,21.1,19.4,100,90,2.64,4.81
SCONE AIRPORT,11/03/2025,2.5,17.2, ,26.3,19.2,100,70,3.60,9.76
SCONE AIRPORT,12/03/2025,3.8,1.4, ,27.9,17.9,100,55,2.93,17.23
SCONE AIRPORT,13/03/2025,4.2,0.6, ,31.7,19.2,100,41,1.12,20.23
SCONE AIRPORT,14/03/2025,4.4,0.0, ,34.8,13.3,100,22,0.86,22.84
SCONE AIRPORT,15/03/2025,4.9,0.0, ,36.2,14.5,99,20,1.32,22.55
SCONE AIRPORT,16/03/2025,6.3,0.0, ,34.9,18.1,88,30,3.52,21.63
SCONE AIRPORT,17/03/2025,5.8,0.0, ,24.9,20.7,74,32,6.56,17.02
SCONE AIRPORT,18/03/2025,4.2,0.0, ,27.6,9.4,100,45,3.18,18.60
SCONE AIRPORT,19/03/2025,4.2,0.0, ,32.6,13.2,100,37,1.28,20.81
SCONE AIRPORT,20/03/2025,4.5,0.0, ,33.8,15.1,100,31,1.52,20.73
SCONE AIRPORT,21/03/2025, ,0.0, , ,14.4,100,54,1.39,6.98
SCONE AIRPORT,22/03/2025,3.6, , ,29.6,16.2,100,45,2.04,15.53
SCONE AIRPORT,23/03/2025,4.0,0.0, ,29.3,17.2,100,56,3.58,16.95
SCONE AIRPORT,24/03/2025,3.0,0.0, ,27.3,19.6,100,60,3.26,11.53
SCONE AIRPORT,25/03/2025,2.9,0.0, ,27.4,18.2,100,62,3.59,10.45
SCONE AIRPORT,26/03/2025,3.4,0.0, ,27.8,16.9,100,46,2.29,14.65
SCONE AIRPORT,27/03/2025,3.2,0.0, ,26.0,16.7,100,49,3.87,9.94
SCONE AIRPORT,28/03/2025,3.3,0.0, ,26.1,16.6,100,51,4.62,10.62
SCONE AIRPORT,29/03/2025,1.5,47.0, ,23.2,17.1,100,78,1.35,6.47
SCONE AIRPORT,30/03/2025,2.9,39.6, ,28.1,17.7,100,52,1.85,12.48
SCONE AIRPORT,31/03/2025,3.3,3.0, ,25.8,17.6,100,49,3.25,13.15
Totals:,,119.1,122.2, ,,,,,, 
