'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCONE AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCONE AIRPORT,01/04/2025, ,0.0, , ,17.2,83,58,4.08,11.11
SCONE AIRPORT,02/04/2025, , , , , ,100,75,1.98,8.74
SCONE AIRPORT,03/04/2025, , , ,26.6, ,100,33,1.47,18.01
SCONE AIRPORT,04/04/2025,3.6,0.2, ,28.7,7.0,100,20,1.34,19.21
SCONE AIRPORT,05/04/2025,4.2,0.0, ,27.1,9.3,95,20,2.51,19.04
SCONE AIRPORT,06/04/2025,4.0,0.0, ,26.9,5.1,100,25,2.39,18.82
SCONE AIRPORT,07/04/2025,4.0,0.0, ,27.2,6.3,99,23,2.36,18.69
SCONE AIRPORT,08/04/2025,3.4,0.0, ,26.0,6.5,100,46,2.40,18.12
SCONE AIRPORT,09/04/2025,2.9,0.0, ,25.1,10.7,100,47,1.55,16.54
SCONE AIRPORT,10/04/2025,2.7,0.0, ,26.6,9.8,100,42,1.01,15.62
SCONE AIRPORT,11/04/2025,3.2,0.0, ,28.3,9.5,100,27,1.17,18.02
SCONE AIRPORT,12/04/2025,3.6,0.0, ,27.0,8.8,100,47,3.20,17.36
SCONE AIRPORT,13/04/2025,3.1,0.0, ,27.5,13.2,100,50,1.94,15.67
SCONE AIRPORT,14/04/2025,3.0,0.0, ,27.7,8.7,100,31,1.27,17.31
SCONE AIRPORT,15/04/2025,2.9,1.4, ,24.4,14.4,100,52,4.58,8.64
SCONE AIRPORT,16/04/2025,2.9,0.4, ,23.1,11.4,100,45,2.89,13.99
SCONE AIRPORT,17/04/2025,1.9,1.2, ,22.4,14.6,100,61,1.26,10.55
SCONE AIRPORT,18/04/2025,2.6,0.4, ,24.8,8.7,100,32,0.99,16.91
SCONE AIRPORT,19/04/2025,2.5,0.0, ,29.1,6.1,100,28,0.76,15.00
SCONE AIRPORT,20/04/2025,3.3,0.0, ,29.8,7.1,100,29,1.62,16.46
SCONE AIRPORT,21/04/2025,3.8,0.4, ,26.4,13.5,90,29,3.43,11.52
SCONE AIRPORT,22/04/2025,2.0,2.0, ,21.9,6.1,100,49,1.39,11.77
SCONE AIRPORT,23/04/2025,3.0,9.6, ,24.7,13.6,100,53,3.94,13.16
SCONE AIRPORT,24/04/2025,2.9,0.8, ,25.6,14.9,100,46,2.80,12.62
SCONE AIRPORT,25/04/2025,2.2,0.4, ,24.2,11.2,100,57,1.57,12.97
SCONE AIRPORT,26/04/2025,1.7,0.2, ,22.9,11.4,100,66,1.21,9.27
SCONE AIRPORT,27/04/2025,1.0,9.0, ,17.1,15.4,100,87,2.00,4.45
SCONE AIRPORT,28/04/2025,2.0,14.6, ,23.0,13.8,100,67,2.43,10.36
SCONE AIRPORT,29/04/2025,2.2,0.0, ,24.5,9.5,100,46,1.14,14.88
SCONE AIRPORT,30/04/2025,1.5,7.6, ,19.3,13.3,100,73,2.81,7.59
Totals:,,76.1,48.2, ,,,,,, 
