'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCONE AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCONE AIRPORT,01/06/2025,1.2,0.0, ,19.1,3.8,100,66,0.84,11.51
SCONE AIRPORT,02/06/2025,1.0,0.2, ,18.1,6.4,100,72,0.87,8.95
SCONE AIRPORT,03/06/2025,1.5,0.2, ,20.4,8.6,100,58,1.94,8.46
SCONE AIRPORT,04/06/2025,1.1,0.4, ,13.7,10.1,100,63,2.04,6.33
SCONE AIRPORT,05/06/2025,1.1,2.6, ,15.9,0.9,100,56,1.16,10.15
SCONE AIRPORT,06/06/2025,1.1,0.0, ,18.1,0.3,100,48,0.88,8.89
SCONE AIRPORT,07/06/2025,2.2,0.0, ,18.9,5.0,99,41,3.52,11.63
SCONE AIRPORT,08/06/2025,2.4,0.0, ,16.4,7.3,75,49,5.03,10.04
SCONE AIRPORT,09/06/2025,1.9,0.0, ,12.4,2.5,88,51,5.77,8.48
SCONE AIRPORT,10/06/2025,1.9,0.0, ,14.3,8.3,81,58,4.73,7.39
SCONE AIRPORT,11/06/2025,1.7,0.0, ,15.8,8.1,93,52,3.62,8.62
SCONE AIRPORT,12/06/2025,1.3,0.0, ,16.8,-1.0,100,37,1.31,11.53
SCONE AIRPORT,13/06/2025,1.2,0.2, ,16.2,3.7,100,47,1.22,10.51
SCONE AIRPORT,14/06/2025,1.0,0.0, ,16.6,1.4,100,59,0.97,10.33
SCONE AIRPORT,15/06/2025,1.2,0.0, ,18.0,0.1,100,45,0.96,11.62
SCONE AIRPORT,16/06/2025,1.2,0.6, ,18.5,-0.2,100,41,0.93,11.61
SCONE AIRPORT,17/06/2025,1.3,0.0, ,17.3,0.2,100,46,1.49,10.79
SCONE AIRPORT,18/06/2025,1.0,0.2, ,15.0,-1.7,100,42,0.86,11.65
SCONE AIRPORT,19/06/2025,1.0,0.0, ,16.5,-3.8,100,54,0.74,11.59
SCONE AIRPORT,20/06/2025,1.0,0.0, ,18.5,-3.6,100,45,0.67,11.77
SCONE AIRPORT,21/06/2025,0.9,0.0, ,18.7,-2.6,100,52,0.41,11.77
SCONE AIRPORT,22/06/2025,1.1,0.0, ,22.4,-0.3,100,41,0.54,11.77
SCONE AIRPORT,23/06/2025,1.6,0.0, ,21.6,0.6,100,49,1.66,11.68
SCONE AIRPORT,24/06/2025,1.9,0.0, ,19.8,6.4,100,59,4.60,5.47
SCONE AIRPORT,25/06/2025,3.0,9.6, ,16.7,8.5,81,44,7.40,11.48
SCONE AIRPORT,26/06/2025,1.5,0.8, ,13.5,1.5,100,45,2.76,11.80
SCONE AIRPORT,27/06/2025,1.1,0.0, ,15.0,-3.5,100,57,1.23,11.35
SCONE AIRPORT,28/06/2025,0.9,0.2, ,16.0,3.8,100,67,0.61,9.08
SCONE AIRPORT,29/06/2025,1.0,0.2, ,19.3,1.6,100,43,0.65,8.79
SCONE AIRPORT,30/06/2025,0.9,0.0, ,14.7,-0.4,100,76,1.32,9.48
Totals:,,41.2,15.2, ,,,,,, 
