'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY (OBSERVATORY HILL) New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY (OBSERVATORY HILL),01/12/2024,4.3,1.0, ,29.0,19.8,97,60,0.00,22.20
SYDNEY (OBSERVATORY HILL),02/12/2024,5.3,23.8, ,33.3,19.0,92,42,0.00,28.47
SYDNEY (OBSERVATORY HILL),03/12/2024,3.1,0.2, ,30.0,20.6,87,51,0.00,15.37
SYDNEY (OBSERVATORY HILL),04/12/2024,4.9,0.2, ,26.8,21.3,87,60,0.00,26.26
SYDNEY (OBSERVATORY HILL),05/12/2024,4.0,0.0, ,25.8,20.1,91,71,0.00,20.76
SYDNEY (OBSERVATORY HILL),06/12/2024,5.1,0.0, ,27.5,21.9,95,74,0.00,25.95
SYDNEY (OBSERVATORY HILL),07/12/2024,2.2,10.8, ,29.3,21.4,97,71,0.00,9.61
SYDNEY (OBSERVATORY HILL),08/12/2024,3.4,11.8, ,28.4,21.0,92,68,0.00,16.84
SYDNEY (OBSERVATORY HILL),09/12/2024,2.1,0.4, ,24.8,18.6,91,69,0.00,10.02
SYDNEY (OBSERVATORY HILL),10/12/2024,5.1,0.0, ,25.8,19.9,89,52,0.00,28.36
SYDNEY (OBSERVATORY HILL),11/12/2024,5.0,0.0, ,26.4,20.0,81,56,0.00,28.01
SYDNEY (OBSERVATORY HILL),12/12/2024,5.6,0.0, ,28.1,17.5,92,49,0.00,31.89
SYDNEY (OBSERVATORY HILL),13/12/2024, ,0.0, , ,21.1,93,45,0.00,31.49
SYDNEY (OBSERVATORY HILL),14/12/2024,5.6, , ,29.2,21.0,90,61,0.00,29.45
SYDNEY (OBSERVATORY HILL),15/12/2024,4.3,0.0, ,28.8,21.5,95,60,0.00,22.03
SYDNEY (OBSERVATORY HILL),16/12/2024,6.0,0.0, ,29.0,22.7,90,70,0.00,30.93
SYDNEY (OBSERVATORY HILL),17/12/2024,6.1,0.0, ,32.1,21.0,95,50,0.00,31.56
SYDNEY (OBSERVATORY HILL),18/12/2024,3.6,8.8, ,23.6,17.3,92,47,0.00,20.26
SYDNEY (OBSERVATORY HILL),19/12/2024,4.6,1.4, ,25.1,17.5,67,42,0.00,27.30
SYDNEY (OBSERVATORY HILL),20/12/2024,5.3,0.0, ,26.1,17.1,76,42,0.00,31.94
SYDNEY (OBSERVATORY HILL),21/12/2024,5.6,0.0, ,27.2,16.9,88,60,0.00,31.63
SYDNEY (OBSERVATORY HILL),22/12/2024,4.9,0.0, ,27.2,20.5,89,52,0.00,26.45
SYDNEY (OBSERVATORY HILL),23/12/2024,5.4,0.0, ,29.1,21.3,93,11,0.00,31.58
SYDNEY (OBSERVATORY HILL),24/12/2024,5.1,0.0, ,25.5,16.2,74,31,0.00,32.06
SYDNEY (OBSERVATORY HILL),25/12/2024,5.5,0.0, ,27.4,16.7,83,47,0.00,32.05
SYDNEY (OBSERVATORY HILL),26/12/2024,5.8,0.0, ,28.6,18.5,93,56,0.00,32.03
SYDNEY (OBSERVATORY HILL),27/12/2024,5.1,1.8, ,37.4,21.5,86,33,0.00,26.13
SYDNEY (OBSERVATORY HILL),28/12/2024,4.9,0.4, ,27.2,19.3,80,53,0.00,27.45
SYDNEY (OBSERVATORY HILL),29/12/2024,5.3,0.0, ,30.2,17.7,91,21,0.00,31.30
SYDNEY (OBSERVATORY HILL),30/12/2024,5.6,0.0, ,28.2,19.6,83,55,0.00,30.81
SYDNEY (OBSERVATORY HILL),31/12/2024,4.6,0.0, ,30.1,20.3,92,58,0.00,23.50
Totals:,,143.4,60.6, ,,,,,, 
