'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY (OBSERVATORY HILL) New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY (OBSERVATORY HILL),01/03/2025,4.2,0.0, ,28.8,22.1,88,63,0.00,22.64
SYDNEY (OBSERVATORY HILL),02/03/2025,2.5,0.0, ,28.0,21.3,94,71,0.00,12.62
SYDNEY (OBSERVATORY HILL),03/03/2025,2.5,0.0, ,25.9,20.7,85,61,0.00,13.17
SYDNEY (OBSERVATORY HILL),04/03/2025,3.4,8.2, ,26.9,19.8,97,61,0.00,19.14
SYDNEY (OBSERVATORY HILL),05/03/2025,3.8,11.6, ,27.7,19.1,96,47,0.00,22.61
SYDNEY (OBSERVATORY HILL),06/03/2025,3.4,2.0, ,27.7,19.9,95,54,0.00,19.33
SYDNEY (OBSERVATORY HILL),07/03/2025,3.1,2.2, ,26.7,20.4,87,57,0.00,17.29
SYDNEY (OBSERVATORY HILL),08/03/2025,2.6,0.8, ,27.0,19.6,91,60,0.00,13.71
SYDNEY (OBSERVATORY HILL),09/03/2025,3.5,1.8, ,27.8,20.6,95,62,0.00,19.26
SYDNEY (OBSERVATORY HILL),10/03/2025,2.5,0.2, ,28.0,21.1,89,62,0.00,12.79
SYDNEY (OBSERVATORY HILL),11/03/2025,1.9,14.0, ,23.7,20.7,97,82,0.00,9.70
SYDNEY (OBSERVATORY HILL),12/03/2025,3.2,9.4, ,27.4,19.0,97,65,0.00,17.81
SYDNEY (OBSERVATORY HILL),13/03/2025,3.9,0.0, ,28.0,19.5,96,61,0.00,22.64
SYDNEY (OBSERVATORY HILL),14/03/2025,3.9,0.0, ,29.5,20.0,96,61,0.00,22.41
SYDNEY (OBSERVATORY HILL),15/03/2025,3.7,0.0, ,31.0,21.7,91,51,0.00,20.64
SYDNEY (OBSERVATORY HILL),16/03/2025,3.0,0.0, ,37.1,24.5,67,28,0.00,16.67
SYDNEY (OBSERVATORY HILL),17/03/2025,3.0,0.0, ,22.5,17.1,79,41,0.00,21.00
SYDNEY (OBSERVATORY HILL),18/03/2025,2.5,0.0, ,25.3,15.5,79,48,0.00,15.48
SYDNEY (OBSERVATORY HILL),19/03/2025,3.2,0.0, ,27.6,17.3,83,56,0.00,19.87
SYDNEY (OBSERVATORY HILL),20/03/2025,3.6,0.0, ,28.0,20.2,87,64,0.00,21.00
SYDNEY (OBSERVATORY HILL),21/03/2025,2.0,0.0, ,28.1,20.9,92,62,0.00,9.94
SYDNEY (OBSERVATORY HILL),22/03/2025,2.3,0.6, ,27.5,20.0,89,63,0.00,12.53
SYDNEY (OBSERVATORY HILL),23/03/2025,1.4,8.2, ,24.2,20.8,95,73,0.00,6.60
SYDNEY (OBSERVATORY HILL),24/03/2025,2.3,2.8, ,27.4,20.1,96,65,0.00,12.37
SYDNEY (OBSERVATORY HILL),25/03/2025,2.1,0.0, ,26.0,20.5,94,67,0.00,11.21
SYDNEY (OBSERVATORY HILL),26/03/2025,2.9,1.0, ,27.8,19.8,96,64,0.00,17.09
SYDNEY (OBSERVATORY HILL),27/03/2025,2.4,0.0, ,26.8,18.6,95,66,0.00,14.13
SYDNEY (OBSERVATORY HILL),28/03/2025,2.1,9.0, ,25.6,19.6,96,69,0.00,11.80
SYDNEY (OBSERVATORY HILL),29/03/2025,1.2,34.0, ,21.2,19.3,98,76,0.00,5.18
SYDNEY (OBSERVATORY HILL),30/03/2025,2.4,20.2, ,25.3,18.8,96,65,0.00,14.60
SYDNEY (OBSERVATORY HILL),31/03/2025,1.9,37.6, ,23.4,17.9,97,67,0.00,11.28
Totals:,,86.4,163.6, ,,,,,, 
