'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY (OBSERVATORY HILL) New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY (OBSERVATORY HILL),01/08/2025,0.8,9.6, ,13.0,8.5,97,85,0.00,6.17
SYDNEY (OBSERVATORY HILL),02/08/2025,0.8,38.8, ,16.5,8.8,97,74,0.00,5.68
SYDNEY (OBSERVATORY HILL),03/08/2025,1.0,17.0, ,17.1,12.1,95,71,0.00,7.72
SYDNEY (OBSERVATORY HILL),04/08/2025,1.2,20.0, ,19.0,11.5,98,73,0.00,11.11
SYDNEY (OBSERVATORY HILL),05/08/2025,1.3,2.2, ,22.9,10.6,99,43,0.00,13.66
SYDNEY (OBSERVATORY HILL),06/08/2025,1.2,0.0, ,19.5,10.5,77,33,0.00,13.85
SYDNEY (OBSERVATORY HILL),07/08/2025,1.1,10.2, ,17.6,9.7,97,55,0.00,10.33
SYDNEY (OBSERVATORY HILL),08/08/2025,1.2,0.2, ,17.9,9.7,96,50,0.00,12.06
SYDNEY (OBSERVATORY HILL),09/08/2025,1.2,42.0, ,17.5,11.6,97,64,0.00,9.77
SYDNEY (OBSERVATORY HILL),10/08/2025,1.2,38.2, ,16.3,10.7,98,77,0.00,10.53
SYDNEY (OBSERVATORY HILL),11/08/2025,1.3,16.6, ,15.8,9.4,98,69,0.00,12.09
SYDNEY (OBSERVATORY HILL),12/08/2025,1.3,1.2, ,18.1,7.6,94,57,0.00,12.88
SYDNEY (OBSERVATORY HILL),13/08/2025,1.4,0.0, ,19.4,8.6,96,44,0.00,13.70
SYDNEY (OBSERVATORY HILL),14/08/2025,0.9,10.0, ,12.8,10.6,96,80,0.00,6.67
SYDNEY (OBSERVATORY HILL),15/08/2025,1.5,9.6, ,20.2,10.6,97,58,0.00,13.73
SYDNEY (OBSERVATORY HILL),16/08/2025,1.3,0.0, ,20.0,11.7,87,36,0.00,11.62
SYDNEY (OBSERVATORY HILL),17/08/2025,1.3,0.0, ,17.9,6.9,71,31,0.00,15.21
SYDNEY (OBSERVATORY HILL),18/08/2025,1.1,0.0, ,15.3,6.6,93,55,0.00,9.35
SYDNEY (OBSERVATORY HILL),19/08/2025,1.3,25.4, ,16.7,8.8,97,76,0.00,11.05
SYDNEY (OBSERVATORY HILL),20/08/2025,1.1,21.8, ,15.2,10.4,97,83,0.00,7.18
SYDNEY (OBSERVATORY HILL),21/08/2025,1.0,82.4, ,15.8,10.8,98,85,0.00,5.84
SYDNEY (OBSERVATORY HILL),22/08/2025,1.2,23.6, ,16.3,11.5,99,90,0.00,8.45
SYDNEY (OBSERVATORY HILL),23/08/2025,1.8,20.8, ,20.8,12.1,98,48,0.00,15.07
SYDNEY (OBSERVATORY HILL),24/08/2025,1.4,0.0, ,19.2,11.6,69,46,0.00,12.25
SYDNEY (OBSERVATORY HILL),25/08/2025,1.7,0.0, ,22.3,13.5,87,55,0.00,12.65
SYDNEY (OBSERVATORY HILL),26/08/2025,2.1,0.0, ,22.8,14.3,92,63,0.00,15.97
SYDNEY (OBSERVATORY HILL),27/08/2025,1.2,0.0, ,21.0,16.6,82,42,0.00,7.54
SYDNEY (OBSERVATORY HILL),28/08/2025,1.7,0.0, ,19.4,10.7,60,29,0.00,16.80
SYDNEY (OBSERVATORY HILL),29/08/2025,1.6,0.0, ,20.8,12.1,68,29,0.00,14.31
SYDNEY (OBSERVATORY HILL),30/08/2025,1.6,0.0, ,17.6,10.2,75,36,0.00,14.53
SYDNEY (OBSERVATORY HILL),31/08/2025,1.8,0.0, ,20.3,8.2,82,36,0.00,17.35
Totals:,,40.6,389.6, ,,,,,, 
