'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY OLYMPIC PARK (ARCHERY CENTRE) New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),01/11/2024,4.4,4.8, ,23.1,15.8,91,52,3.65,22.03
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),02/11/2024,2.7,0.0, ,22.9,15.9,91,62,2.54,10.91
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),03/11/2024,5.0,1.2, ,33.0,14.5,99,29,1.94,20.02
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),04/11/2024,2.4,0.0, ,21.9,18.5,87,71,3.10,8.98
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),05/11/2024,3.6,0.0, ,23.8,18.0,88,58,2.65,16.59
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),06/11/2024,5.2,0.0, ,30.7,16.3,92,48,2.11,24.24
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),07/11/2024,4.3,0.0, ,34.3,20.2,98,32,2.02,13.48
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),08/11/2024,6.8,4.2, ,31.3,15.0,99,21,2.96,29.13
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),09/11/2024,4.5,0.2, ,24.7,16.6,87,52,2.86,21.95
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),10/11/2024,5.6,0.0, ,27.5,18.9,90,47,3.92,25.35
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),11/11/2024,2.0,0.0, ,21.5,15.5,88,70,1.61,7.61
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),12/11/2024,4.1,0.0, ,25.4,17.0,91,60,2.34,20.26
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),13/11/2024,3.5,0.0, ,26.6,17.5,97,54,1.88,15.70
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),14/11/2024,2.8,0.2, ,21.8,17.5,95,65,3.25,12.41
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),15/11/2024,1.8,0.4, ,21.8,17.1,91,73,2.14,6.41
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),16/11/2024,3.3,1.4, ,25.3,17.4,92,66,2.52,14.85
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),17/11/2024,5.9,0.0, ,32.5,19.4,98,43,2.82,25.22
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),18/11/2024,6.4,18.8, ,30.4,17.1,98,14,3.25,23.89
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),19/11/2024,4.0,0.4, ,22.4,17.5,84,64,3.19,19.84
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),20/11/2024,4.9,0.0, ,25.0,14.3,98,50,2.16,26.85
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),21/11/2024, ,0.0, , ,15.7,92,44,2.05,27.30
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),22/11/2024, , , ,27.6, ,98,49,2.38,30.35
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),23/11/2024,6.5,0.0, ,31.4,16.3,98,30,2.10,30.70
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),24/11/2024,6.6,0.0, ,31.7,16.9,95,31,2.44,29.79
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),25/11/2024,6.0,0.0, ,29.5,17.7,94,49,2.56,29.91
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),26/11/2024,6.7,0.0, ,33.2,18.7,91,45,2.59,30.28
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),27/11/2024,7.3,0.0, ,38.6,19.4,97,22,2.56,26.18
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),28/11/2024,3.5,1.4, ,30.6,21.7,97,44,1.83,12.30
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),29/11/2024,1.6,3.6, ,22.9,21.0,99,83,2.47,6.03
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),30/11/2024, ,27.6, ,26.0,20.9,99,77,2.20, 
Totals:,,121.4,64.2, ,,,,,, 
