'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY OLYMPIC PARK (ARCHERY CENTRE) New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),01/06/2025,1.3,0.0, ,21.4,8.5,100,56,1.21,11.40
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),02/06/2025,1.0,0.0, ,17.8,9.8,100,72,0.93,8.77
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),03/06/2025,1.6,0.0, ,19.1,9.2,100,35,1.73,10.22
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),04/06/2025,1.7,2.2, ,15.1,10.1,87,48,3.16,7.29
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),05/06/2025,1.6,0.2, ,18.6,6.8,94,45,1.93,11.22
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),06/06/2025,1.1,0.0, ,17.6,5.1,99,51,0.99,8.88
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),07/06/2025,2.2,0.0, ,20.8,8.1,97,32,2.74,11.06
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),08/06/2025,2.6,0.0, ,17.2,7.5,81,32,4.12,11.14
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),09/06/2025,1.9,0.0, ,16.1,6.7,91,40,3.38,10.06
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),10/06/2025,1.9,1.8, ,18.5,6.7,97,41,2.78,11.08
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),11/06/2025,1.6,0.0, ,17.6,5.3,96,39,2.20,11.05
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),12/06/2025,1.2,0.0, ,16.7,5.1,93,51,1.61,10.28
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),13/06/2025,1.4,0.0, ,16.4,7.0,86,58,2.44,8.83
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),14/06/2025,1.1,0.2, ,18.0,6.0,98,62,1.41,9.98
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),15/06/2025,1.2,0.0, ,19.7,6.6,100,48,1.05,10.79
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),16/06/2025,1.0,4.6, ,17.0,4.2,100,45,0.91,10.98
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),17/06/2025,1.3,0.0, ,19.3,3.6,100,40,1.39,10.92
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),18/06/2025,1.2,0.0, ,17.9,3.9,97,38,1.20,10.97
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),19/06/2025,1.0,0.0, ,18.5,3.5,99,46,0.90,10.79
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),20/06/2025,1.2,0.0, ,18.7,4.6,100,47,1.26,10.97
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),21/06/2025,1.1,0.2, ,19.2,5.1,100,52,1.14,10.97
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),22/06/2025,1.2,0.0, ,20.1,3.8,100,46,1.02,10.98
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),23/06/2025, ,0.0, , ,4.6,100,50,1.17,10.99
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),24/06/2025,2.0, , ,21.7,8.7,89,52,3.08,7.79
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),25/06/2025,3.3,1.6, ,17.6,12.4,67,38,5.99,11.00
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),26/06/2025,1.7,0.0, ,15.7,6.3,84,36,2.43,10.58
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),27/06/2025,1.4,0.0, ,15.8,6.0,82,56,2.29,8.59
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),28/06/2025,1.1,0.0, ,18.2,5.7,98,56,1.28,10.64
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),29/06/2025,1.2,0.0, ,19.6,6.2,100,45,1.03,11.11
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),30/06/2025,1.2,0.0, ,18.0,6.3,98,53,1.54,10.98
Totals:,,43.3,10.8, ,,,,,, 
