'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAMWORTH AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAMWORTH AIRPORT,01/11/2024,6.6,0.0, ,28.2,12.1,75,25,3.90,26.95
TAMWORTH AIRPORT,02/11/2024,6.6,0.0, ,29.7,13.8,82,29,4.25,24.73
TAMWORTH AIRPORT,03/11/2024,6.3,0.0, ,32.3,12.1,91,30,3.52,23.20
TAMWORTH AIRPORT,04/11/2024,5.9,0.0, ,32.8,15.4,84,31,3.10,20.71
TAMWORTH AIRPORT,05/11/2024,7.8,0.0, ,34.8,15.7,89,23,4.16,26.15
TAMWORTH AIRPORT,06/11/2024,6.6,0.0, ,35.3,15.7,92,23,2.43,25.77
TAMWORTH AIRPORT,07/11/2024,8.7,0.0, ,38.7,18.6,83,23,4.87,22.91
TAMWORTH AIRPORT,08/11/2024,7.4,0.4, ,32.0,15.0,93,16,3.71,28.17
TAMWORTH AIRPORT,09/11/2024,7.5,0.0, ,33.2,10.8,74,15,3.24,28.22
TAMWORTH AIRPORT,10/11/2024,4.4,0.0, ,29.6,14.3,89,37,2.69,14.53
TAMWORTH AIRPORT,11/11/2024,5.3,0.0, ,32.3,16.9,91,40,4.37,14.31
TAMWORTH AIRPORT,12/11/2024,5.8,4.6, ,29.8,16.5,93,40,3.82,23.10
TAMWORTH AIRPORT,13/11/2024,7.2,0.2, ,31.7,14.4,97,31,5.33,24.99
TAMWORTH AIRPORT,14/11/2024,6.8,3.6, ,32.0,12.9,92,24,3.54,25.39
TAMWORTH AIRPORT,15/11/2024,6.9,0.0, ,32.2,16.9,85,32,4.95,22.15
TAMWORTH AIRPORT,16/11/2024,7.0,4.4, ,32.4,15.4,88,31,4.04,26.10
TAMWORTH AIRPORT,17/11/2024,7.5,0.0, ,32.7,15.5,94,33,5.30,26.80
TAMWORTH AIRPORT,18/11/2024,1.6,8.0, ,21.3,19.3,98,80,2.49,5.70
TAMWORTH AIRPORT,19/11/2024,5.5,8.6, ,28.4,14.2,97,45,5.03,21.59
TAMWORTH AIRPORT,20/11/2024,6.7,0.0, ,30.4,12.2,91,29,3.99,26.76
TAMWORTH AIRPORT,21/11/2024,7.0,0.0, ,29.0,11.6,89,29,4.78,27.95
TAMWORTH AIRPORT,22/11/2024,7.0,0.0, ,30.6,12.6,90,27,4.09,27.62
TAMWORTH AIRPORT,23/11/2024,6.9,0.0, ,32.1,13.5,91,24,2.97,29.05
TAMWORTH AIRPORT,24/11/2024,7.0,0.0, ,33.8,14.1,82,23,2.61,28.81
TAMWORTH AIRPORT,25/11/2024,6.8,0.0, ,34.7,15.4,87,24,2.08,29.00
TAMWORTH AIRPORT,26/11/2024,7.5,0.0, ,35.7,19.6,67,23,2.50,29.33
TAMWORTH AIRPORT,27/11/2024,7.8,0.0, ,35.5,17.8,73,27,3.75,26.56
TAMWORTH AIRPORT,28/11/2024,3.2,0.2, ,28.7,20.6,89,51,2.25,9.97
TAMWORTH AIRPORT,29/11/2024,2.8,1.4, ,27.2,19.7,96,57,2.74,8.82
TAMWORTH AIRPORT,30/11/2024, ,11.2, ,24.6,19.8,96,74,2.63, 
Totals:,,184.1,42.6, ,,,,,, 
