'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAMWORTH AIRPORT New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAMWORTH AIRPORT,01/12/2024,5.8,8.0, ,32.0,19.0,95,32,2.60,23.02
TAMWORTH AIRPORT,02/12/2024,6.8,0.2, ,35.3,14.4,97,23,2.18,28.02
TAMWORTH AIRPORT,03/12/2024, ,0.0, , ,18.5,92,52,3.73,14.04
TAMWORTH AIRPORT,04/12/2024,5.3, , ,32.7,19.4,96,45,3.50,18.82
TAMWORTH AIRPORT,05/12/2024,7.4,0.0, ,35.8,19.6,88,33,3.03,28.62
TAMWORTH AIRPORT,06/12/2024,6.5,0.0, ,35.2,19.6,92,41,2.62,26.06
TAMWORTH AIRPORT,07/12/2024,8.0,0.0, ,36.0,21.1,89,33,4.55,27.10
TAMWORTH AIRPORT,08/12/2024,8.5,3.2, ,36.5,21.6,94,20,4.27,27.55
TAMWORTH AIRPORT,09/12/2024,6.8,0.0, ,35.1,21.0,84,29,3.56,21.56
TAMWORTH AIRPORT,10/12/2024,6.8,0.0, ,34.3,19.3,89,25,3.27,23.51
TAMWORTH AIRPORT,11/12/2024,8.6,0.0, ,33.5,16.8,75,18,4.24,30.84
TAMWORTH AIRPORT,12/12/2024,7.6,0.0, ,34.7,14.7,93,23,3.15,29.33
TAMWORTH AIRPORT,13/12/2024,7.7,0.0, ,36.4,13.5,85,20,3.27,25.46
TAMWORTH AIRPORT,14/12/2024,8.8,0.0, ,37.7,16.9,76,17,3.40,30.71
TAMWORTH AIRPORT,15/12/2024,9.4,0.0, ,39.1,17.5,84,17,3.90,30.30
TAMWORTH AIRPORT,16/12/2024,10.6,0.0, ,38.2,18.0,61,18,5.27,30.96
TAMWORTH AIRPORT,17/12/2024,8.1,0.0, ,37.8,16.4,84,19,3.36,26.65
TAMWORTH AIRPORT,18/12/2024,6.2,0.0, ,28.3,23.1,79,46,6.79,19.54
TAMWORTH AIRPORT,19/12/2024,8.4,0.0, ,30.9,11.4,73,25,5.58,30.75
TAMWORTH AIRPORT,20/12/2024,7.9,0.0, ,32.0,12.1,82,16,3.73,30.61
TAMWORTH AIRPORT,21/12/2024,8.2,0.0, ,35.9,14.0,77,17,3.08,30.62
TAMWORTH AIRPORT,22/12/2024,10.1,0.0, ,38.8,15.0,82,16,5.24,26.70
TAMWORTH AIRPORT,23/12/2024,10.9,0.0, ,33.6,20.8,57,11,7.03,29.93
TAMWORTH AIRPORT,24/12/2024,8.0,0.0, ,31.5,8.6,55,14,3.59,30.67
TAMWORTH AIRPORT,25/12/2024,8.7,0.0, ,34.6,14.0,69,14,3.81,30.62
TAMWORTH AIRPORT,26/12/2024,8.1,0.0, ,36.7,14.4,79,19,2.95,30.44
TAMWORTH AIRPORT,27/12/2024,8.9,0.0, ,37.7,20.3,66,23,5.47,19.77
TAMWORTH AIRPORT,28/12/2024,9.2,0.0, ,34.9,21.1,77,14,4.94,28.29
TAMWORTH AIRPORT,29/12/2024,8.9,0.0, ,34.8,13.2,68,11,3.95,30.38
TAMWORTH AIRPORT,30/12/2024,9.1,0.0, ,36.4,19.3,56,17,4.43,25.95
TAMWORTH AIRPORT,31/12/2024,5.9,0.0, ,32.0,19.0,82,37,3.93,18.18
Totals:,,241.2,11.4, ,,,,,, 
