'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAMWORTH AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAMWORTH AIRPORT,01/02/2025,8.8,0.2, ,34.8,19.4,85,30,6.37,27.51
TAMWORTH AIRPORT,02/02/2025,8.7,0.0, ,33.5,15.9,80,28,5.83,29.51
TAMWORTH AIRPORT,03/02/2025,7.7,0.0, ,34.6,17.0,84,26,4.91,22.70
TAMWORTH AIRPORT,04/02/2025,4.6,0.0, ,31.2,19.8,74,33,2.09,15.41
TAMWORTH AIRPORT,05/02/2025,7.9,0.0, ,35.5,17.7,89,27,4.40,26.62
TAMWORTH AIRPORT,06/02/2025,7.3,1.2, ,34.8,17.6,91,31,3.93,26.24
TAMWORTH AIRPORT,07/02/2025,7.6,0.2, ,34.4,16.8,81,25,3.52,28.71
TAMWORTH AIRPORT,08/02/2025,7.6,0.0, ,35.2,16.7,87,24,3.50,27.88
TAMWORTH AIRPORT,09/02/2025,7.6,1.4, ,35.6,20.7,94,29,4.38,25.53
TAMWORTH AIRPORT,10/02/2025,3.7,13.2, ,27.4,18.9,96,58,4.24,13.21
TAMWORTH AIRPORT,11/02/2025,5.3,9.0, ,30.8,16.7,94,49,4.57,19.29
TAMWORTH AIRPORT,12/02/2025,5.1,11.8, ,30.1,16.9,92,47,4.22,18.37
TAMWORTH AIRPORT,13/02/2025,6.3,0.0, ,33.4,19.1,86,38,4.34,20.76
TAMWORTH AIRPORT,14/02/2025,5.1,0.0, ,31.7,21.0,81,39,2.35,19.59
TAMWORTH AIRPORT,15/02/2025,6.4,0.0, ,32.4,21.1,90,25,4.50,18.52
TAMWORTH AIRPORT,16/02/2025,6.2,0.0, ,27.0,10.4,81,21,3.37,27.66
TAMWORTH AIRPORT,17/02/2025,7.0,0.0, ,29.3,9.8,75,23,4.29,27.51
TAMWORTH AIRPORT,18/02/2025,6.4,0.0, ,30.5,13.0,84,28,3.73,24.90
TAMWORTH AIRPORT,19/02/2025,6.5,0.0, ,33.2,16.1,86,27,3.47,23.14
TAMWORTH AIRPORT,20/02/2025,6.5,0.0, ,33.0,17.1,85,37,4.79,20.82
TAMWORTH AIRPORT,21/02/2025,7.3,0.0, ,33.1,15.9,88,25,4.64,24.45
TAMWORTH AIRPORT,22/02/2025,7.1,0.0, ,33.0,16.8,83,29,4.30,25.21
TAMWORTH AIRPORT,23/02/2025,6.7,0.0, ,33.1,14.9,86,24,3.38,25.33
TAMWORTH AIRPORT,24/02/2025,6.8,0.0, ,36.0,15.7,80,24,2.66,26.29
TAMWORTH AIRPORT,25/02/2025, ,0.0, ,36.2,19.7,76,29,4.61, 
TAMWORTH AIRPORT,26/02/2025,7.2,0.0, ,35.1,18.0,88,25,3.63,25.88
TAMWORTH AIRPORT,27/02/2025,7.0,0.0, ,36.2,17.0,87,26,3.46,24.11
TAMWORTH AIRPORT,28/02/2025,7.2,0.0, ,37.5,17.1,81,20,2.92,25.40
Totals:,,181.6,37, ,,,,,, 
