'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAMWORTH AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAMWORTH AIRPORT,01/08/2025, , , ,15.8, ,97,60,3.51,11.21
TAMWORTH AIRPORT,02/08/2025,0.7,23.4, ,9.3,7.5,97,92,2.14,4.20
TAMWORTH AIRPORT,03/08/2025,2.3,24.2, ,20.3,3.4,98,59,3.79,13.97
TAMWORTH AIRPORT,04/08/2025,2.5,0.0, ,19.9,7.0,96,45,3.26,13.93
TAMWORTH AIRPORT,05/08/2025,2.2,0.0, ,19.7,3.4,97,45,1.97,14.95
TAMWORTH AIRPORT,06/08/2025, ,0.0, , ,2.1,98,39,1.46,14.95
TAMWORTH AIRPORT,07/08/2025, , , ,18.8, ,94,53,3.66,12.21
TAMWORTH AIRPORT,08/08/2025,1.8,0.0, ,15.7,7.9,94,53,3.16,6.91
TAMWORTH AIRPORT,09/08/2025,3.1,0.0, ,19.3,5.0,95,40,4.66,15.38
TAMWORTH AIRPORT,10/08/2025,2.8,0.0, ,18.6,3.2,94,43,4.01,15.56
TAMWORTH AIRPORT,11/08/2025,2.8,0.0, ,18.5,2.8,96,39,3.66,15.78
TAMWORTH AIRPORT,12/08/2025,2.3,0.0, ,18.0,3.1,95,42,2.27,15.33
TAMWORTH AIRPORT,13/08/2025,2.4,0.0, ,18.6,2.3,95,39,2.31,14.98
TAMWORTH AIRPORT,14/08/2025,2.4,0.8, ,17.4,4.0,97,47,3.65,14.19
TAMWORTH AIRPORT,15/08/2025,2.5,0.0, ,18.5,1.7,97,35,2.21,16.06
TAMWORTH AIRPORT,16/08/2025,2.5,0.0, ,19.1,1.2,97,46,3.39,12.12
TAMWORTH AIRPORT,17/08/2025,2.0,0.4, ,13.7,-1.2,96,37,1.89,16.50
TAMWORTH AIRPORT,18/08/2025,2.5,0.2, ,16.2,-2.3,94,39,3.12,16.71
TAMWORTH AIRPORT,19/08/2025,2.9,0.0, ,17.9,2.1,88,39,4.01,14.26
TAMWORTH AIRPORT,20/08/2025,1.5,0.6, ,13.2,6.3,96,66,4.07,6.03
TAMWORTH AIRPORT,21/08/2025,1.7,48.0, ,16.3,9.9,97,69,3.29,9.98
TAMWORTH AIRPORT,22/08/2025,2.2,3.6, ,17.5,3.5,98,53,1.72,16.83
TAMWORTH AIRPORT,23/08/2025,2.3,0.2, ,18.7,2.4,97,48,1.58,17.38
TAMWORTH AIRPORT,24/08/2025,2.4,0.0, ,18.7,2.3,98,35,1.47,17.57
TAMWORTH AIRPORT,25/08/2025,2.3,0.0, ,20.2,1.1,97,53,1.39,17.72
TAMWORTH AIRPORT,26/08/2025,2.8,0.0, ,23.0,4.7,97,47,1.83,17.87
TAMWORTH AIRPORT,27/08/2025,3.9,0.0, ,23.2,6.8,97,45,5.54,17.25
TAMWORTH AIRPORT,28/08/2025,3.3,0.0, ,18.4,5.9,93,35,4.20,17.43
TAMWORTH AIRPORT,29/08/2025,3.3,0.0, ,17.8,2.4,95,31,3.95,18.08
TAMWORTH AIRPORT,30/08/2025,2.6,0.0, ,13.1,5.8,87,47,6.24,12.66
TAMWORTH AIRPORT,31/08/2025,2.7,0.0, ,17.7,-3.1,96,26,1.77,18.62
Totals:,,68.7,101.4, ,,,,,, 
