'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAREE AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAREE AIRPORT,01/04/2025,2.6,0.0, ,24.0,18.1,98,71,4.06,12.65
TAREE AIRPORT,02/04/2025,1.1,1.4, ,19.3,17.3,100,93,2.74,5.74
TAREE AIRPORT,03/04/2025,2.8,16.2, ,25.2,16.3,100,62,2.19,14.50
TAREE AIRPORT,04/04/2025,3.7,0.2, ,27.5,11.0,100,39,2.13,19.24
TAREE AIRPORT,05/04/2025,4.2,0.2, ,27.6,12.9,100,27,2.73,19.07
TAREE AIRPORT,06/04/2025,3.8,0.0, ,27.6,12.6,99,40,2.29,18.88
TAREE AIRPORT,07/04/2025, ,0.0, , ,10.6,100,33,2.43,18.72
TAREE AIRPORT,08/04/2025,2.2, , ,23.1,13.8,100,71,2.51,11.74
TAREE AIRPORT,09/04/2025,2.6,0.4, ,24.1,14.0,100,69,2.30,15.72
TAREE AIRPORT,10/04/2025, ,0.4, , ,13.1,100,72,0.98,17.55
TAREE AIRPORT,14/04/2025, , , , , , , , ,17.12
TAREE AIRPORT,15/04/2025, , , , , , , , ,9.14
TAREE AIRPORT,16/04/2025, , , ,23.6, ,100,60,4.77,14.09
TAREE AIRPORT,17/04/2025,1.7,1.8, ,22.3,16.5,100,85,3.82,10.06
TAREE AIRPORT,18/04/2025,3.0,2.8, ,25.0,16.1,100,60,3.39,15.98
TAREE AIRPORT,19/04/2025,3.2,0.0, ,28.4,11.5,100,35,1.69,16.34
TAREE AIRPORT,20/04/2025,2.9,0.2, ,29.3,11.1,100,40,1.25,16.64
TAREE AIRPORT,21/04/2025,1.6,0.0, ,24.4,14.6,100,81,2.41,8.19
TAREE AIRPORT,22/04/2025,2.7,7.4, ,24.1,12.9,100,58,3.00,14.54
TAREE AIRPORT,23/04/2025,2.1,7.2, ,24.0,14.4,100,72,3.40,10.52
TAREE AIRPORT,24/04/2025,2.5,12.8, ,25.6,15.1,100,66,2.37,13.96
TAREE AIRPORT,25/04/2025,2.4,0.6, ,25.1,15.9,100,74,2.21,15.04
TAREE AIRPORT,26/04/2025,1.8,0.8, ,24.3,15.2,100,85,1.94,11.64
TAREE AIRPORT,27/04/2025,2.4,28.8, ,23.7,16.6,100,68,4.60,11.65
TAREE AIRPORT,28/04/2025,1.7,12.2, ,23.0,16.2,100,82,4.67,9.70
TAREE AIRPORT,29/04/2025,2.3,3.8, ,24.8,15.9,100,71,3.36,13.13
TAREE AIRPORT,30/04/2025,1.7,0.2, ,21.0,16.1,100,82,4.76,10.36
Totals:,,55,97.4, ,,,,,, 
