'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAREE AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAREE AIRPORT,01/07/2025,2.0,34.8, ,16.2,11.4,100,56,7.10,7.29
TAREE AIRPORT,02/07/2025,3.1,0.0, ,18.3,11.8,73,54,8.16,7.70
TAREE AIRPORT,03/07/2025,2.8,0.0, ,19.0,14.7,82,52,5.82,11.58
TAREE AIRPORT,04/07/2025,2.0,0.0, ,19.2,9.8,99,50,3.48,12.10
TAREE AIRPORT,05/07/2025,1.8,0.0, ,21.3,4.9,100,54,2.58,11.12
TAREE AIRPORT,06/07/2025,1.9,0.0, ,24.1,9.8,100,51,2.16,11.23
TAREE AIRPORT,07/07/2025,2.0,0.2, ,20.3,8.0,100,42,2.69,11.95
TAREE AIRPORT,08/07/2025,1.5,0.0, ,18.5,4.9,100,50,1.84,9.35
TAREE AIRPORT,09/07/2025,2.1,0.0, ,22.5,5.3,99,37,2.09,12.29
TAREE AIRPORT,10/07/2025,3.5,0.2, ,19.2,4.3,100,29,6.65,12.27
TAREE AIRPORT,11/07/2025,2.7,0.0, ,20.2,9.2,81,39,3.84,12.43
TAREE AIRPORT,12/07/2025,2.2,0.0, ,20.0,7.0,99,44,3.15,12.48
TAREE AIRPORT,13/07/2025,2.0,0.0, ,20.7,4.3,99,36,2.09,12.20
TAREE AIRPORT,14/07/2025,2.3,0.0, ,21.2,6.3,99,32,2.47,12.59
TAREE AIRPORT,15/07/2025,1.6,0.0, ,18.6,3.9,99,52,2.09,8.60
TAREE AIRPORT,16/07/2025,1.9,0.0, ,17.7,4.2,99,37,2.17,12.76
TAREE AIRPORT,17/07/2025,1.5,0.2, ,18.6,2.2,100,58,1.94,12.71
TAREE AIRPORT,18/07/2025,1.1,0.4, ,15.8,9.3,100,77,3.30,6.24
TAREE AIRPORT,19/07/2025,1.4,17.2, ,17.4,10.4,100,76,3.96,11.66
TAREE AIRPORT,20/07/2025,2.0,0.2, ,18.2,8.8,100,49,3.42,11.37
TAREE AIRPORT,21/07/2025,1.7,0.6, ,20.3,9.0,100,67,2.46,12.63
TAREE AIRPORT,22/07/2025,1.8,0.4, ,20.6,9.3,100,64,3.02,11.39
TAREE AIRPORT,23/07/2025,1.1,2.6, ,17.4,12.0,100,74,2.45,5.71
TAREE AIRPORT,24/07/2025,2.0,8.0, ,16.8,6.0,99,44,3.00,13.43
TAREE AIRPORT,25/07/2025,2.6,0.0, ,18.8,4.6,99,31,3.39,13.52
TAREE AIRPORT,26/07/2025,1.2,3.6, ,16.0,8.9,100,68,3.01,4.97
TAREE AIRPORT,27/07/2025,2.3,3.4, ,19.6,4.8,100,48,3.57,13.05
TAREE AIRPORT,28/07/2025,3.3,0.0, ,18.2,9.6,76,44,6.42,13.77
TAREE AIRPORT,29/07/2025,1.9,0.0, ,17.2,6.5,99,43,2.33,12.00
TAREE AIRPORT,30/07/2025,1.2,0.0, ,15.3,9.2,99,71,2.54,7.76
TAREE AIRPORT,31/07/2025,2.3,4.2, ,15.7,9.1,100,36,4.35,10.22
Totals:,,62.8,76, ,,,,,, 
